Modules	Pvalue	FDR	Tissue
MEblack	0.00129168359241709	0.014208519516588	DLPFC
MEblue	0.32738339874576	0.540182607930505	DLPFC
MEbrown	0.294471579388423	0.529230597313338	DLPFC
MEcyan	0.0047683585408466	0.0393389579619844	DLPFC
MEdarkgreen	0.0216138099200546	0.101086011398759	DLPFC
MEdarkgrey	0.688530079826588	0.783499746009566	DLPFC
MEdarkorange	0.446368179094512	0.613756246254954	DLPFC
MEdarkred	0.000978825262263117	0.014208519516588	DLPFC
MEdarkturquoise	0.000612815991314966	0.014208519516588	DLPFC
MEgreen	0.978636891058485	0.978636891058485	DLPFC
MEgreenyellow	0.481644054518265	0.63577015196411	DLPFC
MEgrey	0.672981601968974	0.783499746009566	DLPFC
MEgrey60	0.148185020005044	0.397286699964014	DLPFC
MElightcyan	0.250175170351882	0.515986288850757	DLPFC
MElightgreen	0.736677940340437	0.810345734374481	DLPFC
MElightyellow	0.0261779619207649	0.101086011398759	DLPFC
MEmagenta	0.156506881804005	0.397286699964014	DLPFC
MEmidnightblue	0.276238296090322	0.529230597313338	DLPFC
MEorange	0.304708525725861	0.529230597313338	DLPFC
MEpaleturquoise	0.887699311061534	0.915439914532207	DLPFC
MEpink	0.541072179362109	0.686745458421138	DLPFC
MEpurple	0.346004945903701	0.543722057848672	DLPFC
MEred	0.860869607319741	0.915439914532207	DLPFC
MEroyalblue	0.399296408627455	0.572903542813304	DLPFC
MEsaddlebrown	0.0275689121996614	0.101086011398759	DLPFC
MEsalmon	0.0191078038208066	0.101086011398759	DLPFC
MEskyblue	0.202697767705888	0.445935088952953	DLPFC
MEsteelblue	0.118314894827351	0.354944684482053	DLPFC
MEtan	0.636982924140229	0.778534685060281	DLPFC
MEturquoise	0.398714304107184	0.572903542813304	DLPFC
MEviolet	0.114280518584119	0.354944684482053	DLPFC
MEwhite	0.173764182735266	0.409587002161699	DLPFC
MEyellow	0.0172746025273106	0.101086011398759	DLPFC
