cell_type,qSV,term,estimate,std.error,statistic,p.value,p.bonf,p.bonf.sig,p.bonf.cat,p.fdr,log.p.bonf
Astro,PC1,qSV_value,-5.795418411316782e-4,7.617582435894402e-5,-7.607949713820624,1.6381185429257896e-13,1.4743066886332106e-11,TRUE,<= 0.005,8.190592714628949e-13,10.83141216415232
Astro,PC2,qSV_value,-1.9271534076658234e-4,1.2419793159407948e-4,-1.5516791487030617,0.12144043449323205,1,FALSE,> 0.05,0.1631289418565804,-0
Astro,PC3,qSV_value,-2.863955457518632e-4,2.2937943924032102e-4,-1.2485667708508361,0.21247130977245152,1,FALSE,> 0.05,0.2619509298564471,-0
Astro,PC4,qSV_value,3.2709876177815873e-4,2.7593815810703293e-4,1.1854060490295846,0.23648114717163038,1,FALSE,> 0.05,0.28761220601955045,-0
Astro,PC5,qSV_value,-0.0011088705931385418,3.830532083062025e-4,-2.894821317492113,0.003977843003900337,0.3580058703510303,FALSE,> 0.05,0.006392961970554113,0.44610985201490505
Astro,PC6,qSV_value,0.0018067695828182853,4.1279901774288555e-4,4.376874714231135,1.4975831490788059e-5,0.0013478248341709253,TRUE,<= 0.005,3.54690745834454e-5,2.8703665458541865
Astro,PC7,qSV_value,-0.002209581760236767,5.272507346249314e-4,-4.190760894451081,3.3464869353327685e-5,0.0030118382417994916,TRUE,<= 0.005,7.345946931218273e-5,2.5211683567011987
Astro,PC8,qSV_value,-0.004079322543333857,5.613996550520153e-4,-7.266343159679882,1.6376916909918162e-12,1.4739225218926345e-10,TRUE,<= 0.005,7.757486957329655e-12,9.831525344970087
Astro,PC9,qSV_value,-0.0017032894993450154,6.219432623534916e-4,-2.738657370287457,0.0064133551005872685,0.5772019590528542,FALSE,> 0.05,0.009951757914704382,0.23867220355844548
Endo,PC1,qSV_value,-8.25267878514911e-5,1.5312920285771954e-5,-5.389356589818541,1.1418831549561258e-7,1.0276948394605131e-5,TRUE,<= 0.005,3.31514464342101e-7,4.9881358242638
Endo,PC2,qSV_value,-2.3346034878227333e-4,2.1686100960865406e-5,-10.76543677462234,3.293884315795531e-24,2.964495884215978e-22,TRUE,<= 0.005,4.9408264736932964e-23,21.528049148275176
Endo,PC3,qSV_value,-8.163130274175885e-5,4.469691594169811e-5,-1.8263296476257402,0.06846155136133585,1,FALSE,> 0.05,0.10100884627082339,-0
Endo,PC4,qSV_value,-1.7224847502404277e-5,5.395255821772759e-5,-0.3192591430584765,0.7496778327481693,1,FALSE,> 0.05,0.7667159653106277,-0
Endo,PC5,qSV_value,-4.494281803509753e-4,7.245231129240135e-5,-6.203089623147887,1.2536972579031421e-9,1.1283275321128279e-7,TRUE,<= 0.005,4.346593160563575e-9,6.947564814588778
Endo,PC6,qSV_value,3.454139615712929e-4,8.06663123543581e-5,4.28201006702684,2.2644575416438644e-5,0.002038011787479478,TRUE,<= 0.005,5.225671249947379e-5,2.6907933084441713
Endo,PC7,qSV_value,-5.919490632769886e-4,1.0115675544121079e-4,-5.851799622230977,9.361801232704591e-9,8.425621109434132e-7,TRUE,<= 0.005,2.9053865894600455e-8,6.0743980744972985
Endo,PC8,qSV_value,-9.696849652280097e-4,1.0646946021140741e-4,-9.107634840099577,2.75104711412592e-18,2.475942402713328e-16,TRUE,<= 0.005,2.250856729739389e-17,15.606259462428463
Endo,PC9,qSV_value,-4.148985987903285e-4,1.2086636757949372e-4,-3.432705119705447,6.527105142766069e-4,0.05874394628489462,FALSE,> 0.05,0.0011748789256978925,1.2310368819162796
Macro,PC1,qSV_value,-4.391579926173287e-5,2.9200125047600704e-5,-1.5039592875079593,0.13329178131367483,1,FALSE,> 0.05,0.17641559291515788,-0
Macro,PC2,qSV_value,-5.44838539610654e-4,3.7032316614564347e-5,-14.712515700310679,2.669037715511507e-40,2.402133943960356e-38,TRUE,<= 0.005,8.007113146534521e-39,37.61940277982195
Macro,PC3,qSV_value,-1.4010046456124802e-4,8.286399417409584e-5,-1.6907278723120602,0.09157970713757681,1,FALSE,> 0.05,0.13082815305368115,-0
Macro,PC4,qSV_value,9.510922614329495e-5,9.988153907390135e-5,0.9522202703837452,0.3414953219383554,1,FALSE,> 0.05,0.39403306377502545,-0
Macro,PC5,qSV_value,-8.327279004992335e-4,1.3424990145456103e-4,-6.202819454441709,1.255682468607255e-9,1.1301142217465294e-7,TRUE,<= 0.005,4.346593160563575e-9,6.946877659731368
Macro,PC6,qSV_value,6.124716230606279e-4,1.4972525173486255e-4,4.090636789478965,5.095607446513576e-5,0.004586046701862218,TRUE,<= 0.005,1.0919158813957664e-4,2.338561526959376
Macro,PC7,qSV_value,-9.687030396304901e-4,1.8899595530122922e-4,-5.125522596959987,4.409758020359173e-7,3.9687822183232556e-5,TRUE,<= 0.005,1.1672888877421341e-6,4.401342731774478
Macro,PC8,qSV_value,-0.0016890664371827,1.9937954209970534e-4,-8.471613583795046,3.4518923056444283e-16,3.1067030750799855e-14,TRUE,<= 0.005,2.2190736250571326e-15,13.507700252704625
Macro,PC9,qSV_value,-6.866228585455551e-4,2.2454868601965946e-4,-3.057790587496204,0.002362369078353182,0.21261321705178637,FALSE,> 0.05,0.0038656948554870252,0.67240974115685
Micro,PC1,qSV_value,2.1470164088066667e-5,5.9628738128171255e-5,0.36006403559835204,0.7189678011230296,1,FALSE,> 0.05,0.7437597942652031,-0
Micro,PC2,qSV_value,-1.1455086632669232e-4,9.162211045803547e-5,-1.2502535223652005,0.2118552639547879,1,FALSE,> 0.05,0.2619509298564471,-0
Micro,PC3,qSV_value,-1.984171317294512e-4,1.6909193362489968e-4,-1.173427540130946,0.24124372663688148,1,FALSE,> 0.05,0.2887192420265638,-0
Micro,PC4,qSV_value,0.0010272659934544013,1.978623221082011e-4,5.191822184784835,3.156749335396925e-7,2.8410744018572325e-5,TRUE,<= 0.005,8.609316369264341e-7,4.546517392854699
Micro,PC5,qSV_value,-0.0016488742609589995,2.7414715605712065e-4,-6.014559058987444,3.731492876315457e-9,3.3583435886839114e-7,TRUE,<= 0.005,1.243830958771819e-8,6.473874873702436
Micro,PC6,qSV_value,3.6198212820863615e-4,3.1016881400699233e-4,1.1670487549418032,0.2438073599335428,1,FALSE,> 0.05,0.2887192420265638,-0
Micro,PC7,qSV_value,-0.0038578896220992673,3.519751364129615e-4,-10.960687909423593,6.047055636644766e-25,5.44235007298029e-23,TRUE,<= 0.005,1.0884700145960578e-23,22.264213526159022
Micro,PC8,qSV_value,-0.002708059658735005,4.183100191536045e-4,-6.473810176037401,2.4988102629988464e-10,2.2489292366989618e-8,TRUE,<= 0.005,9.777953203038963e-10,7.648024209568661
Micro,PC9,qSV_value,-6.612547877008185e-4,4.6113228675451917e-4,-1.433980674731703,0.1522707280890003,1,FALSE,> 0.05,0.19577665040014325,-0
Mural,PC1,qSV_value,-2.5673181736103574e-4,4.488956223059778e-5,-5.7191873701553115,1.951130216838504e-8,1.7560171951546536e-6,TRUE,<= 0.005,5.853390650515512e-8,5.755471235739587
Mural,PC2,qSV_value,-5.70434538003023e-4,6.631192961889847e-5,-8.602291341563568,1.3044072980128034e-16,1.173966568211523e-14,TRUE,<= 0.005,9.030512063165563e-16,13.930344270590952
Mural,PC3,qSV_value,-2.1501229592540923e-4,1.3162398427603233e-4,-1.6335343220920964,0.10305452793891333,1,FALSE,> 0.05,0.14492042991409687,-0
Mural,PC4,qSV_value,-2.698673315553633e-4,1.5827204769977479e-4,-1.7050852344266936,0.08886715080872483,1,FALSE,> 0.05,0.12900070278685863,-0
Mural,PC5,qSV_value,-0.001476718429538909,2.109450998565834e-4,-7.000487001323543,9.295945974548512e-12,8.366351377093662e-10,TRUE,<= 0.005,3.9839768462350765e-11,9.077463899505775
Mural,PC6,qSV_value,8.880970115408087e-4,2.3851144479187183e-4,3.7234985193929524,2.2135723569628176e-4,0.01992215121266536,TRUE,<= 0.05,4.150448169305283e-4,1.7006637678527305
Mural,PC7,qSV_value,-0.0011341853187691803,3.0410882458706414e-4,-3.729537675564792,2.1627467508957135e-4,0.01946472075806142,TRUE,<= 0.05,4.1414299485237067e-4,1.7107518223132958
Mural,PC8,qSV_value,-0.0029495519371376695,3.113224168352674e-4,-9.474267761124281,1.5270132600055723e-19,1.3743119340050151e-17,TRUE,<= 0.005,1.7178899175062689e-18,16.861914682238865
