Tissue	Dataset	OR	CI_Lower	CI_Upper	P-value	FDR	Direction	Method
Caudate	BS_Caudate_SZ	0.871423590907621	0.7645284757083467	0.9932646054638542	0.03928604662190795	0.22857336216382806	All	DEG
Caudate	BS_DLPFC_SZ	0.5281562882468437	0.28951946802708367	0.9634898361604761	0.03741344429343654	0.22857336216382806	All	DEG
Caudate	BS_Hippocampus_SZ	0.5700016656216957	0.18047954630021532	1.8002145144528205	0.3380600419517813	0.6363483142621765	All	DEG
Caudate	BS_sACC_BD	0.9160246697437806	0.6976249741063019	1.2027969564222376	0.5279153556250031	0.7261598226271211	All	DEG
Caudate	BS_Amyg_BD	0.5432528336227441	0.22289816185837244	1.324029048865194	0.1794512596292427	0.5105305204997217	All	DEG
Caudate	CMC_DLPFC_SZ	0.8589862908577067	0.632537506086529	1.1665038685951759	0.33028054828988285	0.6363483142621765	All	DEG
Caudate	PSY_SZ	0.8814718634947978	0.7878476480902274	0.9862219529581019	0.027656243565696428	0.22857336216382806	All	DEG
Caudate	PSY_ASD	1.0887440645477962	0.9342927580414367	1.268728273751089	0.2760410044074164	0.6227192459446398	All	DEG
Caudate	PSY_BD	1.0182966117497003	0.8211670788565463	1.2627490996653385	0.8688152333931237	0.974325348949988	All	DEG
Caudate	Parkinsons	1.335214757331009	0.7231213375264764	2.465420885370056	0.35553016504817514	0.6501123018023774	All	DEG
Caudate	MAYO_AD	1.1354164447590605	0.9820943092906893	1.312674852948083	0.08618889092650503	0.36490901282469757	All	DEG
Caudate	ROSMAP_AD	1.1433799002536957	0.5589395563084643	2.338924811366681	0.7136709643481447	0.9321416677200257	All	DEG
Caudate	MSBB_MD36_AD	0.8106023604755769	0.6685248353223856	0.9828747596066679	0.032707880930938016	0.22857336216382806	All	DEG
Caudate	MSBB_MD44_AD	1.7815107077586338	1.2053200598561875	2.633143268384123	0.003770626145902259	0.060330018334436145	All	DEG
Caudate	MSBB_MD22_AD	0.650992839430309	0.3458442295723754	1.2253831082089763	0.1834719058045875	0.5105305204997217	All	DEG
Caudate	MSBB_MD10_AD	1.0193834829404638	0.6483556176232474	1.6027356855503727	0.9337307148926717	0.9899498378008228	All	DEG
Dentate Gyrus	BS_Caudate_SZ	1.0313929180444519	0.9336016590712601	1.1394274432314966	0.5430767560862317	0.7261598226271211	All	DEG
Dentate Gyrus	BS_DLPFC_SZ	0.8618573266392775	0.5896226348097362	1.2597855096276858	0.44273620582609674	0.6821559683343931	All	DEG
Dentate Gyrus	BS_Hippocampus_SZ	0.5761585572416807	0.23424811087385772	1.4171242698370123	0.22985139818115663	0.588419579343761	All	DEG
Dentate Gyrus	BS_sACC_BD	0.8229627163893029	0.6564210521477507	1.031757940046105	0.09122725320617439	0.36490901282469757	All	DEG
Dentate Gyrus	BS_Amyg_BD	0.8187405969474819	0.4549195160581997	1.4735269458172908	0.5047625409488441	0.7178845026828005	All	DEG
Dentate Gyrus	CMC_DLPFC_SZ	0.8849226410791451	0.6951757247949555	1.126460623931401	0.3207720174271288	0.6363483142621765	All	DEG
Dentate Gyrus	PSY_SZ	0.9733318801158293	0.8918336123851549	1.062277689126471	0.5446198669703408	0.7261598226271211	All	DEG
Dentate Gyrus	PSY_ASD	0.9497959133493323	0.8348263839332517	1.0805986662338412	0.43395112861814344	0.6821559683343931	All	DEG
Dentate Gyrus	PSY_BD	1.0143251401339068	0.8545353202293142	1.2039941071500437	0.8708126660334821	0.974325348949988	All	DEG
Dentate Gyrus	Parkinsons	1.5092224281907247	0.944858667014316	2.4106804724048705	0.0849639799976752	0.36490901282469757	All	DEG
Dentate Gyrus	MAYO_AD	1.3189001700148513	1.1803495884706907	1.4737139534389707	1.0183089379045069e-06	6.517177202588844e-05	All	DEG
Dentate Gyrus	ROSMAP_AD	1.350164180997639	0.7888822407654899	2.3107926905289906	0.27350155470247217	0.6227192459446398	All	DEG
Dentate Gyrus	MSBB_MD36_AD	0.8476606412859805	0.7289446958876564	0.985710667543012	0.031799540256884744	0.22857336216382806	All	DEG
Dentate Gyrus	MSBB_MD44_AD	1.3144955452386358	0.9194106712558737	1.8793544522296945	0.13379932609035117	0.4281578434891237	All	DEG
Dentate Gyrus	MSBB_MD22_AD	1.1650933477414467	0.7879184286369061	1.722821119058909	0.4438971472772121	0.6821559683343931	All	DEG
Dentate Gyrus	MSBB_MD10_AD	1.1394582650298972	0.8069619120286843	1.6089546710834004	0.45832354122467034	0.6821559683343931	All	DEG
DLPFC	BS_Caudate_SZ	0.8465868647041901	0.7520374258355135	0.9530234731249002	0.005846287827555453	0.0748324841927098	All	DEG
DLPFC	BS_DLPFC_SZ	0.836767553507684	0.5423698998065503	1.2909638585271257	0.4205047415256661	0.6821559683343931	All	DEG
DLPFC	BS_Hippocampus_SZ	1.0807806650008562	0.5008865268781316	2.3320388614163994	0.843062003436267	0.974325348949988	All	DEG
DLPFC	BS_sACC_BD	0.8726260638885073	0.6807548717716219	1.1185762731243554	0.2821696583186649	0.6227192459446398	All	DEG
DLPFC	BS_Amyg_BD	0.4253259596506903	0.17457937742455343	1.0362173048243322	0.059882430690827194	0.29480581263176464	All	DEG
DLPFC	CMC_DLPFC_SZ	0.9019610685932125	0.6895048616691454	1.1798811211982128	0.4514884650468777	0.6821559683343931	All	DEG
DLPFC	PSY_SZ	1.0150639708609566	0.9211665329757739	1.1185326735780474	0.7627250030661727	0.9644131266193302	All	DEG
DLPFC	PSY_ASD	1.016530881910244	0.8828419187262995	1.170464396806214	0.8197237515823659	0.974325348949988	All	DEG
DLPFC	PSY_BD	1.117746893989341	0.928579208699125	1.3454513167197473	0.23932387038803815	0.5891049117244016	All	DEG
DLPFC	Parkinsons	1.3392715450753143	0.7736056447567475	2.3185563388855757	0.29683181844446405	0.6320323521994033	All	DEG
DLPFC	MAYO_AD	1.1836378310251026	1.0411263815815357	1.3456565310597601	0.010003654583087173	0.10670564888626317	All	DEG
DLPFC	ROSMAP_AD	1.008982042840058	0.5126697094549628	1.9857712363307278	0.979349005323417	0.9906862791863367	All	DEG
DLPFC	MSBB_MD36_AD	0.9294397827770309	0.7892182951240614	1.094574612810794	0.3805092517725358	0.6764608920400637	All	DEG
DLPFC	MSBB_MD44_AD	1.011721367909003	0.6487036135989237	1.5778856550605198	0.9590139053695471	0.9899498378008228	All	DEG
DLPFC	MSBB_MD22_AD	0.9420062517038456	0.5836911264519048	1.5202831395488876	0.8067345923411856	0.974325348949988	All	DEG
