region	dataset	gene_id	direction	method	external_gene_name
Caudate	BS_Caudate_SZ	ENSG00000205927	All	DEG	OLIG2
Caudate	BS_Caudate_SZ	ENSG00000205927	Decreased in AA	DEG	OLIG2
Caudate	BS_Caudate_SZ	ENSG00000060762	All	DEG	MPC1
Caudate	BS_DLPFC_SZ	ENSG00000060762	All	DEG	MPC1
Caudate	PSY_SZ	ENSG00000060762	All	DEG	MPC1
Caudate	BS_Caudate_SZ	ENSG00000060762	Decreased in AA	DEG	MPC1
Caudate	BS_DLPFC_SZ	ENSG00000060762	Decreased in AA	DEG	MPC1
Caudate	PSY_SZ	ENSG00000060762	Decreased in AA	DEG	MPC1
Caudate	BS_Caudate_SZ	ENSG00000179935	All	DEG	LINC00652
Hippocampus	BS_Caudate_SZ	ENSG00000179935	All	DEG	LINC00652
Caudate	BS_Caudate_SZ	ENSG00000179935	Increased in AA	DEG	LINC00652
Hippocampus	BS_Caudate_SZ	ENSG00000179935	Increased in AA	DEG	LINC00652
Caudate	BS_Caudate_SZ	ENSG00000140522	All	DEG	RLBP1
DLPFC	BS_Caudate_SZ	ENSG00000140522	All	DEG	RLBP1
Caudate	BS_Caudate_SZ	ENSG00000140522	Decreased in AA	DEG	RLBP1
DLPFC	BS_Caudate_SZ	ENSG00000140522	Decreased in AA	DEG	RLBP1
Caudate	BS_Caudate_SZ	ENSG00000081818	All	DEG	PCDHB4
Caudate	PSY_SZ	ENSG00000081818	All	DEG	PCDHB4
Caudate	MAYO_AD	ENSG00000081818	All	DEG	PCDHB4
DLPFC	BS_Caudate_SZ	ENSG00000081818	All	DEG	PCDHB4
DLPFC	PSY_SZ	ENSG00000081818	All	DEG	PCDHB4
DLPFC	MAYO_AD	ENSG00000081818	All	DEG	PCDHB4
Hippocampus	BS_Caudate_SZ	ENSG00000081818	All	DEG	PCDHB4
Hippocampus	PSY_SZ	ENSG00000081818	All	DEG	PCDHB4
Hippocampus	MAYO_AD	ENSG00000081818	All	DEG	PCDHB4
Caudate	BS_Caudate_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Caudate	PSY_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Caudate	MAYO_AD	ENSG00000081818	Decreased in AA	DEG	PCDHB4
DLPFC	BS_Caudate_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
DLPFC	PSY_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
DLPFC	MAYO_AD	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Hippocampus	BS_Caudate_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Hippocampus	PSY_SZ	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Hippocampus	MAYO_AD	ENSG00000081818	Decreased in AA	DEG	PCDHB4
Caudate	BS_Caudate_SZ	ENSG00000174370	All	DEG	KCNJ5-AS1
Caudate	BS_Caudate_SZ	ENSG00000174370	Increased in AA	DEG	KCNJ5-AS1
Caudate	BS_Caudate_SZ	ENSG00000134755	All	DEG	DSC2
Caudate	PSY_SZ	ENSG00000134755	All	DEG	DSC2
Caudate	PSY_ASD	ENSG00000134755	All	DEG	DSC2
Caudate	Parkinsons	ENSG00000134755	All	DEG	DSC2
Caudate	MSBB_MD36_AD	ENSG00000134755	All	DEG	DSC2
Dentate Gyrus	BS_Caudate_SZ	ENSG00000134755	All	DEG	DSC2
Dentate Gyrus	PSY_SZ	ENSG00000134755	All	DEG	DSC2
Dentate Gyrus	PSY_ASD	ENSG00000134755	All	DEG	DSC2
Dentate Gyrus	Parkinsons	ENSG00000134755	All	DEG	DSC2
Dentate Gyrus	MSBB_MD36_AD	ENSG00000134755	All	DEG	DSC2
DLPFC	BS_Caudate_SZ	ENSG00000134755	All	DEG	DSC2
DLPFC	PSY_SZ	ENSG00000134755	All	DEG	DSC2
DLPFC	PSY_ASD	ENSG00000134755	All	DEG	DSC2
DLPFC	Parkinsons	ENSG00000134755	All	DEG	DSC2
DLPFC	MSBB_MD36_AD	ENSG00000134755	All	DEG	DSC2
Caudate	BS_Caudate_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
Caudate	PSY_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
Caudate	PSY_ASD	ENSG00000134755	Decreased in AA	DEG	DSC2
Caudate	Parkinsons	ENSG00000134755	Decreased in AA	DEG	DSC2
Caudate	MSBB_MD36_AD	ENSG00000134755	Decreased in AA	DEG	DSC2
Dentate Gyrus	BS_Caudate_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
Dentate Gyrus	PSY_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
Dentate Gyrus	PSY_ASD	ENSG00000134755	Decreased in AA	DEG	DSC2
Dentate Gyrus	Parkinsons	ENSG00000134755	Decreased in AA	DEG	DSC2
Dentate Gyrus	MSBB_MD36_AD	ENSG00000134755	Decreased in AA	DEG	DSC2
DLPFC	BS_Caudate_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
DLPFC	PSY_SZ	ENSG00000134755	Decreased in AA	DEG	DSC2
DLPFC	PSY_ASD	ENSG00000134755	Decreased in AA	DEG	DSC2
DLPFC	Parkinsons	ENSG00000134755	Decreased in AA	DEG	DSC2
DLPFC	MSBB_MD36_AD	ENSG00000134755	Decreased in AA	DEG	DSC2
Caudate	BS_Caudate_SZ	ENSG00000115252	All	DEG	PDE1A
Caudate	MSBB_MD36_AD	ENSG00000115252	All	DEG	PDE1A
Caudate	BS_Caudate_SZ	ENSG00000115252	Increased in AA	DEG	PDE1A
Caudate	MSBB_MD36_AD	ENSG00000115252	Increased in AA	DEG	PDE1A
Caudate	BS_Caudate_SZ	ENSG00000200503	All	DEG	SNORD115-5
Caudate	BS_Caudate_SZ	ENSG00000200503	Increased in AA	DEG	SNORD115-5
Caudate	BS_Caudate_SZ	ENSG00000141510	All	DEG	TP53
Dentate Gyrus	BS_Caudate_SZ	ENSG00000141510	All	DEG	TP53
Dentate Gyrus	BS_Caudate_SZ	ENSG00000141510	Decreased in AA	DEG	TP53
Caudate	BS_Caudate_SZ	ENSG00000141510	Increased in AA	DEG	TP53
Caudate	BS_Caudate_SZ	ENSG00000170703	All	DEG	TTLL6
DLPFC	BS_Caudate_SZ	ENSG00000170703	All	DEG	TTLL6
Hippocampus	BS_Caudate_SZ	ENSG00000170703	All	DEG	TTLL6
Caudate	BS_Caudate_SZ	ENSG00000170703	Decreased in AA	DEG	TTLL6
DLPFC	BS_Caudate_SZ	ENSG00000170703	Decreased in AA	DEG	TTLL6
Hippocampus	BS_Caudate_SZ	ENSG00000170703	Decreased in AA	DEG	TTLL6
Caudate	BS_Caudate_SZ	ENSG00000149131	All	DEG	SERPING1
Caudate	PSY_SZ	ENSG00000149131	All	DEG	SERPING1
Caudate	PSY_ASD	ENSG00000149131	All	DEG	SERPING1
Caudate	PSY_BD	ENSG00000149131	All	DEG	SERPING1
Caudate	MAYO_AD	ENSG00000149131	All	DEG	SERPING1
Dentate Gyrus	BS_Caudate_SZ	ENSG00000149131	All	DEG	SERPING1
Dentate Gyrus	PSY_SZ	ENSG00000149131	All	DEG	SERPING1
Dentate Gyrus	PSY_ASD	ENSG00000149131	All	DEG	SERPING1
Dentate Gyrus	PSY_BD	ENSG00000149131	All	DEG	SERPING1
Dentate Gyrus	MAYO_AD	ENSG00000149131	All	DEG	SERPING1
DLPFC	BS_Caudate_SZ	ENSG00000149131	All	DEG	SERPING1
DLPFC	PSY_SZ	ENSG00000149131	All	DEG	SERPING1
DLPFC	PSY_ASD	ENSG00000149131	All	DEG	SERPING1
DLPFC	PSY_BD	ENSG00000149131	All	DEG	SERPING1
DLPFC	MAYO_AD	ENSG00000149131	All	DEG	SERPING1
Hippocampus	BS_Caudate_SZ	ENSG00000149131	All	DEG	SERPING1
Hippocampus	PSY_SZ	ENSG00000149131	All	DEG	SERPING1
Hippocampus	PSY_ASD	ENSG00000149131	All	DEG	SERPING1
Hippocampus	PSY_BD	ENSG00000149131	All	DEG	SERPING1
Hippocampus	MAYO_AD	ENSG00000149131	All	DEG	SERPING1
Caudate	BS_Caudate_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
Caudate	PSY_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
Caudate	PSY_ASD	ENSG00000149131	Increased in AA	DEG	SERPING1
Caudate	PSY_BD	ENSG00000149131	Increased in AA	DEG	SERPING1
Caudate	MAYO_AD	ENSG00000149131	Increased in AA	DEG	SERPING1
Dentate Gyrus	BS_Caudate_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
Dentate Gyrus	PSY_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
Dentate Gyrus	PSY_ASD	ENSG00000149131	Increased in AA	DEG	SERPING1
Dentate Gyrus	PSY_BD	ENSG00000149131	Increased in AA	DEG	SERPING1
Dentate Gyrus	MAYO_AD	ENSG00000149131	Increased in AA	DEG	SERPING1
DLPFC	BS_Caudate_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
DLPFC	PSY_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
DLPFC	PSY_ASD	ENSG00000149131	Increased in AA	DEG	SERPING1
DLPFC	PSY_BD	ENSG00000149131	Increased in AA	DEG	SERPING1
DLPFC	MAYO_AD	ENSG00000149131	Increased in AA	DEG	SERPING1
Hippocampus	BS_Caudate_SZ	ENSG00000149131	Increased in AA	DEG	SERPING1
