Modules	Beta	Pvalue	FDR	Tissue
MEblack	0.0551974422339693	0.592159059996511	0.998352493944814	Dentate Gyrus
MEblue	0.0445943527876034	0.665338291994241	0.998352493944814	Dentate Gyrus
MEbrown	0.0128438632754057	0.900951499643232	0.998352493944814	Dentate Gyrus
MEcyan	-0.00261126633833302	0.979814477678302	0.998352493944814	Dentate Gyrus
MEdarkgreen	0.0543649053386633	0.597774430382277	0.998352493944814	Dentate Gyrus
MEdarkgrey	-0.00401156766827961	0.968994259532456	0.998352493944814	Dentate Gyrus
MEdarkmagenta	-0.136311861753906	0.182095059188849	0.998352493944814	Dentate Gyrus
MEdarkolivegreen	0.00943438701810522	0.927161067964532	0.998352493944814	Dentate Gyrus
MEdarkorange	0.0876737424877842	0.39362538809854	0.998352493944814	Dentate Gyrus
MEdarkred	0.0440142466093968	0.66944056912631	0.998352493944814	Dentate Gyrus
MEdarkturquoise	0.0233475712683969	0.820976737087087	0.998352493944814	Dentate Gyrus
MEgreen	-0.0173019705901363	0.866841684989746	0.998352493944814	Dentate Gyrus
MEgreenyellow	-0.0426659833757492	0.679011635364655	0.998352493944814	Dentate Gyrus
MEgrey	-0.0731537462782953	0.477162484253134	0.998352493944814	Dentate Gyrus
MEgrey60	-0.0714147311503483	0.487757716938113	0.998352493944814	Dentate Gyrus
MElightcyan	-0.0100978230617937	0.922054201671021	0.998352493944814	Dentate Gyrus
MElightgreen	0.0544453996152253	0.597230486536992	0.998352493944814	Dentate Gyrus
MElightyellow	0.057860751638819	0.57435439718307	0.998352493944814	Dentate Gyrus
MEmagenta	-0.0380834662139829	0.711909458471698	0.998352493944814	Dentate Gyrus
MEmidnightblue	-0.0277439188697389	0.787982180982727	0.998352493944814	Dentate Gyrus
MEorange	0.0334130426685381	0.745979338134968	0.998352493944814	Dentate Gyrus
MEorangered4	0.0284147568788272	0.782978162210991	0.998352493944814	Dentate Gyrus
MEpaleturquoise	0.00424420512700778	0.967197136821162	0.998352493944814	Dentate Gyrus
MEpink	-0.0861505812348726	0.401963724763098	0.998352493944814	Dentate Gyrus
MEplum1	-0.082253480034996	0.423757925049209	0.998352493944814	Dentate Gyrus
MEpurple	-0.0233083931626078	0.821272238639891	0.998352493944814	Dentate Gyrus
MEred	-0.0399370695604491	0.698535996863474	0.998352493944814	Dentate Gyrus
MEroyalblue	0.0741565342755202	0.471108593807607	0.998352493944814	Dentate Gyrus
MEsaddlebrown	0.000213105060101928	0.998352493944814	0.998352493944814	Dentate Gyrus
MEsalmon	0.0188996567528795	0.854672260884098	0.998352493944814	Dentate Gyrus
MEsienna3	0.00413650540218823	0.968029096968232	0.998352493944814	Dentate Gyrus
MEskyblue	-0.0489464907341605	0.634876545443679	0.998352493944814	Dentate Gyrus
MEskyblue3	-0.0670623749783716	0.514803055661646	0.998352493944814	Dentate Gyrus
MEsteelblue	-0.0868139001350237	0.398319976344622	0.998352493944814	Dentate Gyrus
MEtan	0.0382097470899041	0.710995586629426	0.998352493944814	Dentate Gyrus
MEturquoise	-0.0446414841155319	0.665005420659663	0.998352493944814	Dentate Gyrus
MEviolet	-0.00773517646498678	0.940253652462713	0.998352493944814	Dentate Gyrus
MEwhite	-0.0346229980710724	0.737103782158146	0.998352493944814	Dentate Gyrus
MEyellow	0.00886423818272327	0.931552169981322	0.998352493944814	Dentate Gyrus
MEyellowgreen	0.0338830795079863	0.742527472538495	0.998352493944814	Dentate Gyrus
