Region	Direction	OR	PValue	FDR
Caudate	Up	1.5204527913558015	0.18584370372924217	0.21207605368592178
Caudate	Down	1.3948248451291048	0.21207605368592178	0.21207605368592178
Caudate	All	1.4423556998269276	0.05707129123987016	0.1712138737196105
Dentate Gyrus	Up	1.9311669435215948	0.030080883980988758	0.04512132597148314
Dentate Gyrus	Down	1.48916015625	0.1255512209144508	0.1255512209144508
Dentate Gyrus	All	1.6567680294227387	0.013445644692193615	0.040336934076580844
DLPFC	Up	1.879467680608365	0.025565191019594626	0.07669557305878388
DLPFC	Down	1.039561167155587	0.8940076022716106	0.8940076022716106
DLPFC	All	1.382608695652174	0.10119969631101683	0.15179954446652524
Hippocampus	Up	1.3065143867162936	0.3230657070819527	0.48459856062292905
Hippocampus	Down	1.2188708247117943	0.559255519114469	0.559255519114469
Hippocampus	All	1.2733859002287602	0.21984469774271811	0.48459856062292905
