GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Bias	geneRatio
GO:0022626	CC	e	cytosolic ribosome	22/2111	76/29107	3.116550935665562e-07	6	22	0.0005082265159399016	347.0, 4736.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6158.0, 6161.0, 6164.0, 6168.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6203.0, 6205.0, 6217.0, 6224.0, 6228.0, 6229.0	3.2939426800452543	dlpfc	All	0.020843202273803884
GO:0002181	BP	e	cytoplasmic translation	24/2111	85/29107	5.038122052722839e-07	8	24	0.003212889310090113	4736.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6158.0, 6161.0, 6164.0, 6168.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6203.0, 6205.0, 6217.0, 6224.0, 6228.0, 6229.0, 6231.0, 6234.0, 51372.0	2.4931042364295406	dlpfc	All	0.022738038844149693
GO:0006099	BP	e	tricarboxylic acid cycle	12/2111	30/29107	5.169988430429017e-07	3	12	0.003212889310090113	48.0, 1431.0, 1737.0, 3419.0, 3421.0, 4191.0, 4967.0, 5160.0, 6389.0, 8802.0, 23530.0, 130752.0	2.4931042364295406	dlpfc	All	0.011369019422074847
GO:0022627	CC	e	cytosolic small ribosomal subunit	15/2111	41/29107	5.798362988475774e-07	5	15	0.0005082265159399016	6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6203.0, 6205.0, 6217.0, 6224.0, 6228.0, 6229.0, 6231.0, 6234.0, 64963.0, 83939.0	3.2939426800452543	dlpfc	All	0.014211274277593557
GO:0003735	MF	e	structural constituent of ribosome	36/2111	163/29107	6.654695547215933e-07	2	36	0.002350259774546799	4736.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6150.0, 6158.0, 6161.0, 6164.0, 6166.0, 6168.0, 6181.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6203.0, 6205.0, 6217.0, 6224.0, 6228.0, 6229.0, 6231.0, 6234.0, 7818.0, 9801.0, 10884.0, 29074.0, 51081.0, 60488.0, 64963.0, 64983.0, 116832.0, 285855.0	2.628884132444411	dlpfc	All	0.03410705826622454
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	1/2111	401/29107	1.344649028394723e-06	5	1	0.004123334323426394	138799.0	2.3847514508079466	dlpfc	All	0.0009474182851729038
GO:0035556	BP	e	intracellular signal transduction	61/2111	402/29107	1.388828456270899e-06	5	61	0.004123334323426394	695.0, 1606.0, 2011.0, 2932.0, 3635.0, 3702.0, 3716.0, 5058.0, 5336.0, 5502.0, 5578.0, 5580.0, 5583.0, 5586.0, 5595.0, 5603.0, 6196.0, 6300.0, 6610.0, 6732.0, 6850.0, 7006.0, 7305.0, 7531.0, 8476.0, 8569.0, 8605.0, 8877.0, 8878.0, 10000.0, 10019.0, 10156.0, 10718.0, 11214.0, 11215.0, 22983.0, 23263.0, 23371.0, 50488.0, 51473.0, 51657.0, 51665.0, 51701.0, 55351.0, 56776.0, 57787.0, 64283.0, 79858.0, 81617.0, 84727.0, 84930.0, 92369.0, 118987.0, 142684.0, 150094.0, 200576.0, 260425.0, 341019.0, 342667.0, 100820829.0, 102724428.0	2.3847514508079466	dlpfc	All	0.05779251539554713
GO:0005930	CC	e	axoneme	25/2111	113/29107	1.554845272647533e-06	2	25	0.0009085479209837081	1769.0, 4735.0, 5289.0, 5566.0, 7802.0, 9576.0, 11337.0, 22920.0, 23322.0, 26074.0, 51473.0, 54777.0, 55036.0, 80217.0, 80258.0, 85478.0, 89876.0, 92749.0, 93233.0, 118491.0, 123872.0, 146754.0, 158067.0, 196385.0, 339829.0	3.0416521610692913	dlpfc	All	0.023685457129322594
GO:0035195	BP	p	gene silencing by miRNA	4/2111	557/29107	1.97664369272216e-06	10	4	0.004123334323426394	8994.0, 81571.0, 407008.0, 693166.0	2.3847514508079466	dlpfc	All	0.0037896731406916154
GO:0006412	BP	e	translation	36/2111	195/29107	1.990506552462657e-06	7	36	0.004123334323426394	1956.0, 2686.0, 4736.0, 6124.0, 6134.0, 6135.0, 6137.0, 6144.0, 6150.0, 6158.0, 6161.0, 6164.0, 6166.0, 6168.0, 6181.0, 6187.0, 6189.0, 6191.0, 6193.0, 6194.0, 6203.0, 6205.0, 6217.0, 6224.0, 6228.0, 6229.0, 6231.0, 6234.0, 9801.0, 10884.0, 22849.0, 29074.0, 51081.0, 64963.0, 64983.0, 116832.0	2.3847514508079466	dlpfc	All	0.03410705826622454
