Module_1	Module_2	Semantic_Similarity	Ont	Tissue
grey	cyan	0.384	MF	DLPFC
grey	yellow	0.712	MF	DLPFC
grey	blue	0.47	MF	DLPFC
grey	paleturquoise	0.511	MF	DLPFC
grey	pink	0.473	MF	DLPFC
grey	purple	0.541	MF	DLPFC
grey	darkgrey	1	MF	DLPFC
grey	turquoise	0.673	MF	DLPFC
grey	royalblue	0.58	MF	DLPFC
grey	darkturquoise	0.353	MF	DLPFC
grey	orange		MF	DLPFC
grey	midnightblue		MF	DLPFC
grey	red	0.61	MF	DLPFC
grey	magenta	0.395	MF	DLPFC
grey	greenyellow	0.537	MF	DLPFC
grey	darkred	0.573	MF	DLPFC
grey	black	0.49	MF	DLPFC
grey	green	0.451	MF	DLPFC
grey	white	0.541	MF	DLPFC
grey	lightgreen	0.586	MF	DLPFC
grey	brown	0.627	MF	DLPFC
grey	darkorange	0.56	MF	DLPFC
grey	lightcyan	0.573	MF	DLPFC
grey	salmon	0.475	MF	DLPFC
grey	violet	0.486	MF	DLPFC
grey	darkgreen	0.388	MF	DLPFC
grey	lightyellow	0.507	MF	DLPFC
grey	grey60	0.602	MF	DLPFC
grey	tan	0.602	MF	DLPFC
grey	steelblue	0.394	MF	DLPFC
cyan	grey	0.384	MF	DLPFC
cyan	yellow	0.567	MF	DLPFC
cyan	blue	0.517	MF	DLPFC
cyan	paleturquoise	0.459	MF	DLPFC
cyan	pink	0.485	MF	DLPFC
cyan	purple	0.437	MF	DLPFC
cyan	darkgrey	1	MF	DLPFC
cyan	turquoise	0.503	MF	DLPFC
cyan	royalblue	0.45	MF	DLPFC
cyan	darkturquoise	0.418	MF	DLPFC
cyan	orange		MF	DLPFC
cyan	midnightblue		MF	DLPFC
cyan	red	0.453	MF	DLPFC
cyan	magenta	0.464	MF	DLPFC
cyan	greenyellow	0.471	MF	DLPFC
cyan	darkred	0.435	MF	DLPFC
cyan	black	0.391	MF	DLPFC
cyan	green	0.422	MF	DLPFC
cyan	white	0.467	MF	DLPFC
cyan	lightgreen	0.416	MF	DLPFC
cyan	brown	0.379	MF	DLPFC
cyan	darkorange	0.465	MF	DLPFC
cyan	lightcyan	0.51	MF	DLPFC
cyan	salmon	0.371	MF	DLPFC
cyan	violet	0.492	MF	DLPFC
cyan	darkgreen	0.261	MF	DLPFC
cyan	lightyellow	0.463	MF	DLPFC
cyan	grey60	0.472	MF	DLPFC
cyan	tan	0.472	MF	DLPFC
cyan	steelblue	0.367	MF	DLPFC
yellow	grey	0.712	MF	DLPFC
yellow	cyan	0.567	MF	DLPFC
yellow	blue	0.461	MF	DLPFC
yellow	paleturquoise	0.615	MF	DLPFC
yellow	pink	0.53	MF	DLPFC
yellow	purple	0.58	MF	DLPFC
yellow	darkgrey	1	MF	DLPFC
yellow	turquoise	0.604	MF	DLPFC
yellow	royalblue	0.633	MF	DLPFC
yellow	darkturquoise	0.456	MF	DLPFC
yellow	orange		MF	DLPFC
yellow	midnightblue		MF	DLPFC
yellow	red	0.654	MF	DLPFC
yellow	magenta	0.393	MF	DLPFC
yellow	greenyellow	0.586	MF	DLPFC
yellow	darkred	0.74	MF	DLPFC
