Region	Direction	Subregion	OR	PValue	FDR
Caudate	Up	extended class I	1.977650771986693	0.22038628055469464	0.36954527764264095
Caudate	Down	extended class I	2.2734917580118816	0.07870860217679086	0.19677150544197713
Caudate	All	extended class I	2.190221694378464	0.03138877424383361	0.09416632273150083
Caudate	Up	classical class I	2.5038834951456312	0.22172716658558456	0.36954527764264095
Caudate	Down	classical class I	1.6317482517482518	0.4373508745906943	0.5963875562600378
Caudate	All	classical class I	1.9118444400630914	0.19878733919004118	0.36954527764264095
Caudate	Up	classical class III	1.6681769147788565	0.36240442061044126	0.543606630915662
Caudate	Down	classical class III	3.7977710892377776	0.010321943324980884	0.046116119006514085
Caudate	All	classical class III	2.885468495698675	0.012297631735070423	0.046116119006514085
Caudate	Up	classical class II	0.0	1.0	1.0
Caudate	Down	classical class II	12.012326656394453	0.0019199897073479389	0.028799845610219085
Caudate	All	classical class II	6.997635933806147	0.006996807034597743	0.046116119006514085
Caudate	Up	extended class II	0.0	1.0	1.0
Caudate	Down	extended class II	0.0	1.0	1.0
Caudate	All	extended class II	0.0	0.6226439596731237	0.7783049495914046
Dentate Gyrus	Up	extended class I	3.8381031295812353	0.002817086492886736	0.02112814869665052
Dentate Gyrus	Down	extended class I	2.136819360414866	0.1851180836306733	0.46279520907668326
Dentate Gyrus	All	extended class I	3.198377281947262	0.0016015941960003525	0.02112814869665052
Dentate Gyrus	Up	classical class I	1.3776965265082266	0.6581250824536714	1.0
Dentate Gyrus	Down	classical class I	0.0	1.0	1.0
Dentate Gyrus	All	classical class I	0.9067049533381192	1.0	1.0
Dentate Gyrus	Up	classical class III	2.911443746982134	0.06604304689825234	0.33021523449126167
Dentate Gyrus	Down	classical class III	1.0252299279144916	1.0	1.0
Dentate Gyrus	All	classical class III	2.1504468177855274	0.10095476363207623	0.37858036362028585
Dentate Gyrus	Up	classical class II	3.4452554744525545	0.2958653714792793	0.5547475715236487
Dentate Gyrus	Down	classical class II	3.6966442953020135	0.2714778647429194	0.5547475715236487
Dentate Gyrus	All	classical class II	3.5318816303740928	0.13543433160620172	0.40630299481860516
Dentate Gyrus	Up	extended class II	0.0	1.0	1.0
Dentate Gyrus	Down	extended class II	0.0	1.0	1.0
Dentate Gyrus	All	extended class II	0.0	1.0	1.0
DLPFC	Up	extended class I	1.430019120458891	0.6521490996333006	0.8998411640973067
DLPFC	Down	extended class I	1.502930402930403	0.3531123775974127	0.7566693805658844
DLPFC	All	extended class I	1.4672591206735266	0.3152419953927353	0.7566693805658844
DLPFC	Up	classical class I	1.2990978487161693	0.5562903569841458	0.8998411640973067
DLPFC	Down	classical class I	2.8693528693528694	0.06728323573787127	0.31718474712187367
DLPFC	All	classical class I	2.2945385514018692	0.08458259923249964	0.31718474712187367
DLPFC	Up	classical class III	0.8399191737763808	1.0	1.0
DLPFC	Down	classical class III	1.3642999336429993	0.6598835203380249	0.8998411640973067
DLPFC	All	classical class III	1.1270091848450057	0.7493039299798846	0.9366299124748557
DLPFC	Up	classical class II	8.613793103448275	0.012169055623670924	0.09126791717753192
DLPFC	Down	classical class II	7.508196721311475	0.17611907525210915	0.5283572257563275
DLPFC	All	classical class II	8.396958783513405	0.0038078806157599405	0.057118209236399105
DLPFC	Up	extended class II	0.0	1.0	1.0
DLPFC	Down	extended class II	0.0	1.0	1.0
DLPFC	All	extended class II	0.0	0.6195406322655194	0.8998411640973067
Hippocampus	Up	extended class I	1.3568753344034243	0.6607696223908263	0.989819583743829
Hippocampus	Down	extended class I	1.7186360031720855	0.30501486857213034	0.692169527003784
Hippocampus	All	extended class I	1.5441609421000981	0.29592164987014985	0.692169527003784
Hippocampus	Up	classical class I	1.0166889185580774	1.0	1.0
Hippocampus	Down	classical class I	0.0	0.6331607230828897	0.989819583743829
Hippocampus	All	classical class I	0.427490234375	0.7258676947454745	0.989819583743829
Hippocampus	Up	classical class III	1.186448598130841	0.5866130714962188	0.989819583743829
Hippocampus	Down	classical class III	1.932573599240266	0.22357188317102114	0.692169527003784
Hippocampus	All	classical class III	1.6245167276663746	0.3230124459350992	0.692169527003784
Hippocampus	Up	classical class II	8.58236397748593	0.01228143422449523	0.09211075668371423
Hippocampus	Down	classical class II	8.364754098360656	0.1601187345479604	0.692169527003784
Hippocampus	All	classical class II	8.836155030082551	0.0032013260041397064	0.048019890062095595
Hippocampus	Up	extended class II	0.0	1.0	1.0
Hippocampus	Down	extended class II	0.0	1.0	1.0
Hippocampus	All	extended class II	0.0	1.0	1.0
