ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
C0524910	Hepatitis C, Chronic	26/502	211/12288	4.79001280451101e-07	0.00193874765255141	0.00171120039861618	C3/CD14/CD38/ACKR2/DHFR/EGFR/ENG/HGF/HSPG2/IRF1/KLRD1/LPL/MX1/OAS1/SLC11A1/TIMP1/TLR3/AOC3/CD163/PTPN22/CYBRD1/PNPLA3/HAVCR2/RSAD2/IFNLR1/CD24	26
C0030305	Pancreatitis	29/502	256/12288	6.30986637034315e-07	0.00193874765255141	0.00171120039861618	A2M/AMY2A/C3/CBS/CD14/CD38/EGFR/ELK3/EPAS1/SLC37A4/HGF/ITGAM/ITGB2/LPL/EPCAM/MIF/COX1/NTSR1/SMN1/TLR3/UGT8/VIP/ATP2C2/IFITM3/PTPN22/NUPR1/ROPN1L/EBPL/ZGLP1	29
C0007570	Celiac Disease	29/502	261/12288	9.44042031756894e-07	0.00193874765255141	0.00171120039861618	RUNX1/CD14/CD38/DNAH8/EGFR/ERBB2/IRF1/LGALS1/LPL/MIF/PDGFB/PLEK/SGK1/TG/TIMP1/TLR3/VIP/BEST1/WNT3/GATD3/TMEM187/TNFRSF14/LRAT/TNFSF13B/PTPN22/PIWIL2/PNPLA3/NCALD/ZGLP1	29
C4048329	Immunosuppression	31/502	323/12288	8.83107108771676e-06	0.0105044808065324	0.00927158917239107	APRT/CCND1/CD14/CD38/CYBB/DDIT3/EGFR/ELK3/EMP1/ERBB2/FKBP5/CFH/HGF/ITGAM/ITGB2/LGALS1/LGALS3/LPL/SLC16A1/TIMP1/TLR3/VIP/BEST1/TNFRSF14/PTGES/TNFSF13B/STON1/PTPN22/PIWIL2/NT5C1A/HAVCR2	31
C0021368	Inflammation	23/502	208/12288	1.36850127161207e-05	0.0105044808065324	0.00927158917239107	A2M/APOD/AQP7/SERPING1/C3/CD38/CHRNA4/ACKR2/EGFR/ACKR1/HGF/NRG1/IRF1/CD99/MIF/PDGFB/THBS1/TIMP1/TLR3/VIP/CD163/PTGES/TNFSF13B	23
C0010823	Cytomegalovirus Infections	26/502	256/12288	1.75821724387102e-05	0.0105044808065324	0.00927158917239107	APRT/ATP6V0C/B2M/CD14/DDIT3/DNAH8/EGFR/HSPG2/IRF8/ITGAM/ITGB2/KLRD1/LGALS3/LPL/MIF/SLC11A1/THBS1/TLR3/VIP/AOC3/LPAR2/TNFSF13B/ACKR3/GSDMD/NT5C1A/RSAD2	26
C0024143	Lupus Nephritis	26/502	256/12288	1.75821724387102e-05	0.0105044808065324	0.00927158917239107	B2M/SERPING1/C3/CD38/CD74/ERBB2/CFH/HGF/HSPG2/ITGAM/ITGB2/LGALS3/MX1/NFATC1/PDGFB/SGK1/SH3BP2/TIMP1/TLR3/VIP/CD163/KL/TNFSF13B/RHBDF2/NT5C1A/HAVCR2	26
C0677607	Hashimoto Disease	19/502	155/12288	1.80301537858577e-05	0.0105044808065324	0.00927158917239107	CCND1/C3/CD14/CD38/CYBB/EPAS1/ERBB2/GPX3/IRF8/ITGB2/LGALS3/MIF/PLCG2/SMN1/TG/VIP/TNFSF13B/PTPN22/CD24	19
C0524909	Hepatitis B, Chronic	21/502	183/12288	1.83895163508792e-05	0.0105044808065324	0.00927158917239107	APRT/CD14/CYBB/EPAS1/HGF/IRF1/KLRD1/LGALS3/CD99/MIF/TIMP1/TLR3/CD163/TNFSF13B/USP18/PTPN22/PNPLA3/HAVCR2/NEAT1/CD24/SPATA1	21
C0949690	Spondylarthritis	11/502	58/12288	1.88917090200052e-05	0.0105044808065324	0.00927158917239107	B2M/CD14/CD74/IRF1/SLC14A1/TG/CD163/CPQ/PADI2/NLRP2/SFTPA2	11
