Region	Direction	OR	PValue	FDR
Caudate	Up	0.0	1.0	1.0
Caudate	Down	8.590167548500881	0.0013566090486538571	0.00284180937259672
Caudate	All	7.659207413249211	0.0018945395817311465	0.00284180937259672
Dentate Gyrus	Up	0.0	1.0	1.0
Dentate Gyrus	Down	3.6966442953020135	0.2714778647429194	0.8144335942287583
Dentate Gyrus	All	1.3228748326639892	0.5482585808468792	0.8223878712703188
DLPFC	Up	10.76867816091954	0.00799038936715098	0.01198558405072647
DLPFC	Down	7.5200729927007295	0.049476701955516476	0.049476701955516476
DLPFC	All	9.192172897196262	0.0008820236635972753	0.002646070990791826
Hippocampus	Up	10.72936210131332	0.008065555829988563	0.024196667489965688
Hippocampus	Down	0.0	1.0	1.0
Hippocampus	All	4.633561643835616	0.040763842760524124	0.06114576414078619
