Tissue	Canonical	Odds_Ratio	P_value	FDR
Caudate	True	1.602039547319985	0.004164556648137896	0.012493669944413687
Caudate	False	1.1005464480874316	0.29770500931464017	0.29770500931464017
Caudate	All	1.147572318884561	0.07770500003025677	0.11655750004538515
Dentate.Gyrus	True	1.2915404766468597	0.017095104519431942	0.051285313558295825
Dentate.Gyrus	False	1.083797071694851	0.24318792247115384	0.24318792247115384
Dentate.Gyrus	All	1.0961073757581872	0.11146346352374828	0.16719519528562243
DLPFC	True	1.285467017797222	0.07715387295626465	0.23146161886879396
DLPFC	False	1.028378995715679	0.7359454680704612	0.7359454680704612
DLPFC	All	1.0298364255968377	0.6713982668116725	0.7359454680704612
Hippocampus	True	1.3203360720419626	0.03230699474929274	0.07575963732595323
Hippocampus	False	1.1412995027399777	0.07575963732595323	0.07575963732595323
Hippocampus	All	1.1316819155345028	0.05424693720826239	0.07575963732595323
