Modules	Pvalue	FDR	Tissue
MEblack	0.597472448147656	0.762292433843561	Caudate
MEblue	0.710225442766354	0.847688431688874	Caudate
MEbrown	0.338344029597607	0.564872274647726	Caudate
MEcyan	0.517614587745177	0.709323694317465	Caudate
MEdarkgreen	0.138327416677094	0.480635320751339	Caudate
MEdarkgrey	0.268526255311759	0.53154979236081	Caudate
MEdarkmagenta	0.502779109794668	0.709323694317465	Caudate
MEdarkolivegreen	0.287996082934055	0.532792753428001	Caudate
MEdarkorange	0.266160578155422	0.53154979236081	Caudate
MEdarkred	0.259438489633093	0.53154979236081	Caudate
MEdarkturquoise	0.261996454776366	0.53154979236081	Caudate
MEgreen	0.351136819375613	0.564872274647726	Caudate
MEgreenyellow	0.0835615025387653	0.388307927577476	Caudate
MEgrey	0.789270106443044	0.912593560574769	Caudate
MEgrey60	0.142891581844993	0.480635320751339	Caudate
MElightcyan	0.488695549014071	0.709323694317465	Caudate
MElightgreen	0.910551802582834	0.953202393909961	Caudate
MElightyellow	0.136044836779472	0.480635320751339	Caudate
MEmagenta	0.0425120842935903	0.388307927577476	Caudate
MEmidnightblue	0.840237326953896	0.94208427567558	Caudate
MEorange	0.0839584708275623	0.388307927577476	Caudate
MEpaleturquoise	0.272958001482578	0.53154979236081	Caudate
MEpink	0.703159698300379	0.847688431688874	Caudate
MEpurple	0.186117651839682	0.529719470620632	Caudate
MEred	0.953202393909961	0.953202393909961	Caudate
MEroyalblue	0.245787779108428	0.53154979236081	Caudate
MEsaddlebrown	0.0742770114332927	0.388307927577476	Caudate
MEsalmon	0.420599383407216	0.648424049419459	Caudate
MEsienna3	0.585302875968764	0.762292433843561	Caudate
MEskyblue	0.0155758706278703	0.288153606615601	Caudate
MEsteelblue	0.321802377376929	0.564872274647726	Caudate
MEtan	0.0604355981074749	0.388307927577476	Caudate
MEturquoise	0.938093865152095	0.953202393909961	Caudate
MEviolet	0.000275797875413404	0.010204521390296	Caudate
MEwhite	0.91961598642757	0.953202393909961	Caudate
MEyellow	0.0800877543083642	0.388307927577476	Caudate
MEyellowgreen	0.165890554271044	0.511495875669052	Caudate
