Modules	Pvalue	FDR	Tissue
MEantiquewhite4	0.281073469787862	0.984242057088775	Dentate Gyrus
MEbisque4	0.812760719992875	0.984242057088775	Dentate Gyrus
MEblack	0.542167182116372	0.984242057088775	Dentate Gyrus
MEblue	0.627225854792541	0.984242057088775	Dentate Gyrus
MEbrown	0.926342994651699	0.984242057088775	Dentate Gyrus
MEbrown4	0.908312373869404	0.984242057088775	Dentate Gyrus
MEcoral1	0.816860201310662	0.984242057088775	Dentate Gyrus
MEcyan	0.704301184325156	0.984242057088775	Dentate Gyrus
MEdarkgreen	0.87148836412986	0.984242057088775	Dentate Gyrus
MEdarkgrey	0.603669912967639	0.984242057088775	Dentate Gyrus
MEdarkmagenta	0.399984593936242	0.984242057088775	Dentate Gyrus
MEdarkolivegreen	0.997756723793154	0.997756723793154	Dentate Gyrus
MEdarkorange	0.353625235451388	0.984242057088775	Dentate Gyrus
MEdarkorange2	0.893474478306662	0.984242057088775	Dentate Gyrus
MEdarkred	0.695802854988572	0.984242057088775	Dentate Gyrus
MEdarkseagreen4	0.466708833943445	0.984242057088775	Dentate Gyrus
MEdarkslateblue	0.36617904933244	0.984242057088775	Dentate Gyrus
MEdarkturquoise	0.522387486536879	0.984242057088775	Dentate Gyrus
MEfloralwhite	0.968367185200246	0.984242057088775	Dentate Gyrus
MEgreen	0.92976137583753	0.984242057088775	Dentate Gyrus
MEgreenyellow	0.465262200255293	0.984242057088775	Dentate Gyrus
MEgrey	0.906102719452793	0.984242057088775	Dentate Gyrus
MEgrey60	0.713993717011825	0.984242057088775	Dentate Gyrus
MEhoneydew1	0.871205637267363	0.984242057088775	Dentate Gyrus
MEivory	0.784998466099656	0.984242057088775	Dentate Gyrus
MElavenderblush3	0.948773195190174	0.984242057088775	Dentate Gyrus
MElightcyan	0.258913963413456	0.984242057088775	Dentate Gyrus
MElightcyan1	0.807932906662405	0.984242057088775	Dentate Gyrus
MElightgreen	0.961053085946573	0.984242057088775	Dentate Gyrus
MElightpink4	0.438608518440562	0.984242057088775	Dentate Gyrus
MElightsteelblue1	0.496040366268571	0.984242057088775	Dentate Gyrus
MElightyellow	0.347809475345873	0.984242057088775	Dentate Gyrus
MEmagenta	0.891182920926933	0.984242057088775	Dentate Gyrus
MEmaroon	0.280852197265808	0.984242057088775	Dentate Gyrus
MEmediumpurple3	0.914317456275714	0.984242057088775	Dentate Gyrus
MEmidnightblue	0.652742522650002	0.984242057088775	Dentate Gyrus
MEnavajowhite2	0.52577682148698	0.984242057088775	Dentate Gyrus
MEorange	0.695179381804114	0.984242057088775	Dentate Gyrus
MEorangered4	0.852978203880409	0.984242057088775	Dentate Gyrus
MEpaleturquoise	0.552992215325454	0.984242057088775	Dentate Gyrus
MEpalevioletred3	0.378251950249638	0.984242057088775	Dentate Gyrus
MEpink	0.525439372530913	0.984242057088775	Dentate Gyrus
MEplum1	0.450742486135942	0.984242057088775	Dentate Gyrus
MEplum2	0.783040272523488	0.984242057088775	Dentate Gyrus
MEpurple	0.864386843343165	0.984242057088775	Dentate Gyrus
MEred	0.56753018122079	0.984242057088775	Dentate Gyrus
MEroyalblue	0.577402806486936	0.984242057088775	Dentate Gyrus
MEsaddlebrown	0.345688314187399	0.984242057088775	Dentate Gyrus
MEsalmon	0.709358848916651	0.984242057088775	Dentate Gyrus
MEsalmon4	0.501400813024869	0.984242057088775	Dentate Gyrus
MEsienna3	0.894694633320147	0.984242057088775	Dentate Gyrus
MEskyblue	0.566340550639467	0.984242057088775	Dentate Gyrus
MEskyblue3	0.862117212380039	0.984242057088775	Dentate Gyrus
MEsteelblue	0.841486956922759	0.984242057088775	Dentate Gyrus
MEtan	0.960954880594137	0.984242057088775	Dentate Gyrus
MEthistle1	0.960968459311631	0.984242057088775	Dentate Gyrus
MEthistle2	0.937686467695332	0.984242057088775	Dentate Gyrus
MEturquoise	0.73612137175224	0.984242057088775	Dentate Gyrus
MEviolet	0.947193053173305	0.984242057088775	Dentate Gyrus
MEwhite	0.944800871677783	0.984242057088775	Dentate Gyrus
MEyellow	0.882860485525848	0.984242057088775	Dentate Gyrus
MEyellowgreen	0.847566918676207	0.984242057088775	Dentate Gyrus
