Tissue	Feature	OR	PValue	FDR
Caudate	Gene	1.0939246988262492	0.15051500760406183	0.17201715154749925
Caudate	Transcript	0.9257026209205371	0.010684449048919749	0.015541016798428725
Caudate	Exon	1.4456441812012575	1.8567766759035474e-146	1.4854213407228379e-145
Caudate	Junction	1.5159399501524697	1.8207351864188604e-70	3.641470372837721e-70
Dentate Gyrus	Gene	1.0314097530179847	0.7831077440199397	0.8353149269546023
Dentate Gyrus	Transcript	1.1500770737874653	0.0024643901504805355	0.003943024240768857
Dentate Gyrus	Exon	1.548562677566548	9.706461939245891e-80	2.2186198718276322e-79
Dentate Gyrus	Junction	1.9716446361717404	4.246600590233671e-89	1.1324268240623124e-88
DLPFC	Gene	1.1557697632562647	0.042159059183073985	0.05188807284070644
DLPFC	Transcript	1.070643802034321	0.0372506991079055	0.04966759881054067
DLPFC	Exon	1.5607658395694022	3.429987130764348e-176	5.487979409222956e-175
DLPFC	Junction	1.7820691603493424	7.340482917078929e-119	2.9361931668315717e-118
Hippocampus	Gene	0.9984510121457489	1.0	1.0
Hippocampus	Transcript	1.1122357307509518	0.0008813562747725452	0.001566855599595636
Hippocampus	Exon	1.4673755594536757	5.053703553624738e-128	2.6953085619331936e-127
Hippocampus	Junction	1.7247962019720997	5.97665153159919e-100	1.912528490111741e-99
