Tissue	OR	P-value	FDR	Direction
Caudate	1.3932119826575913	0.21557029096903182	0.43114058193806365	All
Dentate Gyrus	1.0363947435373353	0.893770193421846	0.893770193421846	All
DLPFC	1.2993860599494402	0.3525948335139242	0.47012644468523224	All
Hippocampus	1.585535128832467	0.08986663422352492	0.3594665368940997	All
Caudate	2.062944454309463	0.02619508808539206	0.05239017617078412	Decreased in AA
Dentate Gyrus	1.281292664649418	0.3699930243494829	0.3699930243494829	Decreased in AA
DLPFC	1.6181304129035676	0.21748593403632605	0.28998124538176806	Decreased in AA
Hippocampus	2.5163003587558137	0.0058176684402294135	0.023270673760917654	Decreased in AA
Caudate	0.7298788497156006	0.8270500498770841	0.8414056200439843	Increased in AA
Dentate Gyrus	0.7495512386060035	0.6952466075305037	0.8414056200439843	Increased in AA
DLPFC	1.0786101899306602	0.8414056200439843	0.8414056200439843	Increased in AA
Hippocampus	0.6656222755013078	0.6374282474757811	0.8414056200439843	Increased in AA
