Region	Direction	OR	PValue	FDR
Caudate	Up	1.3908730158730158	0.536682614764773	0.536682614764773
Caudate	Down	2.535131048387097	0.006844416085488594	0.010498541864975657
Caudate	All	2.1337010919017287	0.006999027909983771	0.010498541864975657
Dentate Gyrus	Up	1.7297047970479704	0.1987394702723551	0.5962184108170654
Dentate Gyrus	Down	0.7369506726457399	1.0	1.0
Dentate Gyrus	All	1.3506703078450844	0.4231226705557761	0.6346840058336642
DLPFC	Up	1.9587493431424068	0.1396021111539355	0.1396021111539355
DLPFC	Down	1.8199022035943355	0.1247075797010905	0.1396021111539355
DLPFC	All	1.877321738488239	0.051465012671971365	0.1396021111539355
Hippocampus	Up	1.7009685230024214	0.23399732279433336	0.6451712543508329
Hippocampus	Down	1.0440721649484537	0.793284142660172	0.793284142660172
Hippocampus	All	1.3111071906106075	0.4301141695672219	0.6451712543508329
