GO:0045892 BP 4.87e-08 19/1757   447/15181 D10 negative regulation of transcription, DNA-templated 2737.0, 4261.0, 6299.0, 8864.0, 9252.0, 9314.0, 9425.0, 10172.0, 10389.0, 22809.0, 26149.0, 51085.0, 54815.0, 57761.0, 63976.0, 80317.0, 84215.0, 84875.0, 387082.0 
GO:0005930 CC 1.20e-07 30/1757    94/15181 D02 axoneme                                  1767.0, 2737.0, 7289.0, 8701.0, 10382.0, 30849.0, 51473.0, 55130.0, 55212.0, 55329.0, 55812.0, 80217.0, 80258.0, 83450.0, 83538.0, 84100.0, 85452.0, 89891.0, 115948.0, 118491.0, 123872.0, 132851.0, 144406.0, 146845.0, 158067.0, 196385.0, 199221.0, 221421.0, 255758.0, 345895.0 
GO:0031514 CC 1.81e-05 24/1757    84/15181 D05 motile cilium                            1767.0, 6652.0, 8701.0, 26256.0, 26762.0, 53340.0, 55329.0, 64064.0, 79781.0, 83659.0, 83853.0, 85016.0, 89765.0, 91978.0, 117155.0, 118491.0, 122481.0, 144406.0, 152015.0, 221421.0, 222235.0, 345895.0, 387885.0, 402160.0 
GO:0005654 CC 9.05e-26 230/1757  3406/15181 D02 nucleoplasm                              148.0, 353.0, 367.0, 393.0, 580.0, 587.0, 648.0, 699.0, 745.0, 816.0, 1021.0, 1468.0, 1663.0, 1677.0, 1787.0, 1854.0, 1958.0, 1961.0, 2119.0, 2353.0, 2444.0, 2553.0, 2737.0, 2872.0, 3164.0, 3344.0, 3394.0, 3726.0, 3838.0, 3899.0, 3958.0, 3978.0, 4004.0, 4085.0, 4093.0, 4174.0, 4261.0, 4353.0, 4487.0, 4683.0, 4843.0, 4854.0, 4929.0, 5300.0, 5303.0, 5324.0, 5395.0, 5435.0, 5530.0, 5557.0, 5598.0, 5600.0, 5702.0, 5890.0, 5915.0, 5916.0, 5935.0, 6046.0, 6234.0, 6284.0, 6299.0, 6470.0, 6606.0, 6607.0, 6631.0, 6721.0, 6886.0, 6908.0, 7174.0, 7186.0, 7267.0, 7289.0, 7307.0, 7320.0, 7391.0, 7494.0, 7516.0, 7849.0, 8086.0, 8175.0, 8334.0, 8339.0, 8342.0, 8357.0, 8360.0, 8362.0, 8363.0, 8367.0, 8436.0, 8438.0, 8449.0, 8507.0, 8517.0, 8864.0, 9015.0, 9025.0, 9252.0, 9314.0, 9401.0, 9414.0, 9443.0, 9557.0, 9595.0, 9767.0, 9949.0, 10100.0, 10106.0, 10131.0, 10172.0, 10324.0, 10361.0, 10450.0, 10458.0, 10466.0, 10607.0, 10608.0, 10620.0, 10739.0, 10776.0, 10799.0, 10855.0, 11157.0, 22797.0, 22809.0, 22932.0, 22950.0, 23220.0, 23234.0, 23283.0, 23396.0, 23421.0, 23460.0, 23582.0, 23583.0, 23658.0, 25885.0, 25920.0, 26095.0, 26145.0, 26173.0, 26256.0, 26298.0, 27341.0, 29028.0, 29894.0, 51071.0, 51085.0, 51096.0, 51149.0, 51199.0, 51433.0, 51548.0, 51605.0, 54014.0, 54443.0, 54494.0, 54815.0, 54962.0, 54998.0, 55051.0, 55127.0, 55149.0, 55214.0, 55249.0, 55352.0, 55619.0, 55806.0, 55812.0, 56704.0, 56852.0, 56949.0, 56978.0, 57332.0, 57407.0, 57477.0, 57654.0, 57761.0, 57804.0, 60528.0, 63976.0, 64105.0, 65109.0, 79075.0, 79622.0, 79682.0, 79731.0, 80317.0, 80774.0, 83444.0, 83987.0, 84128.0, 84687.0, 84722.0, 84733.0, 84897.0, 85313.0, 89978.0, 91607.0, 92521.0, 92797.0, 116138.0, 116985.0, 118460.0, 143570.0, 144233.0, 152206.0, 160428.0, 201254.0, 201255.0, 222236.0, 253714.0, 253769.0, 254827.0, 261734.0, 283489.0, 284058.0, 285643.0, 286257.0, 286826.0, 345895.0, 353322.0, 359948.0, 375298.0, 388695.0, 440353.0, 440689.0, 653784.0, 728734.0, 100288332.0, 102724159.0 
GO:0005829 CC 1.37e-20 360/1757  4519/15181 D02 cytosol                                  148.0, 157.0, 191.0, 210.0, 262.0, 274.0, 353.0, 367.0, 391.0, 393.0, 648.0, 677.0, 695.0, 699.0, 745.0, 760.0, 766.0, 790.0, 793.0, 816.0, 842.0, 1021.0, 1062.0, 1124.0, 1155.0, 1201.0, 1371.0, 1455.0, 1495.0, 1677.0, 1719.0, 1725.0, 1728.0, 1794.0, 1809.0, 1824.0, 1964.0, 2009.0, 2021.0, 2039.0, 2051.0, 2170.0, 2185.0, 2353.0, 2444.0, 2670.0, 2737.0, 2784.0, 3043.0, 3073.0, 3164.0, 3295.0, 3306.0, 3356.0, 3394.0, 3587.0, 3635.0, 3663.0, 3706.0, 3838.0, 3899.0, 3958.0, 3991.0, 4085.0, 4093.0, 4145.0, 4174.0, 4261.0, 4296.0, 4481.0, 4521.0, 4524.0, 4547.0, 4642.0, 4647.0, 4683.0, 4703.0, 4843.0, 4854.0, 4900.0, 5096.0, 5137.0, 5138.0, 5170.0, 5207.0, 5224.0, 5293.0, 5300.0, 5324.0, 5330.0, 5336.0, 5395.0, 5435.0, 5507.0, 5530.0, 5533.0, 5592.0, 5598.0, 5600.0, 5702.0, 5912.0, 5973.0, 5997.0, 6041.0, 6134.0, 6181.0, 6234.0, 6284.0, 6470.0, 6584.0, 6606.0, 6607.0, 6624.0, 6652.0, 6710.0, 6721.0, 6799.0, 6850.0, 7070.0, 7138.0, 7169.0, 7174.0, 7186.0, 7267.0, 7409.0, 7439.0, 7538.0, 7881.0, 8029.0, 8086.0, 8293.0, 8339.0, 8342.0, 8436.0, 8517.0, 8623.0, 8864.0, 8934.0, 8938.0, 9025.0, 9026.0, 9051.0, 9110.0, 9138.0, 9314.0, 9414.0, 9455.0, 9557.0, 9581.0, 9595.0, 9712.0, 9844.0, 9894.0, 9924.0, 9940.0, 10226.0, 10235.0, 10253.0, 10324.0, 10382.0, 10450.0, 10458.0, 10466.0, 10630.0, 10681.0, 10769.0, 10788.0, 10811.0, 10841.0, 10901.0, 10993.0, 11004.0, 11033.0, 11075.0, 11157.0, 22809.0, 22844.0, 22977.0, 23113.0, 23194.0, 23220.0, 23229.0, 23234.0, 23263.0, 23396.0, 23421.0, 23533.0, 23583.0, 23600.0, 23658.0, 23743.0, 23766.0, 25791.0, 25802.0, 25839.0, 26233.0, 26256.0, 26270.0, 26287.0, 27128.0, 27141.0, 27143.0, 27175.0, 27232.0, 27295.0, 29760.0, 29899.0, 30846.0, 30849.0, 51054.0, 51071.0, 51074.0, 51084.0, 51085.0, 51171.0, 51433.0, 51473.0, 51606.0, 54014.0, 54443.0, 54456.0, 54885.0, 54903.0, 55055.0, 55191.0, 55212.0, 55214.0, 55224.0, 55352.0, 55619.0, 55690.0, 55715.0, 55812.0, 55835.0, 55902.0, 56890.0, 56896.0, 56911.0, 57026.0, 57110.0, 57139.0, 57176.0, 57407.0, 57537.0, 57580.0, 57610.0, 57658.0, 57718.0, 57761.0, 58480.0, 58504.0, 58538.0, 60528.0, 63976.0, 64105.0, 64359.0, 64577.0, 64772.0, 64926.0, 65109.0, 65999.0, 79026.0, 79092.0, 79585.0, 79622.0, 79658.0, 79682.0, 79731.0, 79778.0, 79825.0, 79841.0, 80142.0, 80336.0, 80774.0, 83394.0, 83480.0, 83547.0, 83987.0, 84084.0, 84282.0, 84433.0, 84722.0, 84851.0, 84875.0, 85313.0, 85415.0, 89122.0, 89765.0, 89846.0, 89866.0, 89891.0, 89978.0, 90102.0, 90861.0, 91107.0, 91544.0, 91607.0, 91768.0, 91807.0, 92521.0, 93100.0, 114548.0, 114757.0, 114879.0, 115827.0, 115939.0, 116138.0, 116985.0, 117245.0, 117289.0, 118460.0, 119391.0, 121952.0, 122481.0, 122970.0, 123872.0, 124997.0, 126433.0, 130916.0, 134429.0, 134957.0, 135228.0, 144233.0, 146330.0, 146705.0, 151393.0, 152206.0, 157695.0, 158067.0, 161823.0, 170685.0, 196743.0, 197258.0, 201163.0, 201176.0, 201255.0, 201456.0, 221472.0, 222235.0, 253714.0, 259173.0, 261734.0, 283807.0, 284076.0, 285643.0, 353322.0, 375298.0, 378108.0, 378884.0, 415116.0, 440603.0, 440689.0, 653784.0, 728492.0, 729359.0, 100131187.0, 100137049.0, 100287171.0, 100885848.0, 111240474.0 
GO:0005634 CC 6.35e-15 378/1757  4445/15181 D05 nucleus                                  102.0, 107.0, 148.0, 210.0, 274.0, 358.0, 367.0, 580.0, 648.0, 677.0, 695.0, 745.0, 790.0, 793.0, 842.0, 1021.0, 1062.0, 1201.0, 1388.0, 1455.0, 1466.0, 1468.0, 1612.0, 1628.0, 1663.0, 1677.0, 1843.0, 1854.0, 1958.0, 2021.0, 2119.0, 2170.0, 2185.0, 2218.0, 2261.0, 2302.0, 2353.0, 2444.0, 2553.0, 2737.0, 2872.0, 3012.0, 3142.0, 3164.0, 3306.0, 3344.0, 3394.0, 3663.0, 3706.0, 3726.0, 3838.0, 3899.0, 3958.0, 3978.0, 4004.0, 4085.0, 4093.0, 4174.0, 4330.0, 4353.0, 4487.0, 4494.0, 4495.0, 4499.0, 4521.0, 4683.0, 4704.0, 4752.0, 4807.0, 4843.0, 4900.0, 4929.0, 5081.0, 5138.0, 5170.0, 5224.0, 5300.0, 5360.0, 5395.0, 5435.0, 5598.0, 5600.0, 5702.0, 5727.0, 5890.0, 5915.0, 5916.0, 5935.0, 5992.0, 5997.0, 6046.0, 6134.0, 6284.0, 6299.0, 6470.0, 6606.0, 6607.0, 6721.0, 6850.0, 6886.0, 6908.0, 6920.0, 7267.0, 7289.0, 7320.0, 7391.0, 7494.0, 7538.0, 7561.0, 7633.0, 7652.0, 7691.0, 7718.0, 7757.0, 7761.0, 7769.0, 7849.0, 8086.0, 8175.0, 8293.0, 8334.0, 8339.0, 8342.0, 8357.0, 8360.0, 8362.0, 8363.0, 8367.0, 8438.0, 8449.0, 8507.0, 8517.0, 8572.0, 8864.0, 8927.0, 9025.0, 9204.0, 9252.0, 9401.0, 9414.0, 9425.0, 9443.0, 9557.0, 9581.0, 9894.0, 9923.0, 9924.0, 9949.0, 10172.0, 10253.0, 10309.0, 10361.0, 10381.0, 10382.0, 10388.0, 10389.0, 10450.0, 10566.0, 10620.0, 10681.0, 10769.0, 10780.0, 10799.0, 10855.0, 10901.0, 11004.0, 11033.0, 11157.0, 11186.0, 22797.0, 22809.0, 22869.0, 22881.0, 23125.0, 23189.0, 23234.0, 23300.0, 23412.0, 23421.0, 23533.0, 23582.0, 23604.0, 23658.0, 26145.0, 26149.0, 26150.0, 26152.0, 26206.0, 26233.0, 26256.0, 26287.0, 26298.0, 27175.0, 27319.0, 29028.0, 29894.0, 29994.0, 30813.0, 30846.0, 50511.0, 51085.0, 51096.0, 51102.0, 51149.0, 51351.0, 51412.0, 51433.0, 51527.0, 51548.0, 51605.0, 51634.0, 54014.0, 54494.0, 54502.0, 54514.0, 54815.0, 54937.0, 54962.0, 54998.0, 55051.0, 55124.0, 55208.0, 55212.0, 55249.0, 55325.0, 55352.0, 55502.0, 55619.0, 55771.0, 55835.0, 56852.0, 56890.0, 56911.0, 56949.0, 56978.0, 57110.0, 57116.0, 57232.0, 57332.0, 57478.0, 57519.0, 57610.0, 57615.0, 57658.0, 57761.0, 58504.0, 60491.0, 60528.0, 63976.0, 63979.0, 64359.0, 64399.0, 64518.0, 65109.0, 79026.0, 79075.0, 79149.0, 79364.0, 79447.0, 79622.0, 79673.0, 79682.0, 79716.0, 79780.0, 79882.0, 79986.0, 80032.0, 80142.0, 80317.0, 80336.0, 83480.0, 83640.0, 83659.0, 83714.0, 84072.0, 84084.0, 84215.0, 84436.0, 84733.0, 84807.0, 84851.0, 84874.0, 84875.0, 84897.0, 85313.0, 85416.0, 89765.0, 90417.0, 90589.0, 90861.0, 90990.0, 91107.0, 91120.0, 91156.0, 91607.0, 91768.0, 92283.0, 92797.0, 113510.0, 113835.0, 114548.0, 117178.0, 117608.0, 118460.0, 122402.0, 123036.0, 125893.0, 128344.0, 132851.0, 134187.0, 136051.0, 139081.0, 143570.0, 144195.0, 144811.0, 151126.0, 152877.0, 157695.0, 162655.0, 164684.0, 168544.0, 169270.0, 170261.0, 170685.0, 195814.0, 197320.0, 200424.0, 201163.0, 201973.0, 219790.0, 220042.0, 221472.0, 222698.0, 266743.0, 283417.0, 283489.0, 283807.0, 284058.0, 284338.0, 284390.0, 286257.0, 339488.0, 340385.0, 342132.0, 342908.0, 344787.0, 349334.0, 359948.0, 374899.0, 375307.0, 378884.0, 387082.0, 388523.0, 388536.0, 388561.0, 389136.0, 404281.0, 407046.0, 440097.0, 440603.0, 440689.0, 442319.0, 494470.0, 503542.0, 645121.0, 647309.0, 654254.0, 728492.0, 728642.0, 729288.0, 730087.0, 100129543.0, 100130086.0, 100131187.0, 100137047.0, 100885848.0, 109504726.0, 110116772.0 
GO:0016020 CC 1.48e-09 141/1757  1867/15181 D02 membrane                                 102.0, 135.0, 274.0, 306.0, 699.0, 790.0, 928.0, 948.0, 1062.0, 1124.0, 1137.0, 1267.0, 1455.0, 1462.0, 1794.0, 1815.0, 2353.0, 3073.0, 3108.0, 3295.0, 3306.0, 3371.0, 3547.0, 3687.0, 3838.0, 3958.0, 3991.0, 4033.0, 4145.0, 4174.0, 4296.0, 5027.0, 5170.0, 5293.0, 5557.0, 5702.0, 5912.0, 5957.0, 6134.0, 6181.0, 6262.0, 6404.0, 6580.0, 6652.0, 6991.0, 7439.0, 8029.0, 8086.0, 8357.0, 8360.0, 8362.0, 8363.0, 8367.0, 8412.0, 8884.0, 8906.0, 9051.0, 9110.0, 9362.0, 9401.0, 9844.0, 9894.0, 9922.0, 9936.0, 10060.0, 10131.0, 10226.0, 10253.0, 10257.0, 10269.0, 10466.0, 10630.0, 10800.0, 10894.0, 10999.0, 11000.0, 11004.0, 11075.0, 11184.0, 23421.0, 23533.0, 25791.0, 25802.0, 26052.0, 26173.0, 26206.0, 29760.0, 30849.0, 51192.0, 51606.0, 51643.0, 54842.0, 54857.0, 54903.0, 55127.0, 55144.0, 55212.0, 55244.0, 55619.0, 55764.0, 55771.0, 56301.0, 56949.0, 57476.0, 57537.0, 57628.0, 59307.0, 63895.0, 64834.0, 64926.0, 79026.0, 79443.0, 79585.0, 79627.0, 79690.0, 81706.0, 81793.0, 83394.0, 83985.0, 84059.0, 84073.0, 84100.0, 84306.0, 92521.0, 112476.0, 114780.0, 114879.0, 114899.0, 115209.0, 115294.0, 123041.0, 124976.0, 127829.0, 144195.0, 201176.0, 254102.0, 256691.0, 375033.0, 376497.0, 728233.0, 100507050.0 
GO:0005789 CC 7.34e-09 48/1757   830/15181 D04 endoplasmic reticulum membrane           391.0, 745.0, 1131.0, 1388.0, 1558.0, 1571.0, 2861.0, 3249.0, 3838.0, 4033.0, 4854.0, 5742.0, 6721.0, 7494.0, 8985.0, 9517.0, 9619.0, 10324.0, 10901.0, 10954.0, 10999.0, 23544.0, 26580.0, 27315.0, 51016.0, 51284.0, 54947.0, 55144.0, 55304.0, 56704.0, 57338.0, 57476.0, 57834.0, 64816.0, 64834.0, 66002.0, 84803.0, 89866.0, 93183.0, 114879.0, 147138.0, 195814.0, 196410.0, 219855.0, 284098.0, 388650.0, 408050.0, 111240474.0 
GO:0016607 CC 2.47e-06 17/1757   373/15181 D03 nuclear speck                            367.0, 580.0, 2057.0, 2737.0, 4929.0, 5300.0, 5324.0, 6046.0, 7307.0, 8175.0, 9425.0, 10450.0, 54815.0, 55051.0, 79882.0, 123872.0, 146705.0 
GO:0005783 CC 1.26e-05 63/1757   877/15181 D05 endoplasmic reticulum                    134.0, 175.0, 341.0, 347.0, 844.0, 1116.0, 1201.0, 1471.0, 2218.0, 2261.0, 2353.0, 2861.0, 4036.0, 4547.0, 5138.0, 5251.0, 6134.0, 6721.0, 7070.0, 7368.0, 7412.0, 7494.0, 8029.0, 8459.0, 8614.0, 8985.0, 10347.0, 10351.0, 10841.0, 10954.0, 10999.0, 11000.0, 25870.0, 51284.0, 53829.0, 54602.0, 54947.0, 55214.0, 55325.0, 56147.0, 57110.0, 57705.0, 64834.0, 79974.0, 80328.0, 84536.0, 84803.0, 114548.0, 127943.0, 134429.0, 144245.0, 144811.0, 147138.0, 158866.0, 170850.0, 195814.0, 221914.0, 256691.0, 375298.0, 376497.0, 378884.0, 387758.0, 401494.0 
GO:0005737 CC 2.75e-05 386/1757  3958/15181 D02 cytoplasm                                102.0, 107.0, 148.0, 175.0, 274.0, 306.0, 321.0, 347.0, 353.0, 358.0, 367.0, 393.0, 580.0, 654.0, 677.0, 695.0, 760.0, 790.0, 816.0, 828.0, 842.0, 948.0, 1021.0, 1039.0, 1116.0, 1155.0, 1201.0, 1267.0, 1268.0, 1371.0, 1455.0, 1466.0, 1558.0, 1571.0, 1612.0, 1663.0, 1725.0, 1728.0, 1767.0, 1787.0, 1794.0, 1843.0, 1958.0, 1964.0, 2185.0, 2660.0, 2670.0, 2737.0, 2784.0, 2861.0, 2872.0, 3306.0, 3394.0, 3663.0, 3706.0, 3838.0, 3958.0, 3978.0, 4085.0, 4093.0, 4099.0, 4157.0, 4267.0, 4355.0, 4494.0, 4495.0, 4499.0, 4521.0, 4642.0, 4647.0, 4671.0, 4752.0, 4843.0, 4919.0, 4929.0, 5027.0, 5138.0, 5170.0, 5293.0, 5300.0, 5336.0, 5530.0, 5533.0, 5592.0, 5598.0, 5600.0, 5742.0, 5915.0, 5916.0, 5935.0, 5997.0, 6046.0, 6181.0, 6234.0, 6284.0, 6299.0, 6470.0, 6584.0, 6606.0, 6607.0, 6624.0, 6721.0, 6799.0, 6850.0, 6908.0, 6991.0, 7099.0, 7174.0, 7320.0, 7409.0, 7494.0, 7516.0, 7538.0, 8045.0, 8412.0, 8436.0, 8507.0, 8517.0, 8572.0, 8864.0, 8934.0, 9051.0, 9071.0, 9076.0, 9098.0, 9110.0, 9138.0, 9170.0, 9252.0, 9401.0, 9425.0, 9455.0, 9501.0, 9595.0, 9796.0, 9844.0, 9894.0, 9905.0, 9940.0, 10008.0, 10226.0, 10309.0, 10314.0, 10324.0, 10361.0, 10381.0, 10382.0, 10450.0, 10458.0, 10566.0, 10681.0, 10769.0, 10776.0, 10788.0, 10841.0, 10859.0, 11033.0, 11075.0, 11157.0, 11186.0, 22881.0, 22950.0, 22952.0, 22977.0, 23150.0, 23189.0, 23234.0, 23263.0, 23421.0, 23533.0, 23582.0, 23593.0, 23600.0, 23604.0, 23658.0, 25886.0, 25920.0, 26052.0, 26095.0, 26206.0, 26256.0, 26270.0, 26281.0, 27143.0, 27175.0, 27341.0, 29760.0, 29899.0, 29925.0, 30846.0, 49856.0, 50853.0, 51016.0, 51074.0, 51085.0, 51205.0, 51284.0, 51364.0, 51473.0, 51527.0, 51601.0, 51807.0, 53340.0, 54491.0, 54514.0, 54550.0, 54602.0, 54857.0, 54903.0, 54937.0, 54962.0, 55124.0, 55144.0, 55171.0, 55191.0, 55208.0, 55224.0, 55249.0, 55251.0, 55316.0, 55325.0, 55344.0, 55619.0, 55715.0, 55764.0, 55771.0, 55805.0, 55835.0, 55857.0, 55902.0, 55909.0, 56155.0, 56164.0, 56852.0, 56990.0, 57026.0, 57091.0, 57110.0, 57477.0, 57519.0, 57610.0, 57718.0, 60491.0, 63979.0, 64399.0, 64581.0, 64926.0, 65108.0, 65109.0, 65999.0, 66002.0, 79007.0, 79026.0, 79092.0, 79363.0, 79442.0, 79663.0, 79716.0, 79781.0, 79882.0, 80317.0, 81706.0, 83394.0, 83450.0, 83480.0, 83538.0, 83547.0, 83659.0, 83714.0, 83853.0, 83872.0, 83987.0, 84059.0, 84073.0, 84077.0, 84100.0, 84282.0, 84306.0, 84433.0, 84553.0, 84687.0, 84705.0, 84722.0, 84851.0, 84875.0, 85016.0, 85462.0, 88455.0, 89122.0, 89846.0, 89891.0, 90417.0, 90835.0, 90990.0, 91807.0, 91978.0, 92797.0, 112483.0, 113220.0, 114548.0, 115294.0, 116138.0, 116225.0, 117178.0, 117245.0, 119391.0, 121952.0, 122402.0, 122481.0, 123041.0, 123872.0, 124093.0, 126433.0, 127829.0, 127943.0, 128153.0, 132014.0, 132671.0, 134429.0, 134957.0, 140469.0, 142679.0, 143570.0, 144233.0, 146705.0, 147138.0, 151242.0, 151393.0, 151651.0, 152015.0, 157695.0, 158067.0, 159686.0, 160492.0, 166614.0, 170685.0, 197335.0, 199221.0, 200132.0, 200424.0, 201163.0, 201176.0, 201625.0, 219790.0, 220042.0, 220869.0, 221472.0, 222236.0, 246176.0, 255027.0, 255101.0, 255758.0, 282808.0, 283489.0, 284565.0, 285025.0, 285590.0, 285753.0, 286204.0, 286257.0, 286464.0, 341019.0, 359845.0, 359948.0, 375307.0, 376267.0, 378108.0, 387694.0, 400818.0, 407046.0, 415116.0, 493829.0, 643037.0, 644019.0, 645121.0, 727851.0, 728113.0, 728233.0, 728642.0, 728841.0, 729857.0, 100130086.0, 100131187.0, 100137047.0, 100507436.0, 101060684.0 
