region_1	region_2	pvalue	statistic	cluster	fdr
DLPFC	HPC	0.6270656620624816	-0.14175433948025534	MG0	0.9912275821856952
DLPFC	NAc	0.9745623800381721	-0.028113866904368567	MG0	0.9912275821856952
HPC	NAc	0.6683670179980927	0.11364047257588678	MG0	0.9912275821856952
DLPFC	HPC	0.301828376637284	-0.3054695070463057	MG1	0.9912275821856952
DLPFC	NAc	0.1030162899321393	-0.388923161107663	MG1	0.9912275821856952
HPC	NAc	0.8736233377785938	-0.0834536540613573	MG1	0.9912275821856952
DLPFC	HPC	0.949821103425883	-0.0663149888945993	MG2	0.9912275821856952
DLPFC	NAc	0.9249466445953882	0.0708084965018087	MG2	0.9912275821856952
HPC	NAc	0.7515583364575655	0.137123485396408	MG2	0.9912275821856952
DLPFC	HPC	0.7376104281335634	0.1104234648004897	MG3	0.9912275821856952
DLPFC	NAc	0.4519919615807295	0.15897697668580302	MG3	0.9912275821856952
HPC	NAc	0.9226328285514578	0.048553511885313316	MG3	0.9912275821856952
DLPFC	HPC	0.4261661352995263	0.31109292612441	MG4	0.9912275821856952
DLPFC	NAc	0.38892193320454294	0.28502995886235066	MG4	0.9912275821856952
HPC	NAc	0.9912275821856952	-0.02606296726205931	MG4	0.9912275821856952
