region_1	region_2	pvalue	statistic	cluster	fdr
DLPFC	HPC	0.8847171928094444	-0.11490621210054042	AST0	0.9925318764389648
DLPFC	NAc	0.6895835341080804	0.1758774326030373	AST0	0.9925318764389648
HPC	NAc	0.3870634807188089	0.2907836447035777	AST0	0.9925318764389648
DLPFC	HPC	0.8476874735796555	-0.095150947962866	AST1	0.9925318764389648
DLPFC	NAc	0.5249609936876799	0.16735631276187835	AST1	0.9925318764389648
HPC	NAc	0.23644689265025298	0.26250726072474434	AST1	0.9925318764389648
DLPFC	HPC	0.989058666687631	-0.018659689899507392	AST2	0.9925318764389648
DLPFC	NAc	0.8741745609948499	-0.05690336038451049	AST2	0.9925318764389648
HPC	NAc	0.940578743072593	-0.0382436704850031	AST2	0.9925318764389648
DLPFC	HPC	0.9925318764389648	0.020606160773306015	AST3	0.9925318764389648
DLPFC	NAc	0.7377983740670179	0.11563581365290121	AST3	0.9925318764389648
HPC	NAc	0.8124622450110263	0.0950296528795952	AST3	0.9925318764389648
DLPFC	HPC	0.31424854855263273	0.13061892869481465	AST4	0.9925318764389648
DLPFC	NAc	0.02885870099151644	0.22935766591446696	AST4	0.7791849267709439
HPC	NAc	0.40313907185480036	0.09873873721965233	AST4	0.9925318764389648
DLPFC	HPC	0.9631291321639948	0.025564723978443567	AST5	0.9925318764389648
DLPFC	NAc	0.25508794926141576	-0.14438572257431737	AST5	0.9925318764389648
HPC	NAc	0.16581472278567988	-0.16995044655276093	AST5	0.9925318764389648
DLPFC	HPC	0.9869776378442047	-0.03166379706942503	AST6	0.9925318764389648
DLPFC	NAc	0.7106784681526012	-0.14267223637987525	AST6	0.9925318764389648
HPC	NAc	0.8106188581400918	-0.11100843931045021	AST6	0.9925318764389648
DLPFC	HPC	0.9247825770263806	0.04881773846029534	AST7	0.9925318764389648
DLPFC	NAc	0.1430891299531225	-0.23553898780822968	AST7	0.9925318764389648
HPC	NAc	0.07348088361057614	-0.28435672626852504	AST7	0.991991928742778
DLPFC	HPC	0.6794229985120801	0.17541036838422663	AST8	0.9925318764389648
DLPFC	NAc	0.8540349192348093	-0.0957733702480642	AST8	0.9925318764389648
HPC	NAc	0.3235359043620789	-0.27118373863229084	AST8	0.9925318764389648
