clusters	sample	Freq	region
OPC1	donor1_dlpfc	0.0504372271056309	DLPFC
OPC2	donor1_dlpfc	0.0190565517328913	DLPFC
Oligo1	donor1_dlpfc	0.953392250585506	DLPFC
Oligo2	donor1_dlpfc	0.46735917048191	DLPFC
Oligo3	donor1_dlpfc	0.301595702804835	DLPFC
immatureOL	donor1_dlpfc	0.203973108116352	DLPFC
OPC1	donor1_hpc	0.0964862485024761	HPC
OPC2	donor1_hpc	0.0278135698406028	HPC
Oligo1	donor1_hpc	0.885051191792369	HPC
Oligo2	donor1_hpc	0.362971943892882	HPC
Oligo3	donor1_hpc	0.411643407715925	HPC
immatureOL	donor1_hpc	0.329659239950787	HPC
OPC1	donor1_nac	0	NAC
OPC2	donor1_nac	0	NAC
Oligo1	donor1_nac	0.733533138878357	NAC
Oligo2	donor1_nac	0.401721932172909	NAC
Oligo3	donor1_nac	0.304072894320318	NAC
immatureOL	donor1_nac	0.589680840162854	NAC
OPC1	donor2_dlpfc	0	DLPFC
OPC2	donor2_dlpfc	0	DLPFC
Oligo1	donor2_dlpfc	1.04775609726179	DLPFC
Oligo2	donor2_dlpfc	0.341542950334083	DLPFC
Oligo3	donor2_dlpfc	0.274546675204105	DLPFC
immatureOL	donor2_dlpfc	0.255413562517079	DLPFC
OPC1	donor2_hpc	0.110134005884435	HPC
OPC2	donor2_hpc	0	HPC
Oligo1	donor2_hpc	0.694290812136163	HPC
Oligo2	donor2_hpc	0.780252658705345	HPC
Oligo3	donor2_hpc	0.233839039943677	HPC
immatureOL	donor2_hpc	0.174017427154624	HPC
OPC1	donor2_nac	0	NAC
OPC2	donor2_nac	0	NAC
Oligo1	donor2_nac	0.231615324821002	NAC
Oligo2	donor2_nac	0.241886950451772	NAC
Oligo3	donor2_nac	1.11421213209753	NAC
immatureOL	donor2_nac	0.29460339117898	NAC
OPC1	donor3_hpc	0.0524623195114434	HPC
OPC2	donor3_hpc	0	HPC
Oligo1	donor3_hpc	0.599179714308532	HPC
Oligo2	donor3_hpc	0.766603636971884	HPC
Oligo3	donor3_hpc	0.199855836467849	HPC
immatureOL	donor3_hpc	0.409563141269523	HPC
OPC1	donor3_nac	0	NAC
OPC2	donor3_nac	0	NAC
Oligo1	donor3_nac	0.584084602720753	NAC
Oligo2	donor3_nac	0.393394626119567	NAC
Oligo3	donor3_nac	0.23694927406347	NAC
immatureOL	donor3_nac	0.779275561410057	NAC
OPC1	donor4_nac	0	NAC
OPC2	donor4_nac	0	NAC
Oligo1	donor4_nac	0.23326320669074	NAC
Oligo2	donor4_nac	0.335673915177985	NAC
Oligo3	donor4_nac	0.289291849286578	NAC
immatureOL	donor4_nac	1.05494475413465	NAC
OPC1	donor5_nac	0.0575118240966297	NAC
OPC2	donor5_nac	0	NAC
Oligo1	donor5_nac	0.231995993152073	NAC
Oligo2	donor5_nac	0.695710937431632	NAC
Oligo3	donor5_nac	0.801920994220396	NAC
immatureOL	donor5_nac	0.128886004189721	NAC
OPC1	donor6_dlpfc	0.0428091235365676	DLPFC
OPC2	donor6_dlpfc	0.0213996579004816	DLPFC
Oligo1	donor6_dlpfc	0.928841247278508	DLPFC
Oligo2	donor6_dlpfc	0.436286926716168	DLPFC
Oligo3	donor6_dlpfc	0.411866440906595	DLPFC
immatureOL	donor6_dlpfc	0.132291821085024	DLPFC
OPC1	donor8_nac	0	NAC
OPC2	donor8_nac	0	NAC
Oligo1	donor8_nac	0	NAC
Oligo2	donor8_nac	0.321750554396642	NAC
Oligo3	donor8_nac	0.579639740363704	NAC
immatureOL	donor8_nac	0.886077123792614	NAC
