Tissue	OR	P-value	FDR	Direction
Caudate	1.42324836041333	2.962356103427812e-18	5.924712206855624e-18	All
Dentate Gyrus	1.0228492396906952	0.5846881683525685	0.5846881683525685	All
DLPFC	1.2511881355405472	2.3528648722725342e-08	3.1371531630300454e-08	All
Hippocampus	1.4902769920727288	1.141601934542058e-19	4.566407738168232e-19	All
Caudate	1.5500436998883522	4.408452578858644e-15	1.7633810315434576e-14	Decreased in AA
Dentate Gyrus	0.9916534591384601	0.9093439123029453	0.9093439123029453	Decreased in AA
DLPFC	1.4256830133506861	6.456469702689949e-09	8.608626270253266e-09	Decreased in AA
Hippocampus	1.574628432088209	1.1166693852267518e-13	2.2333387704535036e-13	Decreased in AA
Caudate	1.2899330835341292	1.0833157668926925e-05	2.166631533785385e-05	Increased in AA
Dentate Gyrus	1.0594598110492794	0.3385544690366887	0.3385544690366887	Increased in AA
DLPFC	1.1323628893483575	0.01885880333031674	0.025145071107088985	Increased in AA
Hippocampus	1.3962297946913107	1.0076467762078717e-07	4.030587104831487e-07	Increased in AA
