Tissue	OR	P-value	FDR	Direction
Caudate	1.18965262263274	0.0008924078646127143	0.0035696314584508573	All
Dentate Gyrus	0.9664328932967905	0.359428903676269	0.6882408223362692	All
DLPFC	0.9828480203954657	0.7408899221706727	0.7408899221706727	All
Hippocampus	1.030540801473639	0.5161806167522018	0.6882408223362692	All
Caudate	1.2312945457230338	0.0045929612481960605	0.018371844992784242	Decreased in AA
Dentate Gyrus	1.0018189273697946	0.9802900804971144	0.9802900804971144	Decreased in AA
DLPFC	0.9816881682776628	0.8129167846875636	0.9802900804971144	Decreased in AA
Hippocampus	1.034384598181424	0.6137145082568285	0.9802900804971144	Decreased in AA
Caudate	1.1437705928253499	0.06631289625854725	0.265251585034189	Increased in AA
Dentate Gyrus	0.9280597132059146	0.16542698581381274	0.3308539716276255	Increased in AA
DLPFC	0.9844738676325944	0.8455688969622988	0.8455688969622988	Increased in AA
Hippocampus	1.026123418242069	0.6827587074947489	0.8455688969622988	Increased in AA
