ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	-Log10(qvalues)	Tissue	p.fdr.sig	p.fdr.cat
GO:0140375	immune receptor activity	53	0.65002856847552	1.88867662183839	0.000109800238069036	0.106945431879241	0.106945431879241	1217	tags=32%, list=9%, signal=29%	HLA-DQB1/CRLF1/HLA-DRB1/GPR17/IL1RL2/CTSH/CCR10/KLRD1/GPR35/CD44/CX3CR1/MR1/IL17RB/IL4R/IL17RD/CNTFR/CD200R1	0.970837761368363	Caudate	TRUE	> 0.05
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	153	0.408056348362415	1.37891482309825	0.020508359302143	0.918960164347168	0.918960164347168	1357	tags=21%, list=10%, signal=19%	HLA-DQB1/BTN3A2/HLA-DRB1/C4A/C4B/CTSH/KLRD1/PTPN6/HLA-DPB1/SERPING1/RIPK2/AGER/IL18BP/CD274/MR1/HSPD1/TNFSF13B/CD226/IL4R/C3/C2/UNC13D/LEF1/C1R/LOXL3/TCIRG1/HLA-A/C1QB/TNFSF18/HLA-F/FZD5/RFTN1	0.0367033142713173	Caudate	FALSE	> 0.05
GO:0002699	positive regulation of immune effector process	123	-0.391740520221591	-1.30271135055374	0.0509164969450102	0.918960164347168	0.918960164347168	1623	tags=20%, list=12%, signal=17%	HPX/GPRC5B/TICAM1/EPHB2/HLA-B/XBP1/ITGAM/NR4A3/NFKBID/NLRP3/MALT1/CD40/SHLD1/CD74/CD55/EXOSC6/PTPN22/RBP4/SHLD3/TLR4/LACC1/NOS2/CD36/PLCG2	0.0367033142713173	Caudate	FALSE	> 0.05
GO:0002697	regulation of immune effector process	177	-0.33731868996967	-1.19127338448211	0.118997912317328	0.945263008043277	0.945263008043277	1623	tags=19%, list=12%, signal=17%	HPX/SERPINB9/GPRC5B/C1QBP/TICAM1/HMGB1/EPHB2/HLA-B/XBP1/BCL6/HAVCR2/ITGAM/NR4A3/NFKBID/NCKAP1L/NLRP3/MALT1/CD40/SHLD1/CD74/IL27RA/CD55/EXOSC6/DUSP10/PTPN22/RBP4/PARP3/SHLD3/LGALS3/TLR4/LACC1/NOS2/CD36/PLCG2	0.0244473374697437	Caudate	FALSE	> 0.05
GO:0002252	immune effector process	303	0.313524233947393	1.14917844544094	0.121323529411765	0.948800977194944	0.948800977194944	1452	tags=17%, list=11%, signal=15%	HLA-DQB1/ANGPT1/BTN3A2/HLA-DRB1/LCP1/C4A/C4B/MPO/CTSH/KLRD1/FGL2/CHGA/PTPN6/CX3CR1/HLA-DPB1/SERPING1/CFH/RIPK2/PIK3CD/SPON2/RARA/AGER/MR1/HSPD1/MYB/LAPTM5/CD226/IL4R/TNFRSF14/C3/IRAK3/SNAP23/LAT2/STXBP2/C2/UNC13D/LEF1/SPHK2/C1R/LOXL3/TCIRG1/HLA-A/ZFPM1/C1QB/TNFSF18/HLA-F/FZD5/RFTN1/YES1/KMT5C/PTPRJ	0.0228248766883356	Caudate	FALSE	> 0.05
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	153	-0.490670276396115	-1.50843633545322	0.00286116155296858	0.882785874202388	0.882785874202388	1675	tags=26%, list=12%, signal=23%	HMGB1/TNFSF13B/JAG1/RSAD2/JAK3/AGER/NFKBID/HLA-E/SHLD2/CTSC/CD55/TRAF6/HLA-DRB1/TMEM98/HMCES/TGFB1/MAP3K7/HAVCR2/C2/EMP2/HLA-DRA/CD226/NFKBIZ/RAB27A/EXOSC6/TNFAIP3/IL6R/ENTPD7/CLEC4G/NCKAP1L/SWAP70/UNC13D/HLA-B/SCART1/C4B/PRKCQ/HLA-A/HLA-DPA1/C1QC/C1QB	0.0541446247684676	Dentate Gyrus	FALSE	> 0.05
GO:0002252	immune effector process	303	-0.394716078282009	-1.29525957023279	0.0159191185091269	0.950977705557554	0.950977705557554	1675	tags=19%, list=12%, signal=17%	JAG1/RSAD2/JAK3/GRN/AGER/VAV2/NFKBID/HLA-E/SHLD2/CTSC/APBB1IP/RARA/CD55/TRAF6/HLA-DRB1/TMEM98/HMCES/TGFB2/LGALS9/ACE/TGFB1/MAP3K7/DNASE1/IRAK3/HAVCR2/C2/EMP2/LAPTM5/WNT5A/S100A13/HLA-DRA/CD226/DOCK2/NFKBIZ/RAB27A/EXOSC6/STAT5B/IL6R/LGALS3/SNAP23/CX3CR1/ENTPD7/CLEC4G/NMI/DHX58/NCKAP1L/ANXA3/NR4A3/SWAP70/UNC13D/HLA-B/KIT/TLR3/SCART1/C4B/HLA-A/HLA-DPA1/C1QC/C1QB	0.021829664415715	Dentate Gyrus	FALSE	> 0.05
GO:0140375	immune receptor activity	53	-0.501586996881197	-1.33399352160597	0.0645792563600783	0.811175045427014	0.80652873856355	1328	tags=42%, list=10%, signal=38%	IL17RC/IL10RA/EPOR/CNTFR/HLA-DRB1/ACKR3/C5AR2/ACKR2/OSMR/LIFR/IL17RD/CSF3R/HLA-DRA/LEPR/GPR17/F3/IL6R/IL17RA/CMKLR1/CX3CR1/CD200R1/HLA-DPA1	0.0933801530398047	Dentate Gyrus	FALSE	> 0.05
GO:0002699	positive regulation of immune effector process	123	-0.400168157285419	-1.18343740278218	0.13307240704501	0.974048107000324	0.974048107000324	1537	tags=20%, list=11%, signal=17%	NFKBID/HLA-E/SHLD2/RARA/CD55/TRAF6/HLA-DRB1/HMCES/LGALS9/TGFB1/MAP3K7/LAPTM5/WNT5A/HLA-DRA/CD226/NFKBIZ/EXOSC6/STAT5B/DHX58/NR4A3/UNC13D/HLA-B/KIT/HLA-A	0.0114195933381776	Dentate Gyrus	FALSE	> 0.05
GO:0002697	regulation of immune effector process	177	-0.364009327807118	-1.13633543553897	0.18562874251497	0.99328081155314	0.99328081155314	1670	tags=21%, list=12%, signal=19%	RSAD2/JAK3/GRN/AGER/NFKBID/HLA-E/SHLD2/RARA/CD55/TRAF6/HLA-DRB1/HMCES/TGFB2/LGALS9/TGFB1/MAP3K7/DNASE1/IRAK3/HAVCR2/LAPTM5/WNT5A/HLA-DRA/CD226/NFKBIZ/EXOSC6/STAT5B/LGALS3/CX3CR1/CLEC4G/DHX58/NCKAP1L/NR4A3/UNC13D/HLA-B/KIT/TLR3/HLA-A	0.0029279542565293	Dentate Gyrus	FALSE	> 0.05
