Tissue	OR	P-value	FDR	Direction
Caudate	1.519119520640834	3.12729923173673e-08	1.250919692694692e-07	All
Dentate Gyrus	0.8081980219607178	0.0009738959546253661	0.0011972932117871127	All
DLPFC	1.2935884900529493	0.0011972932117871127	0.0011972932117871127	All
Hippocampus	1.3998535623049366	1.9201457400976898e-05	3.8402914801953796e-05	All
Caudate	1.8915125696685582	9.298388361562209e-10	3.7193553446248836e-09	Decreased in AA
Dentate Gyrus	0.8559665543980575	0.08191588621339371	0.08191588621339371	Decreased in AA
DLPFC	1.534233452303699	8.022029579882292e-05	0.00010696039439843056	Decreased in AA
Hippocampus	1.7499301412698764	2.2512643896104133e-07	4.5025287792208267e-07	Decreased in AA
Caudate	1.2007575017896275	0.09452218970998999	0.18904437941997998	Increased in AA
Dentate Gyrus	0.7591389266762177	0.003797132157361501	0.015188528629446004	Increased in AA
DLPFC	1.064946709477883	0.5916756231401069	0.5916756231401069	Increased in AA
Hippocampus	1.1009111560104141	0.3774845029760233	0.5033126706346978	Increased in AA
