Region	Direction	Gene_Cluster	OR	PValue	FDR
Caudate	Up	Histone	3.7272102835835543	0.06149583069841036	0.29090870596729607
Caudate	Down	Histone	2.870530209617756	0.08326883431579427	0.29976780353685933
Caudate	All	Histone	3.236689827263536	0.009449254729395085	0.14634661826900816
Caudate	Up	Solute carrier		1.0	1.0
Caudate	Down	Solute carrier	0.0	1.0	1.0
Caudate	All	Solute carrier	0.0	1.0	1.0
Caudate	Up	Zinc finger protein	0.61968702015747	0.5765153730080955	1.0
Caudate	Down	Zinc finger protein	1.673240883410375	0.4035387468239625	0.9393391368317804
Caudate	All	Zinc finger protein	1.0367739993981342	1.0	1.0
Caudate	Up	histone		1.0	1.0
Caudate	Down	histone		1.0	1.0
Caudate	All	histone		1.0	1.0
Caudate	Up	HLA class I	5.58659217877095	0.16810435599289453	0.5227893597834261
Caudate	Down	HLA class I	4.301939058171745	0.31234381056162724	0.8649520907860447
Caudate	All	HLA class I	4.952105263157895	0.03887093793710413	0.2798707531471497
Caudate	Up	Butyrophilin	inf	0.4174840608141246	0.9393391368317804
Caudate	Down	Butyrophilin	inf	0.028509188571815572	0.2565826971463402
Caudate	All	Butyrophilin	inf	0.012195551522417346	0.14634661826900816
Caudate	Up	Vomeronasal receptor		1.0	1.0
Caudate	Down	Vomeronasal receptor		1.0	1.0
Caudate	All	Vomeronasal receptor		1.0	1.0
Caudate	Up	Olfactory receptor		1.0	1.0
Caudate	Down	Olfactory receptor		1.0	1.0
Caudate	All	Olfactory receptor		1.0	1.0
Caudate	Up	Tumor necrosis factor		1.0	1.0
Caudate	Down	Tumor necrosis factor		1.0	1.0
Caudate	All	Tumor necrosis factor		1.0	1.0
Caudate	Up	Lymphocyte antigen	1.3954171562867215	1.0	1.0
Caudate	Down	Lymphocyte antigen		1.0	1.0
Caudate	All	Lymphocyte antigen	1.4137620192307692	1.0	1.0
Caudate	Up	Heat shock protein	inf	0.17426311992780869	0.5227893597834261
Caudate	Down	Heat shock protein	inf	0.41102123356926185	0.9393391368317804
Caudate	All	Heat shock protein	inf	0.07109442575438903	0.29090870596729607
Caudate	Up	HLA class II	inf	0.07272717649182402	0.29090870596729607
Caudate	Down	HLA class II	inf	0.06939956060772216	0.29090870596729607
Caudate	All	HLA class II	inf	0.0050504145382008455	0.14634661826900816
Dentate Gyrus	Up	Histone	0.9443375040102663	1.0	1.0
Dentate Gyrus	Down	Histone	5.810536491058483	0.16326684111928985	0.9417234783684458
Dentate Gyrus	All	Histone	1.2552146129732336	0.6349187850250118	1.0
Dentate Gyrus	Up	Solute carrier		1.0	1.0
Dentate Gyrus	Down	Solute carrier	0.0	1.0	1.0
Dentate Gyrus	All	Solute carrier	0.0	1.0	1.0
Dentate Gyrus	Up	Zinc finger protein	0.7551066217732885	0.7957148969111039	1.0
