Region	Direction	Subregion	OR	PValue	FDR
Caudate	Up	extended class I	1.8287621469439652	0.13644356841690686	0.4202608899822363
Caudate	Down	extended class I	2.879801734820322	0.002099883498442955	0.015749126238322163
Caudate	All	extended class I	2.326638452237001	0.0009745741956216302	0.014618612934324452
Caudate	Up	classical class I	0.9300363065449907	1.0	1.0
Caudate	Down	classical class I	2.050321670926236	0.14649272922983003	0.4202608899822363
Caudate	All	classical class I	1.3402145218446024	0.40555072638992473	0.5932167301730608
Caudate	Up	classical class III	1.5960301106017916	0.4350256021269112	0.5932167301730608
Caudate	Down	classical class III	1.331936664755436	0.5574237776448644	0.651250730727199
Caudate	All	classical class III	1.4150090415913201	0.2748477675229258	0.5153395641054859
Caudate	Up	classical class II	5.58659217877095	0.16810435599289453	0.4202608899822363
Caudate	Down	classical class II	2.8682266009852215	0.23638610151618694	0.5065416461061149
Caudate	All	classical class II	3.7731989772898182	0.0609298026218633	0.30464901310931647
Caudate	Up	extended class II	2.791654422568322	0.5749450076490065	0.651250730727199
Caudate	Down	extended class II	0.4771724633220478	0.380652566919708	0.5932167301730608
Caudate	All	extended class II	0.7066295850871919	0.6078340153453857	0.651250730727199
Dentate Gyrus	Up	extended class I	0.9441493642362788	1.0	1.0
Dentate Gyrus	Down	extended class I	1.1167994638468985	0.790689970715275	0.9883624633940937
Dentate Gyrus	All	extended class I	0.9950274526054076	1.0	1.0
Dentate Gyrus	Up	classical class I	1.418111753371869	0.45823144926503256	0.6873471738975488
Dentate Gyrus	Down	classical class I	1.7439225181598064	0.2631732850943664	0.438622141823944
Dentate Gyrus	All	classical class I	1.5552805280528053	0.1926221803340219	0.36116658812629104
Dentate Gyrus	Up	classical class III	2.838709677419355	0.09192865349620785	0.34473245061077945
Dentate Gyrus	Down	classical class III	1.9407479358912094	0.09115051062389556	0.34473245061077945
Dentate Gyrus	All	classical class III	2.156068665377176	0.020040835071711414	0.30050952553088395
Dentate Gyrus	Up	classical class II	4.2548076923076925	0.11523729841273475	0.3457118952382043
Dentate Gyrus	Down	classical class II	2.905705996131528	0.17931749324756321	0.36116658812629104
Dentate Gyrus	All	classical class II	3.4452266152362583	0.04006793673745119	0.30050952553088395
Dentate Gyrus	Up	extended class II	5.671311869293609	0.16861195769728596	0.36116658812629104
Dentate Gyrus	Down	extended class II	0.5801836636056066	0.7420239157075988	0.9883624633940937
Dentate Gyrus	All	extended class II	1.0429791894852136	1.0	1.0
DLPFC	Up	extended class I	1.397302818421883	0.31098842019074757	0.518314033651246
DLPFC	Down	extended class I	3.9216819675847217	0.0004247762525914006	0.006371643788871009
DLPFC	All	extended class I	2.1971942950666357	0.002061172433578763	0.015458793251840724
DLPFC	Up	classical class I	1.717732283464567	0.2629827396261176	0.49762836585153003
DLPFC	Down	classical class I	1.3010340289528106	0.6124359428774668	0.7305767867666648
DLPFC	All	classical class I	1.530162273546836	0.2354526565379839	0.49762836585153003
DLPFC	Up	classical class III	2.148031496062992	0.1028995173383016	0.3557444545179524
DLPFC	Down	classical class III	1.0749842774902036	0.8331501858643029	0.8926609134260388
DLPFC	All	classical class III	1.4683717066223594	0.265401795120816	0.49762836585153003
DLPFC	Up	classical class II	3.9028607356177303	0.11858148483931745	0.3557444545179524
DLPFC	Down	classical class II	1.6722972972972974	0.6331665485311095	0.7305767867666648
DLPFC	All	classical class II	2.8257612766650384	0.1182684719111663	0.3557444545179524
DLPFC	Up	extended class II	0.5196232339089482	1.0	1.0
DLPFC	Down	extended class II	0.6265630280500168	0.5528687420126173	0.7305767867666648
DLPFC	All	extended class II	0.5864701704545454	0.43397014318220795	0.650955214773312
Hippocampus	Up	extended class I	0.948744769874477	1.0	1.0
Hippocampus	Down	extended class I	2.414218976534393	0.017928650887844	0.2620141748198461
Hippocampus	All	extended class I	1.4626725466332873	0.13577344977152378	0.2909431066532652
Hippocampus	Up	classical class I	2.029017857142857	0.07829322792397746	0.2620141748198461
Hippocampus	Down	classical class I	1.1028619033617564	1.0	1.0
Hippocampus	All	classical class I	1.6997673586256263	0.13442454234542178	0.2909431066532652
Hippocampus	Up	classical class III	1.5481254450326616	0.37146440852570595	0.5065423752623264
Hippocampus	Down	classical class III	1.324300441826215	0.5249673064654771	0.6562091330818463
Hippocampus	All	classical class III	1.4241408934707904	0.27700279816807893	0.4616713302801316
Hippocampus	Up	classical class II	3.166203059805285	0.2526282587329996	0.4616713302801316
Hippocampus	Down	classical class II	3.972377314134587	0.3211334330879586	0.4817001496319379
Hippocampus	All	classical class II	3.4520339144517482	0.06764356747369238	0.2620141748198461
Hippocampus	Up	extended class II	0.15792581272575715	0.08733805827328203	0.2620141748198461
Hippocampus	Down	extended class II	0.661427732079906	0.7051974069451973	0.8136893157059968
Hippocampus	All	extended class II	0.32307582464658	0.07250306187323839	0.2620141748198461
