Modules	All.Samples	AA.only	logP
MEblack	0.223263897193223	0.0160636029179037	9.59653157032317
MEblue	-0.0687435093196921	0.0294707490370455	1.61094692870879
MEbrown	0.0735714114381762	-0.0169292318244203	1.76379969429161
MEcyan	-0.196394104180649	0.0894885815256755	7.7122915661326
MEdarkgreen	-0.160376275683884	0.15531556774618	5.53190278771636
MEdarkgrey	0.0281632806787845	0.00545942686836352	0.538408412104881
MEdarkorange	-0.0534732417861542	-0.0376986492445752	1.1636939115797
MEdarkred	-0.228582367509866	-0.0261494990925	9.99666104348624
MEdarkturquoise	-0.237297849959754	0.0104929779313315	10.6722584349469
MEgreen	0.00188175350264196	-0.00571873581664703	0.0311544267250656
MEgreenyellow	-0.0494179396779581	0.00450288914743741	1.05396073782246
MEgrey	-0.029652747785593	0.0202278277342597	0.571361030038299
MEgrey60	0.101350575636569	0.0253888483494661	2.75452848163466
MElightcyan	0.0806765054112156	0.0510473302524274	1.99898948439154
MElightgreen	0.0236263170335283	-0.0105255404648555	0.440894052802925
MElightyellow	0.155306404901934	-0.0216509645797147	5.25550340881173
MEmagenta	-0.0993243150106057	0.136244983283972	2.67570199922323
MEmidnightblue	0.07640165970534	0.0375262840294152	1.85601475447433
MEorange	0.0720333733920157	0.0286198386605294	1.71449822777947
MEpaleturquoise	-0.00992338899818979	-0.127977075388366	0.171857017301482
MEpink	0.0429303538226421	-0.0226312541420133	0.886107031589857
MEpurple	-0.0661501108428456	-0.0258421257576416	1.53113543454056
MEred	-0.0123160441220655	0.0281815748837687	0.216133360307212
MEroyalblue	-0.0591794373249396	-0.0257827133760974	1.32446799882089
MEsaddlebrown	0.153912809804207	-0.143917703301586	5.1808138464424
MEsalmon	-0.163567947669742	-0.00556777074843989	5.70969421987941
MEskyblue	0.0893415190310136	-0.0888739471734628	2.3025978942788
MEsteelblue	0.109428113446634	0.00924975580366702	3.07929638688273
MEtan	-0.0331540820499928	-0.0113281650967286	0.650673396798896
MEturquoise	0.0592524107296136	0.14588955426434	1.32657273110135
MEviolet	-0.110636693413904	-0.029593020900692	3.12934860679902
MEwhite	-0.0953675078194967	-0.0376277493753771	2.52479735862372
MEyellow	-0.166141591133159	0.0117202820986455	5.85520367386306
