Module_1	Module_2	Semantic_Similarity	Ont	Tissue
greenyellow	brown	0.429	MF	Dentate Gyrus
greenyellow	grey	0.583	MF	Dentate Gyrus
greenyellow	blue	0.584	MF	Dentate Gyrus
greenyellow	darkgreen	0.461	MF	Dentate Gyrus
greenyellow	lightcyan	0.425	MF	Dentate Gyrus
greenyellow	turquoise	0.456	MF	Dentate Gyrus
greenyellow	pink	0.894	MF	Dentate Gyrus
greenyellow	violet		MF	Dentate Gyrus
greenyellow	magenta	0.568	MF	Dentate Gyrus
greenyellow	salmon	1	MF	Dentate Gyrus
greenyellow	royalblue	0.388	MF	Dentate Gyrus
greenyellow	darkorange	1	MF	Dentate Gyrus
greenyellow	saddlebrown		MF	Dentate Gyrus
greenyellow	darkturquoise		MF	Dentate Gyrus
greenyellow	yellow	0.894	MF	Dentate Gyrus
greenyellow	darkgrey	1	MF	Dentate Gyrus
greenyellow	black	1	MF	Dentate Gyrus
greenyellow	green	0.392	MF	Dentate Gyrus
greenyellow	plum1		MF	Dentate Gyrus
greenyellow	tan	0.529	MF	Dentate Gyrus
greenyellow	white	1	MF	Dentate Gyrus
greenyellow	red	0.494	MF	Dentate Gyrus
greenyellow	purple	0.599	MF	Dentate Gyrus
greenyellow	skyblue		MF	Dentate Gyrus
greenyellow	lightyellow	1	MF	Dentate Gyrus
greenyellow	midnightblue	0.674	MF	Dentate Gyrus
greenyellow	paleturquoise	0.487	MF	Dentate Gyrus
greenyellow	cyan	0.638	MF	Dentate Gyrus
greenyellow	orange		MF	Dentate Gyrus
greenyellow	lightgreen	0.577	MF	Dentate Gyrus
greenyellow	darkred	1	MF	Dentate Gyrus
greenyellow	darkmagenta	0.579	MF	Dentate Gyrus
greenyellow	yellowgreen	0.505	MF	Dentate Gyrus
greenyellow	sienna3		MF	Dentate Gyrus
brown	greenyellow	0.429	MF	Dentate Gyrus
brown	grey	0.544	MF	Dentate Gyrus
brown	blue	0.633	MF	Dentate Gyrus
brown	darkgreen	0.306	MF	Dentate Gyrus
brown	lightcyan	0.534	MF	Dentate Gyrus
brown	turquoise	0.656	MF	Dentate Gyrus
brown	pink	0.396	MF	Dentate Gyrus
brown	violet		MF	Dentate Gyrus
brown	magenta	0.5	MF	Dentate Gyrus
brown	salmon	1	MF	Dentate Gyrus
brown	royalblue	0.466	MF	Dentate Gyrus
brown	darkorange	1	MF	Dentate Gyrus
brown	saddlebrown		MF	Dentate Gyrus
brown	darkturquoise		MF	Dentate Gyrus
brown	yellow	0.396	MF	Dentate Gyrus
brown	darkgrey	1	MF	Dentate Gyrus
brown	black	1	MF	Dentate Gyrus
brown	green	0.673	MF	Dentate Gyrus
brown	plum1		MF	Dentate Gyrus
brown	tan	0.528	MF	Dentate Gyrus
brown	white	1	MF	Dentate Gyrus
brown	red	0.596	MF	Dentate Gyrus
brown	purple	0.477	MF	Dentate Gyrus
brown	skyblue		MF	Dentate Gyrus
brown	lightyellow	1	MF	Dentate Gyrus
brown	midnightblue	0.376	MF	Dentate Gyrus
brown	paleturquoise	0.386	MF	Dentate Gyrus
brown	cyan	0.462	MF	Dentate Gyrus
brown	orange		MF	Dentate Gyrus
brown	lightgreen	0.402	MF	Dentate Gyrus
brown	darkred	1	MF	Dentate Gyrus
brown	darkmagenta	0.571	MF	Dentate Gyrus
brown	yellowgreen	0.484	MF	Dentate Gyrus
brown	sienna3		MF	Dentate Gyrus
grey	greenyellow	0.583	MF	Dentate Gyrus
grey	brown	0.544	MF	Dentate Gyrus
grey	blue	0.648	MF	Dentate Gyrus
grey	darkgreen	0.327	MF	Dentate Gyrus
grey	lightcyan	0.474	MF	Dentate Gyrus
grey	turquoise	0.524	MF	Dentate Gyrus
grey	pink	0.561	MF	Dentate Gyrus
grey	violet		MF	Dentate Gyrus
grey	magenta	0.513	MF	Dentate Gyrus
grey	salmon	1	MF	Dentate Gyrus
grey	royalblue	0.467	MF	Dentate Gyrus
grey	darkorange	1	MF	Dentate Gyrus
grey	saddlebrown		MF	Dentate Gyrus
grey	darkturquoise		MF	Dentate Gyrus
grey	yellow	0.561	MF	Dentate Gyrus
grey	darkgrey	1	MF	Dentate Gyrus
grey	black	1	MF	Dentate Gyrus
grey	green	0.503	MF	Dentate Gyrus
grey	plum1		MF	Dentate Gyrus
grey	tan	0.574	MF	Dentate Gyrus
grey	white	1	MF	Dentate Gyrus
grey	red	0.61	MF	Dentate Gyrus
grey	purple	0.529	MF	Dentate Gyrus
grey	skyblue		MF	Dentate Gyrus
grey	lightyellow	1	MF	Dentate Gyrus
grey	midnightblue	0.521	MF	Dentate Gyrus
grey	paleturquoise	0.599	MF	Dentate Gyrus
grey	cyan	0.645	MF	Dentate Gyrus
grey	orange		MF	Dentate Gyrus
grey	lightgreen	0.553	MF	Dentate Gyrus
grey	darkred	1	MF	Dentate Gyrus
grey	darkmagenta	0.57	MF	Dentate Gyrus
grey	yellowgreen	0.447	MF	Dentate Gyrus
grey	sienna3		MF	Dentate Gyrus
blue	greenyellow	0.584	MF	Dentate Gyrus
blue	brown	0.633	MF	Dentate Gyrus
blue	grey	0.648	MF	Dentate Gyrus
blue	darkgreen	0.465	MF	Dentate Gyrus
blue	lightcyan	0.557	MF	Dentate Gyrus
blue	turquoise	0.624	MF	Dentate Gyrus
blue	pink	0.574	MF	Dentate Gyrus
blue	violet		MF	Dentate Gyrus
blue	magenta	0.675	MF	Dentate Gyrus
blue	salmon	1	MF	Dentate Gyrus
blue	royalblue	0.585	MF	Dentate Gyrus
blue	darkorange	1	MF	Dentate Gyrus
blue	saddlebrown		MF	Dentate Gyrus
blue	darkturquoise		MF	Dentate Gyrus
blue	yellow	0.574	MF	Dentate Gyrus
blue	darkgrey	1	MF	Dentate Gyrus
blue	black	1	MF	Dentate Gyrus
blue	green	0.572	MF	Dentate Gyrus
blue	plum1		MF	Dentate Gyrus
blue	tan	0.656	MF	Dentate Gyrus
blue	white	1	MF	Dentate Gyrus
blue	red	0.652	MF	Dentate Gyrus
blue	purple	0.573	MF	Dentate Gyrus
blue	skyblue		MF	Dentate Gyrus
blue	lightyellow	1	MF	Dentate Gyrus
blue	midnightblue	0.545	MF	Dentate Gyrus
blue	paleturquoise	0.507	MF	Dentate Gyrus
blue	cyan	0.563	MF	Dentate Gyrus
blue	orange		MF	Dentate Gyrus
blue	lightgreen	0.579	MF	Dentate Gyrus
blue	darkred	1	MF	Dentate Gyrus
blue	darkmagenta	0.608	MF	Dentate Gyrus
blue	yellowgreen	0.561	MF	Dentate Gyrus
blue	sienna3		MF	Dentate Gyrus
darkgreen	greenyellow	0.461	MF	Dentate Gyrus
darkgreen	brown	0.306	MF	Dentate Gyrus
darkgreen	grey	0.327	MF	Dentate Gyrus
darkgreen	blue	0.465	MF	Dentate Gyrus
darkgreen	lightcyan	0.39	MF	Dentate Gyrus
darkgreen	turquoise	0.364	MF	Dentate Gyrus
darkgreen	pink	0.398	MF	Dentate Gyrus
darkgreen	violet		MF	Dentate Gyrus
darkgreen	magenta	0.462	MF	Dentate Gyrus
darkgreen	salmon	1	MF	Dentate Gyrus
darkgreen	royalblue	0.326	MF	Dentate Gyrus
darkgreen	darkorange	1	MF	Dentate Gyrus
darkgreen	saddlebrown		MF	Dentate Gyrus
darkgreen	darkturquoise		MF	Dentate Gyrus
darkgreen	yellow	0.398	MF	Dentate Gyrus
darkgreen	darkgrey	1	MF	Dentate Gyrus
darkgreen	black	1	MF	Dentate Gyrus
darkgreen	green	0.336	MF	Dentate Gyrus
darkgreen	plum1		MF	Dentate Gyrus
darkgreen	tan	0.416	MF	Dentate Gyrus
darkgreen	white	1	MF	Dentate Gyrus
darkgreen	red	0.349	MF	Dentate Gyrus
darkgreen	purple	0.315	MF	Dentate Gyrus
darkgreen	skyblue		MF	Dentate Gyrus
darkgreen	lightyellow	1	MF	Dentate Gyrus
darkgreen	midnightblue	0.394	MF	Dentate Gyrus
darkgreen	paleturquoise	0.698	MF	Dentate Gyrus
darkgreen	cyan	0.346	MF	Dentate Gyrus
darkgreen	orange		MF	Dentate Gyrus
darkgreen	lightgreen	0.37	MF	Dentate Gyrus
darkgreen	darkred	1	MF	Dentate Gyrus
darkgreen	darkmagenta	0.485	MF	Dentate Gyrus
darkgreen	yellowgreen	0.372	MF	Dentate Gyrus
darkgreen	sienna3		MF	Dentate Gyrus
lightcyan	greenyellow	0.425	MF	Dentate Gyrus
lightcyan	brown	0.534	MF	Dentate Gyrus
lightcyan	grey	0.474	MF	Dentate Gyrus
lightcyan	blue	0.557	MF	Dentate Gyrus
lightcyan	darkgreen	0.39	MF	Dentate Gyrus
lightcyan	turquoise	0.52	MF	Dentate Gyrus
lightcyan	pink	0.41	MF	Dentate Gyrus
lightcyan	violet		MF	Dentate Gyrus
lightcyan	magenta	0.486	MF	Dentate Gyrus
lightcyan	salmon	1	MF	Dentate Gyrus
lightcyan	royalblue	0.412	MF	Dentate Gyrus
lightcyan	darkorange	1	MF	Dentate Gyrus
lightcyan	saddlebrown		MF	Dentate Gyrus
lightcyan	darkturquoise		MF	Dentate Gyrus
lightcyan	yellow	0.41	MF	Dentate Gyrus
lightcyan	darkgrey	1	MF	Dentate Gyrus
