Tissue	Dataset	OR	P-value	FDR	Direction	Method
Caudate	BS_Caudate_SZ	3.233853410740203	1.1447959816140951e-22	4.121265533810743e-21	All	TWAS
Caudate	BS_DLPFC_SZ	2.219857413300036	1.5798571598536034e-05	6.319428639414414e-05	All	TWAS
Caudate	BS_Hippocampus_SZ	2.975764134855044	1.0818840874775508e-06	5.563975307027404e-06	All	TWAS
Caudate	BS_sACC_BD		1.0	1.0	All	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	All	TWAS
Caudate	PSY_SZ	2.4971188548206107	0.00013801164500268332	0.0004516744745542363	All	TWAS
Caudate	PSY_ASD	3.8395007981425047	0.1295458798970094	0.22207865125201612	All	TWAS
Caudate	PSY_BD	0.0	0.6210309000499488	0.7984683000642199	All	TWAS
Caudate	Alzheimers	4.607575097953853	0.10241754457778048	0.18435158024000484	All	TWAS
Dentate Gyrus	BS_Caudate_SZ	1.9528675016479895	0.005459209875568734	0.01403796825146246	All	TWAS
Dentate Gyrus	BS_DLPFC_SZ	3.3521008403361345	3.696628703853316e-05	0.00013307863333871938	All	TWAS
Dentate Gyrus	BS_Hippocampus_SZ	3.373781148429036	0.001296023110719198	0.0035889870758377793	All	TWAS
Dentate Gyrus	BS_sACC_BD		1.0	1.0	All	TWAS
Dentate Gyrus	BS_Amyg_BD		1.0	1.0	All	TWAS
Dentate Gyrus	PSY_SZ	2.1152990001886436	0.07319886330977714	0.13869258311326194	All	TWAS
Dentate Gyrus	PSY_ASD	6.7727272727272725	0.15400905552988137	0.25201481813980586	All	TWAS
Dentate Gyrus	PSY_BD	3.646076146076146	0.253763309870494	0.3971947458842515	All	TWAS
Dentate Gyrus	Alzheimers	18.99696458684654	0.008373724810108278	0.018840880822743628	All	TWAS
DLPFC	BS_Caudate_SZ	2.7887774454497305	5.463671068759386e-16	6.556405282511263e-15	All	TWAS
DLPFC	BS_DLPFC_SZ	2.955952444946156	7.989983658346602e-10	5.752788234009553e-09	All	TWAS
DLPFC	BS_Hippocampus_SZ	2.9356817686653596	2.707515112467341e-06	1.2183818006103036e-05	All	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	All	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	All	TWAS
DLPFC	PSY_SZ	2.4205861085286102	0.000536209641914425	0.001608628925743275	All	TWAS
DLPFC	PSY_ASD	7.413469577333952	0.017685918905248316	0.03537183781049663	All	TWAS
DLPFC	PSY_BD	4.943680297397769	0.017134416481135888	0.03537183781049663	All	TWAS
DLPFC	Alzheimers	2.057308584686775	0.4204293278073503	0.6054182320425845	All	TWAS
Hippocampus	BS_Caudate_SZ	3.0000158634474445	1.6609389315535e-19	2.9896900767963004e-18	All	TWAS
Hippocampus	BS_DLPFC_SZ	2.7410924678710495	7.954617605855489e-09	4.7727705635132936e-08	All	TWAS
Hippocampus	BS_Hippocampus_SZ	4.148242630385488	1.140333679726612e-11	1.0263003117539509e-10	All	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	All	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	All	TWAS
Hippocampus	PSY_SZ	2.015139921294272	0.007216974935891978	0.017320739846140746	All	TWAS
Hippocampus	PSY_ASD	1.6377484673973621	0.4879035252156428	0.650538033620857	All	TWAS
Hippocampus	PSY_BD	1.9111737496386239	0.31126300622763964	0.4668945093414595	All	TWAS
Hippocampus	Alzheimers	1.9107787891923131	0.44321513047249944	0.6136824883465377	All	TWAS
Caudate	BS_Caudate_SZ	3.2916502624671917	1.8603814424716488e-13	3.348686596448968e-12	EA Bias	TWAS
Caudate	BS_DLPFC_SZ	2.032107338820302	0.007567164611987139	0.022701493835961418	EA Bias	TWAS
Caudate	BS_Hippocampus_SZ	3.0608231961339776	0.00019075978761591032	0.001144558725695462	EA Bias	TWAS
Caudate	BS_sACC_BD		1.0	1.0	EA Bias	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	EA Bias	TWAS
Caudate	PSY_SZ	1.9751997993047343	0.043773592729045505	0.08293943885503359	EA Bias	TWAS
Caudate	PSY_ASD	8.599565082323704	0.0336369935134959	0.0672739870269918	EA Bias	TWAS
Caudate	PSY_BD	0.0	1.0	1.0	EA Bias	TWAS
Caudate	Alzheimers	10.319850885368126	0.025860669124341675	0.05891161074306342	EA Bias	TWAS
Dentate Gyrus	BS_Caudate_SZ	2.578088644231315	0.0026693805233896127	0.009609769884202606	EA Bias	TWAS
Dentate Gyrus	BS_DLPFC_SZ	3.256669839347005	0.004421636199138387	0.014470809378998356	EA Bias	TWAS
Dentate Gyrus	BS_Hippocampus_SZ	3.4919402543626146	0.017014599059779808	0.0437518261537195	EA Bias	TWAS
Dentate Gyrus	BS_sACC_BD		1.0	1.0	EA Bias	TWAS
Dentate Gyrus	BS_Amyg_BD		1.0	1.0	EA Bias	TWAS
Dentate Gyrus	PSY_SZ	3.7758418584825235	0.012662827238615608	0.03506629081462784	EA Bias	TWAS
Dentate Gyrus	PSY_ASD	14.528061224489797	0.07554402268852095	0.1359792408393377	EA Bias	TWAS
Dentate Gyrus	PSY_BD	0.0	1.0	1.0	EA Bias	TWAS
Dentate Gyrus	Alzheimers	40.827240143369174	0.0019335881073433128	0.007734352429373251	EA Bias	TWAS
DLPFC	BS_Caudate_SZ	2.8437851475818463	2.0715909126227883e-09	2.485909095147346e-08	EA Bias	TWAS
DLPFC	BS_DLPFC_SZ	2.618490663900415	0.00011228374196607526	0.0008084429421557418	EA Bias	TWAS
DLPFC	BS_Hippocampus_SZ	2.8847289318303813	0.0007697022149352091	0.0039584685339525034	EA Bias	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	EA Bias	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	EA Bias	TWAS
DLPFC	PSY_SZ	2.162276310849706	0.030847413769578867	0.06532393504146113	EA Bias	TWAS
DLPFC	PSY_ASD	4.027556200145033	0.24352557403902744	0.38117046371326035	EA Bias	TWAS
DLPFC	PSY_BD	0.0	1.0	1.0	EA Bias	TWAS
DLPFC	Alzheimers	4.698984771573604	0.21666623719029093	0.37142783518335587	EA Bias	TWAS
Hippocampus	BS_Caudate_SZ	3.2639174526629318	1.0965267592427935e-13	3.348686596448968e-12	EA Bias	TWAS
Hippocampus	BS_DLPFC_SZ	2.2812594610959733	0.0009956665066281171	0.004480499279826527	EA Bias	TWAS
Hippocampus	BS_Hippocampus_SZ	3.3437428243398393	2.8639337129852685e-05	0.0002577540341686742	EA Bias	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	EA Bias	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	EA Bias	TWAS
Hippocampus	PSY_SZ	2.093317653569452	0.026182938108028186	0.05891161074306342	EA Bias	TWAS
Hippocampus	PSY_ASD	3.518334606569901	0.2728672942175781	0.4093009413263672	EA Bias	TWAS
Hippocampus	PSY_BD	0.0	1.0	1.0	EA Bias	TWAS
Hippocampus	Alzheimers	4.104872251931075	0.2433167557752089	0.38117046371326035	EA Bias	TWAS
Caudate	BS_Caudate_SZ	2.6857256303355173	8.981627234659874e-10	3.233385804477555e-08	AA Bias	TWAS
Caudate	BS_DLPFC_SZ	2.187507620915625	0.0010203107778396256	0.004591398500278315	AA Bias	TWAS
Caudate	BS_Hippocampus_SZ	2.481570701490645	0.0034809153289490093	0.01044274598684703	AA Bias	TWAS
Caudate	BS_sACC_BD		1.0	1.0	AA Bias	TWAS
Caudate	BS_Amyg_BD		1.0	1.0	AA Bias	TWAS
Caudate	PSY_SZ	2.699298908976328	0.001016001737570556	0.004591398500278315	AA Bias	TWAS
Caudate	PSY_ASD	0.0	1.0	1.0	AA Bias	TWAS
Caudate	PSY_BD	0.0	1.0	1.0	AA Bias	TWAS
Caudate	Alzheimers	0.0	1.0	1.0	AA Bias	TWAS
Dentate Gyrus	BS_Caudate_SZ	1.3745430375540046	0.39573972684136993	0.7498226403310166	AA Bias	TWAS
Dentate Gyrus	BS_DLPFC_SZ	3.2885893863798352	0.002480299446165274	0.008117343641995442	AA Bias	TWAS
Dentate Gyrus	BS_Hippocampus_SZ	3.115382075160161	0.025965664633156613	0.06676885191383129	AA Bias	TWAS
Dentate Gyrus	BS_sACC_BD		1.0	1.0	AA Bias	TWAS
Dentate Gyrus	BS_Amyg_BD		1.0	1.0	AA Bias	TWAS
Dentate Gyrus	PSY_SZ	0.6460292104062072	1.0	1.0	AA Bias	TWAS
Dentate Gyrus	PSY_ASD	0.0	1.0	1.0	AA Bias	TWAS
Dentate Gyrus	PSY_BD	6.988449250430081	0.14247978688268848	0.28495957376537695	AA Bias	TWAS
Dentate Gyrus	Alzheimers	0.0	1.0	1.0	AA Bias	TWAS
DLPFC	BS_Caudate_SZ	2.4177520071364853	2.0090850893207392e-07	3.6163531607773307e-06	AA Bias	TWAS
DLPFC	BS_DLPFC_SZ	2.8666606792701366	3.4728872356789462e-06	2.500478809688841e-05	AA Bias	TWAS
DLPFC	BS_Hippocampus_SZ	2.602711157455683	0.0013939326996577819	0.0055757307986311275	AA Bias	TWAS
DLPFC	BS_sACC_BD		1.0	1.0	AA Bias	TWAS
DLPFC	BS_Amyg_BD		1.0	1.0	AA Bias	TWAS
DLPFC	PSY_SZ	2.4109023876404496	0.007877835969331504	0.021815545761225703	AA Bias	TWAS
DLPFC	PSY_ASD	7.873002283105023	0.039320149753584034	0.09436835940860168	AA Bias	TWAS
DLPFC	PSY_BD	9.462435677530017	0.0019652470109078127	0.007074889239268125	AA Bias	TWAS
DLPFC	Alzheimers	0.0	1.0	1.0	AA Bias	TWAS
Hippocampus	BS_Caudate_SZ	2.328950126014971	8.310555811717358e-07	7.4795002305456225e-06	AA Bias	TWAS
Hippocampus	BS_DLPFC_SZ	2.827944359491464	4.413505914844066e-06	2.6481035489064398e-05	AA Bias	TWAS
Hippocampus	BS_Hippocampus_SZ	3.99402076856935	3.0300201371086356e-07	3.636024164530363e-06	AA Bias	TWAS
Hippocampus	BS_sACC_BD		1.0	1.0	AA Bias	TWAS
Hippocampus	BS_Amyg_BD		1.0	1.0	AA Bias	TWAS
Hippocampus	PSY_SZ	1.7831411401656652	0.0852883029546677	0.19189868164800233	AA Bias	TWAS
Hippocampus	PSY_ASD	0.0	1.0	1.0	AA Bias	TWAS
Hippocampus	PSY_BD	3.883629191321499	0.11128392214332133	0.23566007042115106	AA Bias	TWAS
Hippocampus	Alzheimers	0.0	1.0	1.0	AA Bias	TWAS
