go	cluster	parent	score	size	term	parentTerm	termUniqueness	termUniquenessWithinCluster	termDispensability	Ont	Tissue
GO:0051606	1	GO:0051606	4.41726865337156	4	detection of stimulus	detection of stimulus	0.886127906976744	0.2638	0	BP	Caudate
GO:0050776	2	GO:0050776	3.79214708996697	32	regulation of immune response	regulation of immune response	0.638267441860465	0.395642857142857	0	BP	Caudate
GO:0002250	2	GO:0050776	3.72256427529486	434	adaptive immune response	regulation of immune response	0.710093023255814	0.442964285714286	0.727	BP	Caudate
GO:0002683	2	GO:0050776	3.72256427529486	1	negative regulation of immune system process	regulation of immune response	0.718488372093023	0.442142857142857	0.758	BP	Caudate
GO:0002252	2	GO:0050776	3.72256427529486	0	immune effector process	regulation of immune response	0.738744186046512	0.399464285714286	0.6	BP	Caudate
GO:0050906	1	GO:0051606	3.72256427529486	2	detection of stimulus involved in sensory perception	detection of stimulus	0.81596511627907	0.2668	0.968	BP	Caudate
GO:0045087	3	GO:0045087	3.60048696323444	527	innate immune response	innate immune response	0.650127906976744	0.574	0	BP	Caudate
GO:0032102	4	GO:0032102	2.99174165532639	0	negative regulation of response to external stimulus	negative regulation of response to external stimulus	0.80103488372093	0.60575	0	BP	Caudate
GO:0009617	5	GO:0009617	2.93215031857189	116	response to bacterium	response to bacterium	0.859976744186047	0.389833333333333	0	BP	Caudate
GO:0006954	3	GO:0045087	2.77461093404764	419	inflammatory response	innate immune response	0.882139534883721	0.5936	0.753	BP	Caudate
GO:0003341	6	GO:0003341	2.71892658936333	63	cilium movement	cilium movement	0.951290697674419	0.4368	0	BP	Caudate
GO:0060285	7	GO:0060285	2.71892658936333	15	cilium-dependent cell motility	cilium-dependent cell motility	0.952279069767442	0.3825	0	BP	Caudate
GO:0001539	7	GO:0060285	2.71892658936333	0	cilium or flagellum-dependent cell motility	cilium-dependent cell motility	0.952279069767442	0.3825	0.999	BP	Caudate
GO:0002832	5	GO:0009617	2.67727029927927	0	negative regulation of response to biotic stimulus	response to bacterium	0.81296511627907	0.409666666666667	0.622	BP	Caudate
GO:0007600	8	GO:0007600	2.67657051920204	11	sensory perception	sensory perception	0.908930232558139	0.50725	0	BP	Caudate
GO:0002460	2	GO:0050776	2.67657051920204	0	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	regulation of immune response	0.720395348837209	0.456428571428571	0.681	BP	Caudate
GO:0045824	5	GO:0009617	2.67657051920204	24	negative regulation of innate immune response	response to bacterium	0.641872093023256	0.412666666666667	0.597	BP	Caudate
GO:0006956	2	GO:0050776	2.60554203745363	29	complement activation	regulation of immune response	0.663197674418605	0.412964285714286	0.765	BP	Caudate
GO:0002443	2	GO:0050776	2.42943458972403	1	leukocyte mediated immunity	regulation of immune response	0.743755813953488	0.407642857142857	0.562	BP	Caudate
GO:0002478	2	GO:0050776	2.37214160718397	0	antigen processing and presentation of exogenous peptide antigen	regulation of immune response	0.788255813953488	0.488464285714286	0.449	BP	Caudate
GO:0050778	2	GO:0050776	2.37214160718397	20	positive regulation of immune response	regulation of immune response	0.634186046511628	0.404392857142857	0.959	BP	Caudate
GO:0060294	7	GO:0060285	2.37214160718397	12	cilium movement involved in cell motility	cilium-dependent cell motility	0.910941860465116	0.385166666666667	0.993	BP	Caudate
GO:0035082	6	GO:0003341	2.37214160718397	32	axoneme assembly	cilium movement	0.946941860465116	0.3666	0.656	BP	Caudate
GO:0050777	2	GO:0050776	2.33352747516614	13	negative regulation of immune response	regulation of immune response	0.668720930232558	0.449178571428571	0.814	BP	Caudate
GO:0050907	1	GO:0051606	2.33352747516614	1	detection of chemical stimulus involved in sensory perception	detection of stimulus	0.805	0.261	0.954	BP	Caudate
GO:0002504	2	GO:0050776	2.21011815533311	1	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	regulation of immune response	0.785488372093023	0.483178571428572	0.461	BP	Caudate
GO:0019884	2	GO:0050776	2.01013996087505	2	antigen processing and presentation of exogenous antigen	regulation of immune response	0.787372093023256	0.487321428571429	0.455	BP	Caudate
GO:0009593	1	GO:0051606	2.01013996087505	1	detection of chemical stimulus	detection of stimulus	0.877348837209302	0.2674	0.962	BP	Caudate
GO:0007606	8	GO:0007600	2.00757575543952	15	sensory perception of chemical stimulus	sensory perception	0.91193023255814	0.51925	0.93	BP	Caudate
GO:0007171	9	GO:0007171	1.91575842357026	7	activation of transmembrane receptor protein tyrosine kinase activity	activation of transmembrane receptor protein tyrosine kinase activity	0.875127906976744	0.7045	0	BP	Caudate
GO:0019886	2	GO:0050776	1.91575842357026	41	antigen processing and presentation of exogenous peptide antigen via MHC class II	regulation of immune response	0.788872093023256	0.487928571428571	0.44	BP	Caudate
GO:0019882	2	GO:0050776	1.91575842357026	24	antigen processing and presentation	regulation of immune response	0.771476744186047	0.452607142857143	0.509	BP	Caudate
GO:0006958	2	GO:0050776	1.91575842357026	33	complement activation, classical pathway	regulation of immune response	0.66753488372093	0.396464285714286	0.701	BP	Caudate
GO:0016064	2	GO:0050776	1.91575842357026	20	immunoglobulin mediated immune response	regulation of immune response	0.700220930232558	0.392285714285714	0.624	BP	Caudate
GO:0019724	2	GO:0050776	1.91575842357026	4	B cell mediated immunity	regulation of immune response	0.699558139534884	0.391107142857143	0.626	BP	Caudate
GO:0002697	2	GO:0050776	1.91294080983854	0	regulation of immune effector process	regulation of immune response	0.707011627906977	0.381214285714286	0.741	BP	Caudate
GO:0002449	2	GO:0050776	1.89710145616412	0	lymphocyte mediated immunity	regulation of immune response	0.74696511627907	0.413571428571429	0.548	BP	Caudate
GO:0048002	2	GO:0050776	1.8766445428917	3	antigen processing and presentation of peptide antigen	regulation of immune response	0.77556976744186	0.460928571428572	0.493	BP	Caudate
GO:0002274	10	GO:0002274	1.86953777903624	1	myeloid leukocyte activation	myeloid leukocyte activation	0.74243023255814	0.3436	0	BP	Caudate
GO:0003094	8	GO:0007600	1.83861856088477	19	glomerular filtration	sensory perception	0.930232558139535	0.4975	0.519	BP	Caudate
GO:0019221	11	GO:0019221	1.81052248517256	149	cytokine-mediated signaling pathway	cytokine-mediated signaling pathway	0.868418604651163	0.619	0	BP	Caudate
GO:0002495	2	GO:0050776	1.72585776154777	3	antigen processing and presentation of peptide antigen via MHC class II	regulation of immune response	0.784941860465116	0.481035714285714	0.46	BP	Caudate
GO:0002698	2	GO:0050776	1.72585776154777	0	negative regulation of immune effector process	regulation of immune response	0.713151162790698	0.409285714285714	0.654	BP	Caudate
GO:0009595	1	GO:0051606	1.72585776154777	4	detection of biotic stimulus	detection of stimulus	0.875662790697674	0.3758	0.797	BP	Caudate
GO:0031341	12	GO:0031341	1.62547838375258	0	regulation of cell killing	regulation of cell killing	0.937104651162791	0.505	0	BP	Caudate
GO:0097205	8	GO:0007600	1.62547838375258	2	renal filtration	sensory perception	0.929941860465116	0.496	0.522	BP	Caudate
GO:0001578	6	GO:0003341	1.62547838375258	38	microtubule bundle formation	cilium movement	0.948383720930233	0.366	0.667	BP	Caudate
GO:0050731	9	GO:0007171	1.56414804504211	93	positive regulation of peptidyl-tyrosine phosphorylation	activation of transmembrane receptor protein tyrosine kinase activity	0.909093023255814	0.7045	0.591	BP	Caudate
GO:0060759	11	GO:0019221	1.56414804504211	0	regulation of response to cytokine stimulus	cytokine-mediated signaling pathway	0.851116279069768	0.619	0.762	BP	Caudate
GO:0031348	4	GO:0032102	1.56414804504211	0	negative regulation of defense response	negative regulation of response to external stimulus	0.80746511627907	0.61575	0.658	BP	Caudate
GO:1903034	3	GO:0045087	1.56414804504211	1	regulation of response to wounding	innate immune response	0.833627906976744	0.4452	0.456	BP	Caudate
GO:0002455	2	GO:0050776	1.56414804504211	4	humoral immune response mediated by circulating immunoglobulin	regulation of immune response	0.721802325581395	0.431392857142857	0.562	BP	Caudate
GO:0002688	7	GO:0060285	1.56414804504211	0	regulation of leukocyte chemotaxis	cilium-dependent cell motility	0.657453488372093	0.419833333333333	0.564	BP	Caudate
GO:0070286	6	GO:0003341	1.56414804504211	20	axonemal dynein complex assembly	cilium movement	0.947744186046512	0.3874	0.624	BP	Caudate
GO:0001819	13	GO:0001819	1.56414804504211	66	positive regulation of cytokine production	positive regulation of cytokine production	0.818697674418605	0.327333333333333	0	BP	Caudate
GO:0001817	13	GO:0001819	1.56414804504211	64	regulation of cytokine production	positive regulation of cytokine production	0.830337209302326	0.298	0.927	BP	Caudate
GO:0032640	13	GO:0001819	1.56414804504211	0	tumor necrosis factor production	positive regulation of cytokine production	0.885732558139535	0.291111111111111	0.74	BP	Caudate
GO:0032680	13	GO:0001819	1.56414804504211	12	regulation of tumor necrosis factor production	positive regulation of cytokine production	0.846523255813954	0.290444444444444	0.742	BP	Caudate
GO:0015850	14	GO:0015850	1.56353910785524	0	organic hydroxy compound transport	organic hydroxy compound transport	1	1	0	BP	Caudate
GO:0070372	4	GO:0032102	1.56353910785524	30	regulation of ERK1 and ERK2 cascade	negative regulation of response to external stimulus	0.84346511627907	0.565	0.446	BP	Caudate
GO:0002831	5	GO:0009617	1.53025282439211	0	regulation of response to biotic stimulus	response to bacterium	0.811127906976744	0.390166666666667	0.723	BP	Caudate
GO:0071706	13	GO:0001819	1.53025282439211	0	tumor necrosis factor superfamily cytokine production	positive regulation of cytokine production	0.88546511627907	0.29	0.742	BP	Caudate
GO:1903555	13	GO:0001819	1.53025282439211	0	regulation of tumor necrosis factor superfamily cytokine production	positive regulation of cytokine production	0.846151162790698	0.289222222222222	0.745	BP	Caudate
GO:0006775	15	GO:0006775	1.51832662735684	0	fat-soluble vitamin metabolic process	fat-soluble vitamin metabolic process	0.983069767441861	1	0	BP	Caudate
GO:0001910	12	GO:0031341	1.51832662735684	1	regulation of leukocyte mediated cytotoxicity	regulation of cell killing	0.714127906976744	0.505	0.99	BP	Caudate
GO:0043410	4	GO:0032102	1.47135690279113	169	positive regulation of MAPK cascade	negative regulation of response to external stimulus	0.819569767441861	0.552	0.473	BP	Caudate
GO:0030217	10	GO:0002274	1.47135690279113	44	T cell differentiation	myeloid leukocyte activation	0.735302325581395	0.4444	0.716	BP	Caudate
GO:0042742	5	GO:0009617	1.47135690279113	151	defense response to bacterium	response to bacterium	0.850383720930233	0.390833333333333	0.918	BP	Caudate
GO:0001816	13	GO:0001819	1.47135690279113	7	cytokine production	positive regulation of cytokine production	0.877848837209302	0.298444444444444	0.925	BP	Caudate
GO:0061041	3	GO:0045087	1.46281056570027	7	regulation of wound healing	innate immune response	0.835523255813954	0.4452	0.449	BP	Caudate
GO:0003352	6	GO:0003341	1.44967169191009	6	regulation of cilium movement	cilium movement	0.921337209302326	0.484	0.869	BP	Caudate
GO:0050829	5	GO:0009617	1.44967169191009	99	defense response to Gram-negative bacterium	response to bacterium	0.866709302325582	0.4455	0.801	BP	Caudate
GO:0002690	7	GO:0060285	1.41737381726967	14	positive regulation of leukocyte chemotaxis	cilium-dependent cell motility	0.651883720930233	0.4275	0.554	BP	Caudate
GO:0002275	10	GO:0002274	1.41737381726967	0	myeloid cell activation involved in immune response	myeloid leukocyte activation	0.675337209302326	0.378	0.925	BP	Caudate
GO:0019883	2	GO:0050776	1.40896389825086	2	antigen processing and presentation of endogenous antigen	regulation of immune response	0.790976744186047	0.498464285714286	0.456	BP	Caudate
GO:0001911	2	GO:0050776	1.40896389825086	0	negative regulation of leukocyte mediated cytotoxicity	regulation of immune response	0.719604651162791	0.448071428571429	0.577	BP	Caudate
GO:1903707	2	GO:0050776	1.40183825344129	2	negative regulation of hemopoiesis	regulation of immune response	0.69246511627907	0.500464285714286	0.643	BP	Caudate
GO:0050867	10	GO:0002274	1.39260022311435	3	positive regulation of cell activation	myeloid leukocyte activation	0.84043023255814	0.4486	0.709	BP	Caudate
GO:0002253	2	GO:0050776	1.38101752628252	2	activation of immune response	regulation of immune response	0.644523255813954	0.418428571428572	0.921	BP	Caudate
GO:0071674	7	GO:0060285	1.37842527138414	1	mononuclear cell migration	cilium-dependent cell motility	0.775488372093023	0.4355	0.595	BP	Caudate
GO:1901615	16	GO:1901615	1.37259054176067	0	organic hydroxy compound metabolic process	organic hydroxy compound metabolic process	0.97753488372093	1	0	BP	Caudate
GO:1903706	2	GO:0050776	1.37259054176067	11	regulation of hemopoiesis	regulation of immune response	0.681348837209302	0.479535714285714	0.736	BP	Caudate
GO:0042730	3	GO:0045087	1.37259054176067	21	fibrinolysis	innate immune response	0.767209302325581	0.4708	0.472	BP	Caudate
GO:0071605	13	GO:0001819	1.37259054176067	0	monocyte chemotactic protein-1 production	positive regulation of cytokine production	0.906790697674418	0.434444444444444	0.615	BP	Caudate
GO:0071637	13	GO:0001819	1.37259054176067	0	regulation of monocyte chemotactic protein-1 production	positive regulation of cytokine production	0.873488372093023	0.433444444444444	0.618	BP	Caudate
