"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MElightcyan","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"R12872",0.0470572475072238,0.0399924980409221,0.0851691826261343,-0.0143536179454194,0.041314541577173,0.023811860796104,-0.0690359505820486,-0.0420084282023748,-0.0351217963448394,0.0304776111656577,0.0507497604676135,0.0483882919220281,-0.0366372890599123,0.0806123230925,0.000756622558183075,-0.0663189049856255,0.0691333600318359
"R12873",0.0298389769155394,-0.0235306844509345,0.00882403139736887,0.0138611354831954,0.060676717578602,-0.104829013427268,-0.0319316271374816,-0.0694773946983851,0.0792793768967435,0.00289048606727123,0.0381891135934255,0.0207530286577677,0.0162385136275254,-0.109221935772408,-0.116136986930343,0.0346835258048236,0.01061056258502
"R12874",-0.0769049502701894,0.0592150853106218,-0.0479291473689603,-0.0809403388342253,-0.0288609991070988,-0.0547353449437386,-0.0406800722548333,-0.0520383675616533,-0.0950916503139466,-0.156368144310538,-0.0680843623503139,-0.025104586214898,-0.0549884589458556,0.14705501031667,-0.085545740765441,-0.0472663269484249,0.00514231896604883
"R12890",0.0317576210792701,0.154368904497553,-0.0186179539405861,0.0245092008449065,0.0414483898701213,0.0539518888298544,-0.0498213488970853,-0.0615863423780026,-0.00286881252662395,-0.0436458388254404,-0.00978879299602539,-0.0758221960803725,-0.0198869401846589,-0.0135202163394687,0.0202357530951331,0.075173759604212,-0.0781652819117956
"R12891",0.0240991250965774,0.0707082999481565,-0.110995572411427,-0.0341421165563516,0.0137062659317452,0.0154232528018356,0.0328577062125431,-0.0435511182172804,-0.0387769592353059,0.0220229100586987,-0.0868068403694221,-0.00645504504164433,-0.0640109153617332,0.076260052600142,0.0509558968462157,0.109193875546876,-0.130747537935448
"R12892",-0.0207104304298548,-0.0284137301696529,0.0757288236724753,5.72651890793788e-05,0.0776116907564618,-0.0166421596276817,-0.0242679734857446,-0.0409652738610525,0.125873106088852,0.187048028139937,0.132272064651069,0.100082562846874,0.132764974157557,0.015804213299871,0.00734066713308509,-0.0765488155603332,0.0766814800576617
"R12893",0.016867393186283,-0.078503171048825,0.114649753461987,-0.0946875941164316,-0.00766935913405257,-0.100298241138986,0.0125270856556998,0.119437797049331,-0.0250444933401394,0.0281347381936554,0.0693173974528616,-0.020112783467195,-0.00751305510180732,-0.000102660092360012,-0.00693241680414641,-0.0551946550016755,0.0814996836962338
"R12894",-0.0446723741405618,0.0291645472785571,-0.011157429267218,0.229081355584691,0.048254470398994,0.159103465295591,-0.00674975149133479,-0.0198378945208434,-0.0764703448019013,-0.0323349970835664,-0.0848784664862889,0.0669699991758381,-0.0167992144171166,-0.146476289677279,0.199770124461929,0.00649901232738968,0.0488019900345046
"R12926",0.0745621409452471,0.0379792455742674,0.116589853727383,-0.0586464607763977,0.0092560483820434,-0.048623491374335,0.000283744389195213,0.0211816631304034,0.0575381771785991,0.103388317602107,0.194363631175452,0.0467039230518101,-0.00282198440388098,0.096998856794535,0.024977011897474,-0.124922123810957,0.132222839656132
"R12927",0.0583354738562966,-0.0795007673361432,0.102311860645395,-0.023434483081122,0.0753413404639427,-0.0759704929944769,-0.119406450825369,-0.0573243993006908,-0.0696197620954489,0.0751679438068359,0.156036837670684,0.13157548893815,-0.0183045038320999,-0.0529955103839703,-0.0428171003800158,-0.0519043080390592,0.130713068456216
"R12962",-0.0155064307711292,0.0566706407601786,-0.0301132360344826,-0.0557201099737786,0.079499410958495,-0.106034164152451,-0.00354846214715882,-0.027304941790326,-0.0103787997372259,-0.0366516410618569,-0.0576689229503723,0.0593511228449232,0.0578071515870334,0.00283322800247647,-0.105899265922488,-0.031744385039028,0.0256547977921196
