Region	Direction	OR	PValue	FDR
Caudate	Up	1.6074499318443956	0.05570187945226	0.05570187945226
Caudate	Down	1.8048170159524555	0.0038677219251338655	0.005801582887700799
Caudate	All	1.7137683282738898	0.000576973959520708	0.0017309218785621242
Dentate Gyrus	Up	1.4227959084266926	0.11757551717594536	0.11757551717594536
Dentate Gyrus	Down	1.5121553271333008	0.09718719689689587	0.11757551717594536
Dentate Gyrus	All	1.4657003837719298	0.022451261173102494	0.06735378351930749
DLPFC	Up	1.7181983621474068	0.01516536219369589	0.022748043290543838
DLPFC	Down	1.6815068493150684	0.02277975567985344	0.02277975567985344
DLPFC	All	1.7003928964325004	0.0006525533013345762	0.0019576599040037287
Hippocampus	Up	1.2175675675675677	0.35758669447695224	0.35758669447695224
Hippocampus	Down	1.6518888738799586	0.033778287631377135	0.054867113715348054
Hippocampus	All	1.391945111659592	0.036578075810232036	0.054867113715348054
