Tissue	Group	OR	P-value	FDR	Direction	State	Response
Caudate	MG2.late	3.1219746154296075	9.552016609037236e-6	0.00045849679723378736	All DEGs	MG2	late
Caudate	MG1.early	2.0120768977982255	0.40501852969375673	0.4800219611185265	All DEGs	MG1	early
Caudate	MG2.early	2.7266963649820553	0.012627492156086863	0.03562026306867336	All DEGs	MG2	early
Caudate	MG11.late	3.9964841274708203	0.0015343220981898812	0.008664407142719328	All DEGs	MG11	late
Caudate	MG3.early	1.3922193294966658	0.41741710900718754	0.4886834446913415	All DEGs	MG3	early
Caudate	MG7.early	1.1506323262732456	0.6968537355507629	0.7516624563244184	All DEGs	MG7	early
Caudate	MG7.late	1.6856621797655231	0.08623807902498502	0.1357189440393207	All DEGs	MG7	late
Caudate	MG11.early	0.0	1.0	1.0	All DEGs	MG11	early
Caudate	MG5.late	2.048029524699045	0.02531756501997431	0.05546434767604804	All DEGs	MG5	late
Caudate	MG8.early	1.6711250983477577	0.3120867401833112	0.3994710274346383	All DEGs	MG8	early
Caudate	MG0.late	2.0792473003314447	0.02022060821839359	0.04734581436501914	All DEGs	MG0	late
Caudate	MG12.early	2.5073785611805697	0.12907179110408953	0.18493868576108352	All DEGs	MG12	early
Caudate	MG6.late	0.6399953535524204	0.4586989106600336	0.5180599461572144	All DEGs	MG6	late
Caudate	MG0.early	1.2667184667184668	0.6739432375346686	0.7499218307669012	All DEGs	MG0	early
Caudate	MG3.late	3.2612660944206007	0.000034268432284436564	0.0008224423748264775	All DEGs	MG3	late
Caudate	MG10.early	2.6917933130699088	0.002891963324495871	0.01207080344137407	All DEGs	MG10	early
Caudate	MG8.late	2.5998486553610927	0.005368195201971738	0.01839482945519428	All DEGs	MG8	late
Caudate	MG4.early	0.9070796460176991	1.0	1.0	All DEGs	MG4	early
Caudate	MG1.late	2.5201529557668456	0.013250950156694995	0.03562026306867336	All DEGs	MG1	late
Caudate	MG5.early	2.144311797752809	0.09463877104259785	0.1465374519369257	All DEGs	MG5	early
Caudate	MG6.early	1.1160648489314664	0.7179664414967615	0.7658308709298789	All DEGs	MG6	early
Caudate	MG10.late	2.871939736346516	0.00624875476490449	0.019996015247694367	All DEGs	MG10	late
Caudate	MG12.late	2.372647244783814	0.02542115935152202	0.05546434767604804	All DEGs	MG12	late
Caudate	MG4.late	2.5761932144910866	0.002001941955717394	0.010115075144677358	All DEGs	MG4	late
Dentate Gyrus	MG2.late	2.323423268602853	0.004538888530119559	0.016758973034287604	All DEGs	MG2	late
Dentate Gyrus	MG1.early	2.2762389995368224	0.36859750841147315	0.4423170100937678	All DEGs	MG1	early
Dentate Gyrus	MG2.early	3.5151674641148327	0.001771989234290091	0.009450609249547152	All DEGs	MG2	early
Dentate Gyrus	MG11.late	1.5700653259894966	0.4467682599608087	0.5105922970980671	All DEGs	MG11	late
Dentate Gyrus	MG3.early	2.5975583864118894	0.015981259477060833	0.03933848486661128	All DEGs	MG3	early
Dentate Gyrus	MG7.early	3.1120337250894226	0.000058138798894166754	0.0011162649387680015	All DEGs	MG7	early
Dentate Gyrus	MG7.late	2.78630183091007	0.00030844151755469594	0.0036947352005122698	All DEGs	MG7	late
Dentate Gyrus	MG11.early	2.2762389995368224	0.36859750841147315	0.4423170100937678	All DEGs	MG11	early
Dentate Gyrus	MG5.late	2.91194743130227	0.00028897174621996723	0.0036947352005122698	All DEGs	MG5	late
Dentate Gyrus	MG8.early	4.003103054058468	0.0014754533960386685	0.008664407142719328	All DEGs	MG8	early
Dentate Gyrus	MG0.late	1.9382321618743343	0.046593631463710594	0.08770565922580818	All DEGs	MG0	late
Dentate Gyrus	MG12.early	0.8989562351217726	1.0	1.0	All DEGs	MG12	early
Dentate Gyrus	MG6.late	1.3327915555717886	0.4304247801137035	0.4978407095291028	All DEGs	MG6	late
Dentate Gyrus	MG0.early	2.1940445318787445	0.16737393190809574	0.22630841497432663	All DEGs	MG0	early
Dentate Gyrus	MG3.late	3.9335918606328546	1.7485331757668348e-6	0.00016785918487361616	All DEGs	MG3	late
Dentate Gyrus	MG10.early	2.7744412903225806	0.003355728237391138	0.01288599643158197	All DEGs	MG10	early
Dentate Gyrus	MG8.late	2.9465534246575342	0.0021794364570793343	0.010461294993980805	All DEGs	MG8	late
Dentate Gyrus	MG4.early	2.4993801140590133	0.027721410307142577	0.05785337803229755	All DEGs	MG4	early
Dentate Gyrus	MG1.late	3.558981818181818	0.0005289279816979424	0.004403213420177313	All DEGs	MG1	late
Dentate Gyrus	MG5.early	4.055256845065762	0.001367798637831085	0.008664407142719328	All DEGs	MG5	early
