ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	-Log10(qvalues)	Tissue	p.fdr.sig	p.fdr.cat
GO:0045087	innate immune response	459	-0.416974657213781	-1.36307729299877	0.0013361077962081	0.312664154053206	0.312664154053206	1574	tags=19%, list=11%, signal=17%	ZDHHC1/NR1H3/PML/TRIM21/RASGRP1/IFI16/WNT5A/TRIM14/SLA/PTPN6/CNPY3/TLR5/NOD1/TRIM62/HK1/C1QC/FAM3A/HLA-F/UNC93B1/IFIH1/HLA-A/TTLL12/CD84/MYD88/ADAM15/PVR/CARD8/IFIT3/TTC4/GBP3/SERPING1/MID2/SPI1/SPON2/TLR2/TRIM25/IFI35/PARP14/TLR3/COCH/IRAK3/BIRC3/GBP5/LYAR/C1R/OAS2/C1S/PARP9/C1RL/NLRP2/HERC5/PIK3CG/CD226/IFIT2/LYN/HLA-B/ISG15/LY96/STAT1/C4B/C1QB/TLR6/IFI27/CFH/DTX3L/LGALS9/TRIM22/SAMHD1/IFIT1/RSAD2/SIGLEC10/TRIM5/IFNLR1/PPP1R14B/C1QA/HLA-C/CLEC4A/MX1/IFI6/OAS3/MR1/OAS1/MX2/ZDHHC11/IFITM3/COLEC11/KLRC1	0.504921906378591	Caudate	FALSE	> 0.05
GO:0002250	adaptive immune response	245	-0.450260995104711	-1.37306250950525	0.00595087196052058	0.674998905236192	0.674998905236192	1163	tags=20%, list=8%, signal=19%	MTOR/CTSC/C1QC/TCIRG1/TAP1/HLA-DOA/HLA-F/UNC93B1/HLA-A/CD84/MYD88/PVR/SERPING1/B2M/ADCY7/TFE3/C1R/CD4/CTSS/C1S/C1RL/IL20RB/PIK3CG/CD226/TAP2/LYN/HLA-B/PRKD2/ERAP2/C4B/C1QB/MICB/ALOX15/IL4R/MYO1G/BTN3A1/RSAD2/SIGLEC10/HLA-DPB1/AGER/C1QA/BTN3A2/HLA-C/CLEC4A/TNFSF18/MR1/ITK/SPN/KLRC1	0.17069693153974	Caudate	FALSE	> 0.05
GO:0050777	negative regulation of immune response	134	-0.49291831266204	-1.39152240919242	0.012297278557561	0.923625327336811	0.92362532733681	1082	tags=19%, list=7%, signal=18%	FAM3A/HLA-F/HLA-A/CD59/TTLL12/CD84/SERPING1/SPI1/PARP14/IRAK3/LYAR/IL20RB/LYN/HLA-B/ISG15/MICB/ALOX15/IL4R/LGALS9/SAMHD1/RHBDF2/FGL2/TNFSF18/OAS3/OAS1/KLRC1	0.0345041665173083	Caudate	FALSE	> 0.05
GO:0045088	regulation of innate immune response	148	-0.480976975354096	-1.38292437765516	0.016149232340983	0.987504031210764	0.987504031210764	1564	tags=22%, list=10%, signal=20%	NR1H3/TRIM21/RASGRP1/IFI16/WNT5A/PTPN6/TRIM62/FAM3A/HLA-F/HLA-A/TTLL12/PVR/SERPING1/SPI1/IFI35/PARP14/COCH/IRAK3/BIRC3/GBP5/LYAR/PARP9/CD226/LYN/HLA-B/ISG15/LGALS9/SAMHD1/TRIM5/OAS3/OAS1/KLRC1	0.0054611228113586	Caudate	FALSE	> 0.05
GO:0002700	regulation of production of molecular mediator of immune response	104	0.546386549224053	1.39310002226369	0.0287641366816277	1	1	999	tags=16%, list=7%, signal=15%	PLCG2/CD36/IL13RA2/TLR4/LACC1/CD40/EXOSC6/ANGPT1/RBP4/NR4A3/XBP1/LILRB1/PTPN22/CLEC7A/LILRB4/BTK/SHLD3	0	Caudate	FALSE	> 0.05
GO:0002683	negative regulation of immune system process	284	-0.388186951415386	-1.19999007798737	0.0325558731939828	1	1	1192	tags=16%, list=8%, signal=15%	TSC22D3/C1QC/ZFPM1/HLA-DOA/FAM3A/HLA-F/HLA-A/CD59/TTLL12/CD84/ADGRF5/SERPING1/SPI1/LDLR/PARP14/TLR3/LAPTM5/IRAK3/LYAR/CCN3/IL20RB/LRRC17/PAWR/LYN/RUNX1/HLA-B/CXCL12/ISG15/NR1D1/MAFB/MICB/TMEM176B/ALOX15/IL4R/LGALS9/SAMHD1/RHBDF2/VSIR/CARTPT/FGL2/BTN2A2/TNFSF18/OAS3/OAS1/SPN/KLRC1	0	Caudate	FALSE	> 0.05
GO:0002440	production of molecular mediator of immune response	134	0.507229488271039	1.35588082496884	0.0393939393939394	1	1	999	tags=16%, list=7%, signal=15%	PLCG2/CD36/IL13RA2/TLR4/LACC1/CD40/EXOSC6/ANGPT1/HLA-DQB1/RBP4/NR4A3/HLA-DPA1/HLA-DMA/XBP1/LILRB1/PTPN22/CLEC7A/LILRB4/BTK/HLA-DMB/SHLD3	0	Caudate	FALSE	> 0.05
GO:0050778	positive regulation of immune response	313	-0.380342539352095	-1.19536444463391	0.0443185967109747	1	1	1063	tags=18%, list=7%, signal=17%	KLHL6/RASGRP1/IFI16/WNT5A/SASH3/CD81/PTPN6/TRIM62/C1QC/HLA-F/BTN2A1/HLA-A/NFAM1/CD59/PVR/SERPING1/B2M/SPI1/IFI35/LAPTM5/COCH/GBP5/C1R/CD4/C1S/PARP9/C1RL/CD226/PAWR/VAV3/LYN/HLA-B/PRKD2/PRKCH/PTAFR/C4B/C1QB/PLPP4/MICB/CFH/IL4R/LGALS9/MYO1G/BTN3A1/C3AR1/RSAD2/HLA-DPB1/TRIM5/CD38/PRAM1/C1QA/BTN3A2/BTN2A2/MR1/ITK/COLEC11	0	Caudate	FALSE	> 0.05
GO:0002699	positive regulation of immune effector process	140	0.495943571782488	1.33561572117162	0.046969696969697	1	1	1229	tags=16%, list=8%, signal=15%	NOS2/PLCG2/CD36/IL13RA2/TLR4/LACC1/CD40/NFKBID/EXOSC6/HLX/RBP4/NR4A3/XBP1/LILRB1/PTPN22/CLEC7A/IL12RB1/VAV1/BTK/HLA-DMB/SHLD3/STXBP2/MYB	0	Caudate	FALSE	> 0.05
GO:0002702	positive regulation of production of molecular mediator of immune response	76	0.567905292508756	1.39132657836457	0.052013422818792	1	1	706	tags=16%, list=5%, signal=15%	PLCG2/CD36/TLR4/LACC1/CD40/EXOSC6/RBP4/NR4A3/XBP1/LILRB1/PTPN22/CLEC7A	0	Caudate	FALSE	> 0.05
