Tissue	OR	P-value	FDR	Direction
Caudate	1.5194456354048715	8.338770821758726e-13	3.3355083287034904e-12	All
Dentate Gyrus	1.352313011288248	5.163110401071085e-06	5.163110401071085e-06	All
DLPFC	1.4870180836121296	4.2669587955110297e-10	5.689278394014706e-10	All
Hippocampus	1.4999187121766355	3.092341739875518e-10	5.689278394014706e-10	All
Caudate	1.7989225343465627	1.7936248230648099e-12	7.1744992922592396e-12	Decreased in AA
Dentate Gyrus	1.3112806418317053	0.002074561572287627	0.002074561572287627	Decreased in AA
DLPFC	1.7774674274291953	2.732325264053863e-10	5.464650528107726e-10	Decreased in AA
Hippocampus	1.5949485254956155	1.339961515128937e-07	1.7866153535052491e-07	Decreased in AA
Caudate	1.2699485762347684	0.0028644305004122883	0.0038192406672163844	Increased in AA
Dentate Gyrus	1.3830275334124753	0.0009393174565975251	0.0018786349131950503	Increased in AA
DLPFC	1.2380014314230487	0.015469422748962531	0.015469422748962531	Increased in AA
Hippocampus	1.37526505879486	0.000582816310346473	0.0018786349131950503	Increased in AA
