GO:0005886 CC 8.06e-13 134/346  3508/16076 D03 plasma membrane                          147.0, 286.0, 398.0, 408.0, 747.0, 782.0, 955.0, 1020.0, 1132.0, 1141.0, 1742.0, 2039.0, 2051.0, 2563.0, 3675.0, 3746.0, 3757.0, 3761.0, 3768.0, 3780.0, 3785.0, 4137.0, 4185.0, 4326.0, 4985.0, 5127.0, 5138.0, 5361.0, 5413.0, 5575.0, 5590.0, 5799.0, 6508.0, 6534.0, 6712.0, 6753.0, 7036.0, 7087.0, 7301.0, 7433.0, 7781.0, 8313.0, 8396.0, 8514.0, 8525.0, 8913.0, 9145.0, 9148.0, 9265.0, 9478.0, 10126.0, 10458.0, 10501.0, 10636.0, 10653.0, 10893.0, 10900.0, 11178.0, 11255.0, 11343.0, 11346.0, 22853.0, 23221.0, 23413.0, 23416.0, 23551.0, 25837.0, 26012.0, 26051.0, 26262.0, 27111.0, 27132.0, 27239.0, 29993.0, 30815.0, 30818.0, 30819.0, 50512.0, 50632.0, 50855.0, 51195.0, 51305.0, 51308.0, 53822.0, 54509.0, 55361.0, 55512.0, 56341.0, 56660.0, 57338.0, 57449.0, 57465.0, 57476.0, 57497.0, 57582.0, 58512.0, 64101.0, 64137.0, 64838.0, 79948.0, 80023.0, 80331.0, 83873.0, 84435.0, 84502.0, 84687.0, 84867.0, 90249.0, 91608.0, 91683.0, 94103.0, 112476.0, 114804.0, 115557.0, 116841.0, 123591.0, 128434.0, 136227.0, 146206.0, 146760.0, 151835.0, 160622.0, 192683.0, 205147.0, 221002.0, 252995.0, 285613.0, 326624.0, 349667.0, 375323.0, 376267.0, 387509.0, 401647.0, 503542.0 
GO:0014069 CC 1.18e-10  25/346   245/16076 D04 postsynaptic density                     1020.0, 1742.0, 2039.0, 5590.0, 7732.0, 8536.0, 9148.0, 9478.0, 9762.0, 10636.0, 11178.0, 11346.0, 23413.0, 23542.0, 23623.0, 26012.0, 56924.0, 58512.0, 84435.0, 84687.0, 160622.0, 254263.0, 388135.0, 400745.0, 440073.0 
GO:0043005 CC 4.88e-08  24/346   305/16076 D04 neuron projection                        286.0, 1020.0, 1141.0, 1742.0, 2051.0, 2563.0, 3780.0, 3984.0, 4137.0, 4985.0, 5127.0, 6753.0, 7732.0, 7781.0, 8448.0, 8913.0, 9751.0, 26012.0, 50861.0, 55361.0, 80023.0, 85300.0, 114757.0, 349667.0 
GO:0098978 CC 1.04e-06  25/346   386/16076 D04 glutamatergic synapse                    1020.0, 1742.0, 3675.0, 3706.0, 5575.0, 5590.0, 6712.0, 7087.0, 7781.0, 8448.0, 8497.0, 8536.0, 8541.0, 9256.0, 10458.0, 10636.0, 11178.0, 50632.0, 58512.0, 64101.0, 84435.0, 112476.0, 127262.0, 160622.0, 254263.0 
GO:0045202 CC 5.87e-06  24/346   398/16076 D03 synapse                                  782.0, 784.0, 1132.0, 1141.0, 1621.0, 1742.0, 2563.0, 3780.0, 3785.0, 5799.0, 6534.0, 8448.0, 8497.0, 8514.0, 8913.0, 9762.0, 11255.0, 23551.0, 26012.0, 29993.0, 30819.0, 85300.0, 94032.0, 254263.0 
GO:0045211 CC 4.33e-05  13/346   160/16076 D05 postsynaptic membrane                    747.0, 1132.0, 1742.0, 2563.0, 3675.0, 3746.0, 3761.0, 23109.0, 84966.0, 160622.0, 254263.0, 375323.0, 440073.0 
GO:0043204 CC 5.80e-05  12/346   142/16076 D02 perikaryon                               1020.0, 7732.0, 9148.0, 11346.0, 23109.0, 26012.0, 55361.0, 57463.0, 58157.0, 123591.0, 146760.0, 349667.0 
GO:0031594 CC 5.86e-05   8/346    63/16076 D04 neuromuscular junction                   1020.0, 1742.0, 3675.0, 9143.0, 9145.0, 57465.0, 58512.0, 80331.0 
GO:0008076 CC 7.36e-05   8/346    65/16076 D07 voltage-gated potassium channel complex  3746.0, 3757.0, 3761.0, 3780.0, 3785.0, 8514.0, 30818.0, 30819.0 
GO:0043197 CC 8.67e-05  12/346   148/16076 D06 dendritic spine                          1742.0, 3706.0, 4137.0, 5662.0, 9148.0, 9762.0, 10636.0, 11178.0, 11346.0, 64101.0, 112476.0, 254263.0 
GO:0030672 CC 8.83e-05  10/346   105/16076 D08 synaptic vesicle membrane                4985.0, 5799.0, 7781.0, 9143.0, 9145.0, 25837.0, 80331.0, 91683.0, 112476.0, 192683.0 
