GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Bias	geneRatio
GO:0032755	BP	e	positive regulation of interleukin-6 production	24/2260	93/29107	4.817222719547125e-07	8	24	0.004697218806767216	199.0, 948.0, 1535.0, 2150.0, 3146.0, 3570.0, 3603.0, 4843.0, 5336.0, 6850.0, 7099.0, 7292.0, 7305.0, 7494.0, 11027.0, 23765.0, 51284.0, 64127.0, 64170.0, 64581.0, 90865.0, 113277.0, 338382.0, 388325.0	2.328159208954861	hippocampus	All	0.021238938053097345
GO:0043123	BP	e	positive regulation of I-kappaB kinase/NF-kappaB signaling	37/2260	186/29107	1.132109501775125e-06	8	37	0.004697218806767216	834.0, 841.0, 843.0, 948.0, 958.0, 1499.0, 1653.0, 2150.0, 3551.0, 3654.0, 4057.0, 5494.0, 6284.0, 7099.0, 7706.0, 8517.0, 9020.0, 9218.0, 9516.0, 10342.0, 11043.0, 11214.0, 24138.0, 51026.0, 55223.0, 56674.0, 57153.0, 64127.0, 64170.0, 64581.0, 84433.0, 92140.0, 92610.0, 113277.0, 170506.0, 347734.0, 497661.0	2.328159208954861	hippocampus	All	0.03274336283185841
GO:0060271	BP	e	cilium assembly	44/2260	204/29107	1.133772340518276e-06	7	44	0.004697218806767216	378.0, 4117.0, 4735.0, 4750.0, 4952.0, 6102.0, 8195.0, 8555.0, 8556.0, 10257.0, 22832.0, 25937.0, 30844.0, 51259.0, 51473.0, 55742.0, 55764.0, 55779.0, 57560.0, 64518.0, 65062.0, 79600.0, 79867.0, 79969.0, 80184.0, 80199.0, 80217.0, 83547.0, 92482.0, 95681.0, 112752.0, 118491.0, 123872.0, 125488.0, 129880.0, 138639.0, 144535.0, 146845.0, 196383.0, 197335.0, 199221.0, 255758.0, 282809.0, 647309.0	2.328159208954861	hippocampus	All	0.03893805309734513
GO:0005765	CC	e	lysosomal membrane	66/2260	331/29107	1.258380076586408e-06	7	66	0.0006982341145329845	164.0, 533.0, 950.0, 1182.0, 1291.0, 1441.0, 1534.0, 2475.0, 2770.0, 2773.0, 2896.0, 3108.0, 3109.0, 3113.0, 3127.0, 3920.0, 4864.0, 4948.0, 5826.0, 5878.0, 7107.0, 7226.0, 7311.0, 7436.0, 8029.0, 8140.0, 8546.0, 8673.0, 9516.0, 10058.0, 10159.0, 10410.0, 10855.0, 11133.0, 23208.0, 23339.0, 23385.0, 29919.0, 51257.0, 51296.0, 51552.0, 54664.0, 55255.0, 55315.0, 55340.0, 55353.0, 55529.0, 55652.0, 56674.0, 57153.0, 57406.0, 64114.0, 65082.0, 79901.0, 80342.0, 81618.0, 83547.0, 96459.0, 126321.0, 130340.0, 138050.0, 153129.0, 155066.0, 201163.0, 206358.0, 256471.0	3.1559989361126655	hippocampus	All	0.0584070796460177
GO:0005930	CC	e	axoneme	26/2260	113/29107	1.476947737395103e-06	2	26	0.0006982341145329845	1769.0, 4117.0, 4735.0, 10801.0, 23322.0, 30849.0, 51473.0, 54777.0, 55130.0, 55259.0, 79819.0, 80217.0, 93233.0, 115948.0, 118491.0, 123872.0, 124602.0, 129880.0, 144406.0, 144535.0, 146754.0, 146845.0, 158067.0, 158798.0, 199221.0, 255758.0	3.1559989361126655	hippocampus	All	0.023008849557522124
GO:0004984	MF	p	olfactory receptor activity	1/2260	399/29107	1.769244248743558e-06	4	1	0.00517260647746344	138799.0	2.2862905606721133	hippocampus	All	0.0008849557522123894
GO:0035195	BP	p	gene silencing by miRNA	7/2260	557/29107	1.855246005631161e-06	10	7	0.004871576757362827	9337.0, 29883.0, 283131.0, 406929.0, 406987.0, 407021.0, 768222.0	2.31233045024513	hippocampus	All	0.006194690265486726
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	1/2260	401/29107	1.959762151968311e-06	5	1	0.004871576757362827	138799.0	2.31233045024513	hippocampus	All	0.0008849557522123894
GO:0005743	CC	e	mitochondrial inner membrane	64/2260	404/29107	2.157073161612916e-06	5	64	0.0006982341145329845	212.0, 291.0, 515.0, 516.0, 1349.0, 1373.0, 1543.0, 2021.0, 2232.0, 2235.0, 4512.0, 4513.0, 4535.0, 4536.0, 4537.0, 4539.0, 4711.0, 4726.0, 5625.0, 6150.0, 6389.0, 6392.0, 7818.0, 8604.0, 9551.0, 9801.0, 10229.0, 10367.0, 10730.0, 10845.0, 23464.0, 26515.0, 26517.0, 26589.0, 28957.0, 51079.0, 51081.0, 51522.0, 51650.0, 54998.0, 55210.0, 55863.0, 64963.0, 64965.0, 64978.0, 81853.0, 84275.0, 84303.0, 84311.0, 84545.0, 92259.0, 114971.0, 115209.0, 115286.0, 132001.0, 137682.0, 150209.0, 153328.0, 200895.0, 253512.0, 284723.0, 401612.0, 548596.0, 100137049.0	3.1559989361126655	hippocampus	All	0.05663716814159292
GO:0030148	BP	e	sphingolipid biosynthetic process	15/2260	49/29107	2.675040749832832e-06	7	15	0.005358019158062538	221.0, 1455.0, 2531.0, 8560.0, 9200.0, 10558.0, 55304.0, 60481.0, 64834.0, 81537.0, 123099.0, 124976.0, 171546.0, 204219.0, 340485.0	2.27099573786742	hippocampus	All	0.01327433628318584
GO:0005765	CC	e	lysosomal membrane	40/1163	331/29107	5.470662670324536e-07	7	40	0.0007705065066893815	164.0, 533.0, 950.0, 1182.0, 1291.0, 2475.0, 2770.0, 3920.0, 4864.0, 5878.0, 7107.0, 7436.0, 8546.0, 9516.0, 10159.0, 10410.0, 23208.0, 23339.0, 23385.0, 29919.0, 51257.0, 51552.0, 54664.0, 55353.0, 55529.0, 55652.0, 56674.0, 57153.0, 57406.0, 64114.0, 65082.0, 79901.0, 81618.0, 96459.0, 130340.0, 138050.0, 153129.0, 155066.0, 206358.0, 256471.0	3.113223689447363	hippocampus	AA	0.06878761822871883
GO:0004984	MF	p	olfactory receptor activity	0/1163	399/29107	8.847677626445687e-07	4	0	0.003910673510888993		2.4077484403347613	hippocampus	AA	0.0
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	0/1163	401/29107	9.84158067559397e-07	5	0	0.005445977563345534		2.263924152223983	hippocampus	AA	0.0
GO:0015031	BP	e	protein transport	36/1163	357/29107	1.552943048276118e-06	5	36	0.005445977563345534	689.0, 857.0, 2665.0, 2824.0, 6844.0, 6890.0, 6891.0, 9284.0, 9367.0, 9798.0, 9897.0, 9961.0, 10015.0, 10628.0, 11345.0, 23355.0, 25972.0, 25978.0, 51026.0, 51510.0, 53916.0, 55770.0, 57020.0, 57511.0, 57706.0, 80144.0, 80184.0, 80199.0, 83452.0, 84938.0, 91461.0, 92482.0, 93343.0, 95681.0, 113402.0, 149371.0	2.263924152223983	hippocampus	AA	0.061908856405846945
