GO:0045956 BP 2.51e-07    4/66    14/16076 D10 positive regulation of calcium ion-dependent exocytosis 6804.0, 8911.0, 8941.0, 9066.0 
GO:0071277 BP 9.68e-07    6/66    81/16076 D06 cellular response to calcium ion         107.0, 3208.0, 4761.0, 6861.0, 9066.0, 57699.0 
GO:0007420 BP 3.84e-06    8/66   226/16076 D04 brain development                        107.0, 491.0, 2902.0, 3208.0, 8851.0, 8941.0, 22983.0, 388662.0 
GO:0048791 BP 5.46e-06    3/66     9/16076 D09 calcium ion-regulated exocytosis of neurotransmitter 6861.0, 9066.0, 112755.0 
GO:0007399 BP 8.87e-06    9/66   336/16076 D04 nervous system development               816.0, 1128.0, 2675.0, 4761.0, 4900.0, 10814.0, 25791.0, 51412.0, 146713.0 
GO:0016081 BP 1.07e-05    3/66    11/16076 D06 synaptic vesicle docking                 6804.0, 23025.0, 112755.0 
GO:0021722 BP 1.66e-05    2/66     2/16076 D04 superior olivary nucleus maturation      8851.0, 8941.0 
GO:0048488 BP 1.72e-05    4/66    38/16076 D07 synaptic vesicle endocytosis             1759.0, 6620.0, 6804.0, 6861.0 
GO:0007268 BP 1.80e-05    7/66   201/16076 D07 chemical synaptic transmission           774.0, 1128.0, 2902.0, 4884.0, 6620.0, 6861.0, 57468.0 
GO:1903779 BP 3.56e-05    3/66    16/16076 D07 regulation of cardiac conduction         491.0, 492.0, 6543.0 
GO:0098978 CC 1.78e-13   17/66   386/16076 D04 glutamatergic synapse                    107.0, 491.0, 492.0, 1128.0, 1759.0, 3208.0, 4884.0, 4900.0, 6710.0, 6804.0, 8506.0, 9746.0, 9912.0, 10814.0, 23467.0, 79012.0, 388662.0 
GO:0043005 CC 2.66e-10   13/66   305/16076 D04 neuron projection                        815.0, 816.0, 2902.0, 4884.0, 6376.0, 6804.0, 8851.0, 8911.0, 8941.0, 22983.0, 23025.0, 57468.0, 57699.0 
GO:0043025 CC 5.84e-08   11/66   316/16076 D03 neuronal cell body                       774.0, 4900.0, 5798.0, 6376.0, 6543.0, 6620.0, 6861.0, 8851.0, 22983.0, 23154.0, 57468.0 
GO:0005886 CC 1.10e-07   34/66  3508/16076 D03 plasma membrane                          107.0, 491.0, 492.0, 774.0, 808.0, 1128.0, 1759.0, 2675.0, 2785.0, 2902.0, 4884.0, 5798.0, 6376.0, 6543.0, 6710.0, 6804.0, 6861.0, 7070.0, 8506.0, 8851.0, 8911.0, 8941.0, 9066.0, 22983.0, 23025.0, 23108.0, 57468.0, 57699.0, 79012.0, 84894.0, 112755.0, 114787.0, 148252.0, 222865.0 
GO:0043204 CC 1.13e-07    8/66   142/16076 D02 perikaryon                               3208.0, 5798.0, 6543.0, 8851.0, 10814.0, 23154.0, 57468.0, 57699.0 
GO:0030672 CC 2.35e-07    7/66   105/16076 D08 synaptic vesicle membrane                808.0, 6804.0, 6861.0, 9066.0, 23025.0, 55530.0, 388662.0 
GO:0030425 CC 4.47e-07   11/66   387/16076 D05 dendrite                                 1128.0, 2785.0, 2902.0, 6543.0, 7070.0, 8851.0, 9746.0, 9912.0, 10814.0, 22983.0, 23154.0 
GO:0008021 CC 6.80e-06    6/66   113/16076 D09 synaptic vesicle                         2902.0, 6804.0, 9066.0, 55530.0, 112755.0, 388662.0 
GO:0098794 CC 8.31e-06    6/66   117/16076 D02 postsynapse                              6543.0, 6710.0, 10814.0, 23154.0, 56853.0, 388662.0 
GO:0030426 CC 1.22e-05    6/66   125/16076 D03 growth cone                              808.0, 7070.0, 8851.0, 8941.0, 25791.0, 114787.0 
GO:0030424 CC 3.15e-05    8/66   302/16076 D05 axon                                     3208.0, 4900.0, 6543.0, 6804.0, 6861.0, 8851.0, 22983.0, 112755.0 
GO:0098839 CC 3.36e-05    5/66    90/16076 D06 postsynaptic density membrane            107.0, 491.0, 1128.0, 6804.0, 9746.0 
