Tissue	Feature	Direction	trait	type	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Enrichment_FDR
Caudate	Gene		Height	4	0.0219123495951039	0.0320076396401738	0.00454043497320592	1.46071234858929	0.207208950984445	0.0268102048155003	1.29471513067569e-08	1.99155047500344e-08	0.650104100762727	0.6832023150963652
Caudate	Gene	up	mdd2019edinburgh	1	0.0106496068969138	0.00523905158554794	0.00285347020137907	0.491947884674144	0.267941364315145	0.0598629069938984	-6.07632986867334e-09	3.03681632104521e-09	-2.0008881757399	0.6832023150963652
Caudate	Gene	up	Height	4	0.0106496068969138	0.0177219384158911	0.00375662246097232	1.66409319963037	0.352747523672537	0.0603446515090115	3.95664729966759e-08	3.22099237005989e-08	1.22839387526832	0.6832023150963652
Caudate	Gene		Cigarettes Per Day	1	0.0219123495951039	0.0385089113943727	0.00860084449899353	1.75740676403671	0.392511285093557	0.0631284840711829	7.24101603914461e-09	4.70708113212868e-09	1.53832403476546	0.6832023150963652
Caudate	Gene		Education Years	1	0.0219123495951039	0.0167093840254665	0.00293427522673	0.762555560413297	0.133909657382686	0.0783392151818376	-6.59450617488641e-09	3.15905951900085e-09	-2.08749032274394	0.6832023150963652
Caudate	Gene	down	Education Years	1	0.0113585294403319	0.00773426920066181	0.00210792027767936	0.680921702170255	0.185580385978006	0.0866269735061886	-8.02851675704555e-09	4.27043678638683e-09	-1.88002238614996	0.6832023150963652
Caudate	Gene	down	Red blood cell count	2	0.0113585294403319	0.0243896255045795	0.00809992946943168	2.14725203933324	0.713114273461348	0.108847848356882	2.31351938205394e-08	2.44011914320938e-08	0.948117385371223	0.6832023150963652
Caudate	Gene	down	Platelet count	2	0.0113585294403319	0.0250785598342259	0.00890976577744293	2.20790551857679	0.78441191038393	0.123667835969871	3.22819200113219e-08	3.32701489129284e-08	0.970296829623673	0.6832023150963652
Caudate	Gene		Neutrophil count	2	0.0219123495951039	0.0322572650294122	0.00697450830087195	1.47210434414663	0.318291211565478	0.138215595789695	4.12839236938526e-09	9.68112839310135e-09	0.426437105443937	0.6832023150963652
Caudate	Gene		Granulocyte count	2	0.0219123495951039	0.0325997616385852	0.00739101093617772	1.48773464466217	0.337298878155411	0.147775004232001	4.19239527347632e-09	1.03444515197728e-08	0.405279609601608	0.6832023150963652
