Region	Direction	OR	PValue	FDR
Caudate	Up	6.985294117647059	0.08857724431330441	0.08857724431330441
Caudate	Down	8.611829944547136	0.021813778578329085	0.03272066786749363
Caudate	All	7.786563346373758	0.002801340245430942	0.008404020736292827
Dentate Gyrus	Up	3.5478825794032725	0.05777936749542756	0.08666905124314134
Dentate Gyrus	Down	2.904784920251329	0.27222744625160117	0.27222744625160117
Dentate Gyrus	All	3.350052246603971	0.049439542544641155	0.08666905124314134
DLPFC	Up	6.250471994965387	0.01743505682644691	0.026152585239670362
DLPFC	Down	3.3452702702702704	0.5603000856711526	0.5603000856711526
DLPFC	All	5.385576192027805	0.0072451395468817814	0.021735418640645345
Hippocampus	Up	3.800500834724541	0.14986247003265019	0.22479370504897528
Hippocampus	Down	1.985747869526888	0.6575647905585518	0.6575647905585518
Hippocampus	All	2.912748320708875	0.0905519978558557	0.22479370504897528
