""	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	logFC	AveExpr	t	P.Value	adj.P.Val	B	SE
ENSG00000226278.1	261	ENSG00000226278.1	ENSG00000226278	unprocessed_pseudogene	PSPHP1		InGen	1.44692251564881	1	ENST00000450062.1	-6.43822812475862	-1.59233221930439	-11.3909626159782	1.79929834807582e-18	3.80371670783228e-14	25.8345546329774	0.14371781920515
ENSG00000230076.1	318	ENSG00000230076.1	ENSG00000230076	processed_pseudogene	""		InGen	0.598931908101695	1	ENST00000457497.1	-5.25417965972905	-2.06626789934976	-10.3352117258937	1.96437303642386e-16	2.07634229950002e-12	21.8001537374988	0.245841338304338
ENSG00000233913.7	645	ENSG00000233913.7	ENSG00000233913	processed_pseudogene	""		InGen	1.67262537955827	1	ENST00000522551.1	-3.1111243104263	1.53403301215789	-9.6321193096788	4.67329979398532e-15	2.79109891143948e-11	23.1001816836976	0.139966120229068
ENSG00000171503.11	4493	ENSG00000171503.11	ENSG00000171503	protein_coding	ETFDH	2110	InGen	1.56395543607203	8	ENST00000512251.5|ENST00000511912.5|ENST00000507475.5|ENST00000510353.5|ENST00000436096.2|ENST00000307738.5|ENST00000506422.1|ENST00000514148.1	0.574711629885963	4.55945184634244	9.6051032214678	5.28117107178709e-15	2.79109891143948e-11	23.7747292930816	0.204541247968612
ENSG00000259583.2	6792	ENSG00000259583.2	ENSG00000259583	antisense	""	101927751	InGen	0.322823623801181	3	ENST00000560351.2|ENST00000560068.1|ENST00000560461.1	-1.5632083795556	2.79118901462238	-9.50681487977329	8.24226823368205e-15	3.48483100920077e-11	23.115820318199	0.149134883370179
ENSG00000154237.12	17600	ENSG00000154237.12	ENSG00000154237	protein_coding	LRRK1	79705	InGen	0.276253257686495	11	ENST00000388948.7|ENST00000534045.5|ENST00000527698.1|ENST00000532029.6|ENST00000525284.5|ENST00000531270.5|ENST00000525617.2|ENST00000538064.1|ENST00000526457.3|ENST00000525395.2|ENST00000532145.1	-1.41173709364867	4.04700066346172	-9.18354108603916	3.57159553154916e-14	1.25839215894915e-10	21.8937014621898	0.270177851823958
ENSG00000215256.3	3593	ENSG00000215256.3	ENSG00000215256	antisense	DHRS4-AS1	55449	InGen	0.802085477601227	6	ENST00000556379.1|ENST00000555045.1|ENST00000553454.1|ENST00000399886.2|ENST00000558423.1|ENST00000554036.1	0.824618759589905	3.21499764886849	8.32367380991992	1.77590927524526e-12	5.3632460112407e-09	18.0664949247939	0.193784027232037
ENSG00000147403.16	4825	ENSG00000147403.16	ENSG00000147403	protein_coding	RPL10	6134	InGen	3.58781021024377	18	ENST00000492572.5|ENST00000369817.6|ENST00000479366.1|ENST00000424325.6|ENST00000618723.4|ENST00000436473.5|ENST00000344746.8|ENST00000489200.5|ENST00000491035.5|ENST00000458500.5|ENST00000485196.5|ENST00000482732.1|ENST00000467168.5|ENST00000406022.6|ENST00000451365.1|ENST00000449494.5|ENST00000427682.5|ENST00000428169.1	0.479873431016914	5.92979449184869	7.69485623933369	3.05805039823346e-11	8.08089817733193e-08	15.2209440750163	0.159351678066426
ENSG00000272808.3	5068	ENSG00000272808.3	ENSG00000272808	processed_transcript	""		InGen	0.0269416150265211	1	ENST00000431060.4	-3.03709037677642	-1.66338817893654	-7.44758506100589	9.30139358113261e-11	2.18479400339048e-07	11.7783462046257	0.509896351412693
ENSG00000280071.3	3106	ENSG00000280071.3	ENSG00000280071	protein_coding	""	102724023	InGen	0.172743425770147	11	ENST00000624810.3|ENST00000625036.3|ENST00000620015.4|ENST00000620528.4|ENST00000624120.3|ENST00000624748.2|ENST00000624648.3|ENST00000623810.2|ENST00000624714.3|ENST00000623390.1|ENST00000622915.1	1.70138147938693	0.519921361289506	7.41622274078139	1.0706773087141e-10	2.26341183062161e-07	13.2935438065144	0.183966992190857
ENSG00000278456.1	635	ENSG00000278456.1	ENSG00000278456	antisense	""		InGen	0.33499613186389	1	ENST00000615211.1	-1.66304302367064	-0.542531146579497	-7.38132107664367	1.25203988494473e-10	2.40619301524833e-07	12.3629745121092	0.107151108518068
ENSG00000259479.6	2925	ENSG00000259479.6	ENSG00000259479	transcribed_unprocessed_pseudogene	SORD2P		InGen	0.0816705655146192	4	ENST00000561384.3|ENST00000562107.1|ENST00000564140.5|ENST00000558556.5	-2.07535300203846	-0.494921776332495	-7.14817832317356	3.54965476657924e-10	6.2533084804571e-07	11.6305465184938	0.0852822541566982
ENSG00000241945.7	6922	ENSG00000241945.7	ENSG00000241945	protein_coding	PWP2	5822	InGen	0.151337582940623	6	ENST00000291576.11|ENST00000456705.1|ENST00000486126.1|ENST00000471490.1|ENST00000494310.5|ENST00000476948.1	-2.88089691470205	1.53765312944663	-6.99926358664528	6.88376503390947e-10	1.11940609859113e-06	12.13029166057	0.0969329775233936
ENSG00000106123.11	5325	ENSG00000106123.11	ENSG00000106123	protein_coding	EPHB6	2051	InGen	2.4515700438246	11	ENST00000619012.4|ENST00000497095.5|ENST00000616380.4|ENST00000614832.4|ENST00000611578.4|ENST00000411471.6|ENST00000422643.5|ENST00000486511.5|ENST00000471581.5|ENST00000617632.1|ENST00000476059.2	1.2090171701949	5.3656418706711	6.85171516899828	1.32304650953127e-09	1.99780022939222e-06	11.5658758204956	0.0586628668869212
ENSG00000180921.6	5654	ENSG00000180921.6	ENSG00000180921	protein_coding	FAM83H	286077	InGen	0.0974389213233853	2	ENST00000388913.3|ENST00000395103.2	-1.62456672873837	0.672123753795581	-6.66590578990405	2.99863443743033e-09	4.22607546715182e-06	10.4635819097063	0.110031872928778
ENSG00000131771.13	4554	ENSG00000131771.13	ENSG00000131771	protein_coding	PPP1R1B	84152	InGen	1.60607687138592	10	ENST00000580825.5|ENST00000254079.8|ENST00000582680.5|ENST00000579000.5|ENST00000394265.5|ENST00000394267.2|ENST00000580772.1|ENST00000583446.5|ENST00000492037.5|ENST00000580029.1	-0.505305620497849	4.69439957646086	-6.54730627450316	5.04041011744355e-09	6.6596418676723e-06	10.3089930451157	0.0379784064338089
