GO:0006974 BP 2.04e-07  15/189   246/16170 D04 cellular response to DNA damage stimulus 5591.0, 7520.0, 9031.0, 11335.0, 23064.0, 23411.0, 23517.0, 25836.0, 51426.0, 55031.0, 57223.0, 57551.0, 200933.0, 257218.0, 259282.0 
GO:0045945 BP 1.57e-06   5/189    18/16170 D11 positive regulation of transcription by RNA polymerase III 8467.0, 9031.0, 23379.0, 23451.0, 57680.0 
GO:0006338 BP 3.41e-06  11/189   163/16170 D05 chromatin remodeling                     2186.0, 3183.0, 5928.0, 6599.0, 8467.0, 9031.0, 11335.0, 23451.0, 55193.0, 57680.0, 196528.0 
GO:0000398 BP 9.80e-06  11/189   182/16170 D11 mRNA splicing, via spliceosome           988.0, 3183.0, 10236.0, 10492.0, 23020.0, 23451.0, 23517.0, 27336.0, 51340.0, 55660.0, 143884.0 
GO:0006893 BP 1.11e-05   5/189    26/16170 D07 Golgi to plasma membrane transport       9135.0, 10640.0, 23233.0, 55770.0, 57120.0 
GO:1990414 BP 1.54e-05   3/189     5/16170 D10 replication-born double-strand break repair via sister chromatid exchange 2187.0, 5885.0, 25836.0 
GO:0008380 BP 2.20e-05  10/189   163/16170 D08 RNA splicing                             3183.0, 6651.0, 6733.0, 9169.0, 9584.0, 10492.0, 23451.0, 25962.0, 27332.0, 151987.0 
GO:0006337 BP 2.95e-05   4/189    16/16170 D07 nucleosome disassembly                   6418.0, 6599.0, 11198.0, 196528.0 
GO:0005654 CC 5.48e-17  93/189  3508/16170 D02 nucleoplasm                              667.0, 988.0, 1385.0, 1660.0, 1998.0, 2186.0, 2187.0, 2803.0, 3183.0, 3837.0, 3841.0, 4194.0, 4646.0, 5108.0, 5431.0, 5591.0, 5781.0, 5885.0, 5928.0, 6418.0, 6599.0, 6733.0, 6917.0, 7155.0, 7175.0, 7520.0, 7994.0, 8467.0, 8725.0, 9031.0, 9126.0, 9169.0, 9321.0, 9584.0, 9972.0, 9994.0, 10054.0, 10236.0, 10492.0, 10771.0, 10845.0, 11124.0, 11198.0, 11335.0, 23001.0, 23020.0, 23063.0, 23064.0, 23160.0, 23269.0, 23272.0, 23379.0, 23411.0, 23451.0, 23515.0, 23517.0, 25836.0, 25926.0, 25962.0, 26009.0, 26054.0, 27332.0, 27336.0, 27340.0, 29072.0, 29110.0, 29966.0, 49855.0, 51340.0, 51426.0, 51542.0, 51575.0, 51727.0, 51742.0, 54454.0, 54906.0, 55031.0, 55193.0, 55291.0, 55660.0, 55904.0, 57223.0, 57680.0, 58508.0, 79577.0, 79811.0, 80856.0, 114799.0, 137492.0, 151987.0, 196528.0, 257218.0, 259282.0 
GO:0000785 CC 3.10e-06  24/189   713/16170 D02 chromatin                                1385.0, 1998.0, 2186.0, 2187.0, 3183.0, 5885.0, 5928.0, 6418.0, 6599.0, 6733.0, 9126.0, 11335.0, 23063.0, 23160.0, 23269.0, 23411.0, 25836.0, 55193.0, 55904.0, 57223.0, 57680.0, 114799.0, 151987.0, 196528.0 
GO:0005634 CC 4.99e-06  84/189  4665/16170 D05 nucleus                                  102.0, 667.0, 988.0, 1385.0, 1660.0, 1739.0, 1998.0, 2186.0, 3183.0, 3837.0, 3841.0, 4194.0, 4646.0, 5431.0, 5591.0, 5781.0, 5885.0, 5928.0, 6418.0, 6599.0, 6733.0, 6885.0, 6917.0, 7110.0, 7155.0, 7175.0, 7520.0, 7994.0, 8087.0, 8239.0, 8467.0, 8725.0, 9031.0, 9126.0, 9147.0, 9857.0, 9994.0, 10236.0, 10492.0, 10771.0, 11124.0, 11198.0, 11335.0, 23020.0, 23036.0, 23063.0, 23064.0, 23411.0, 23451.0, 23469.0, 23515.0, 23517.0, 25836.0, 25962.0, 26054.0, 26060.0, 27130.0, 27332.0, 27336.0, 29072.0, 51340.0, 51426.0, 51727.0, 51742.0, 54454.0, 54823.0, 55023.0, 55031.0, 55279.0, 55291.0, 55904.0, 57448.0, 57680.0, 58508.0, 65056.0, 79577.0, 79811.0, 80184.0, 114799.0, 151987.0, 153443.0, 168850.0, 196441.0, 253959.0 
GO:0032991 CC 6.56e-06  20/189   547/16170 D01 protein-containing complex               889.0, 1660.0, 3183.0, 5108.0, 5591.0, 5781.0, 5928.0, 6418.0, 6599.0, 7520.0, 9135.0, 9584.0, 9793.0, 26058.0, 29966.0, 55757.0, 55904.0, 57120.0, 57680.0, 80184.0 
