"","id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"1","GO:0002399","MHC class II protein complex assembly",0.000288853756386514,11,77.0881665389773,0,0,23777,6,14,10.5411313518696,1.00461974560373e-05,0.0103274909848063
"2","GO:0002503","peptide antigen assembly with MHC class II protein complex",0.000288853756386514,11,77.0881665389773,0,0,23777,6,14,10.5411313518696,1.00461974560373e-05,0.0103274909848063
"3","GO:0002396","MHC protein complex assembly",0.000335011177692234,11,66.4670553117755,0,0,23777,6,18,8.1986577181208,5.40020293691157e-05,0.0222056344765804
"4","GO:0002501","peptide antigen assembly with MHC protein complex",0.000335011177692234,11,66.4670553117755,0,0,23777,6,18,8.1986577181208,5.40020293691157e-05,0.0222056344765804
"5","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",0.00101677950223547,12,23.8906251771418,2.99538172043867e-13,1.23170096344438e-10,32516,7,28,6.1489932885906,0.000100014658275693,0.0293757339164036
"6","GO:0048002","antigen processing and presentation of peptide antigen",0.00264273784911471,15,11.4897406414364,1.0284995077825e-11,3.52432498000136e-09,33002,10,61,4.03212674661679,0.000160021267201604,0.0411254656708123
"7","GO:0019884","antigen processing and presentation of exogenous antigen",0.00189257073190182,13,13.904785184562,2.45514719665607e-11,7.21111805189269e-09,32902,9,47,4.70986719977153,9.83008835354626e-05,0.0293757339164036
"8","GO:0002478","antigen processing and presentation of exogenous peptide antigen",0.00154345539381249,12,15.7383867866152,3.54825058224151e-11,9.11900399636068e-09,32516,7,38,4.53083716001413,0.000748592318506214,0.0626065513488138
"9","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",0.00160407360659027,12,15.1436304892168,5.48399103905695e-11,1.25278728625568e-08,32516,7,32,5.38036912751678,0.000246754143546579,0.0503671615726638
"10","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.00211490716942822,12,11.485845963762,1.20652832169554e-09,2.48062222940604e-07,32516,7,34,5.06387682589814,0.000367464700189668,0.0503671615726638
"11","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response",0.00418890226046206,14,6.76551497492659,3.86820560027701e-08,7.2300279219723e-06,57627,9,69,3.20817041143858,0.00184645250503301,0.0775190939391265
"12","GO:0016064","immunoglobulin mediated immune response",0.00835745042814816,19,4.60206599993687,6.71873692237313e-08,1.15114359269993e-05,92471,11,136,1.98938018160284,0.0229939977416233,0.216860822737511
"13","GO:0019882","antigen processing and presentation",0.00595360424465019,16,5.44017751880556,8.09774114429729e-08,1.28068890712886e-05,33292,12,102,2.89364390051323,0.000883069060853892,0.0626065513488138
"14","GO:0019724","B cell mediated immunity",0.00853469607240586,19,4.50649186980322,9.24370560095866e-08,1.35750419396936e-05,92471,11,139,1.94644391869055,0.0264935518697385,0.225014630980753
"15","GO:0002449","lymphocyte mediated immunity",0.0191672579359559,27,2.85152266578597,1.78330940081572e-06,0.000244432275205142,112917,20,277,1.77588253822111,0.00962318326229306,0.173250943151694
"16","GO:0002377","immunoglobulin production",0.00672980434193958,15,4.5119250020996,2.03399150500161e-06,0.000261367908392707,82919,10,118,2.08440450460698,0.0220682828778236,0.21136943316596
"17","GO:0002443","leukocyte mediated immunity",0.0258832225977157,31,2.42446767207362,8.11428028912875e-06,0.000981350604379336,108424,24,372,1.5868369777008,0.0178745406919397,0.203673490790181
"18","GO:0002252","immune effector process",0.0456792022533053,45,1.99419238768154,1.19864291669991e-05,0.0013691165759639,167528,39,600,1.59873825503356,0.00273936216138648,0.0892383144760781
"19","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.0228287735822815,28,2.48283867458005,1.46139819412472e-05,0.0015813866774318,94015,21,288,1.79345637583893,0.00728736310528366,0.152885903514931
"20","GO:0006955","immune response",0.113199883958706,87,1.55577332913283,2.27601554902979e-05,0.00233974398440262,146465,81,1579,1.26173136510662,0.0171256301991439,0.203005052144777
