"","id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"2","GO:0019884","antigen processing and presentation of exogenous antigen",0.00189257073190182,6,12.1934270080006,1.23390496783449e-05,0.0144860443223769,44899,6,47,5.65032377428307,0.000629120695088137,0.0853131709044603
"3","GO:0002478","antigen processing and presentation of exogenous peptide antigen",0.00154345539381249,5,12.4595562060704,6.0187015251012e-05,0.035329777952344,46932,4,38,4.65903890160183,0.0103383953906973,0.242745523773572
"11","GO:0048002","antigen processing and presentation of peptide antigen",0.00264273784911471,5,7.27683573957641,0.00070311499105391,0.275152333165764,46932,4,61,2.90235210263721,0.048960545677821,0.350871766146169
"13","GO:0019882","antigen processing and presentation",0.00595360424465019,7,4.52214756250712,0.00105459993607082,0.309525081236786,49939,7,102,3.03751065643649,0.00840006402962135,0.234801789780368
"16","GO:0002070","epithelial cell maturation",0.00336908904881378,5,5.70800265357789,0.00203435033517763,0.41113237705093,157315,4,22,8.04743083003953,0.00136026002021461,0.0853131709044603
"19","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.0228287735822815,14,2.35869674085104,0.00292769660916681,0.41113237705093,137635,14,288,2.15157004830918,0.00609242414503885,0.197271163826515
"21","GO:0061462","protein localization to lysosome",0.00542202258970015,6,4.25614661229201,0.00320040479933503,0.41113237705093,249407,4,49,3.6131322094055,0.0244747510672942,0.299277780333223
"22","GO:0044843","cell cycle G1/S phase transition",0.0256356709282745,15,2.25046997419041,0.00325358568823209,0.41113237705093,225836,13,242,2.37765001796622,0.00354567663693284,0.173442682156631
"23","GO:0002704","negative regulation of leukocyte mediated immunity",0.00548001123784788,6,4.21110871407371,0.00336953493676839,0.41113237705093,134929,6,66,4.02371541501976,0.00371825855119867,0.17460942156429
"24","GO:0009451","RNA modification",0.00938857861707221,8,3.2773044807102,0.00350197936159224,0.41113237705093,166691,8,168,2.10766045548654,0.0373191055412314,0.329938838135728
"29","GO:0002449","lymphocyte mediated immunity",0.0191672579359559,12,2.40795247333038,0.00486065050620832,0.489777384227553,126737,12,277,1.917438392717,0.024125864676533,0.299277780333223
"31","GO:0051865","protein autoubiquitination",0.0061027308165821,6,3.78140930191765,0.0056313533932113,0.489777384227553,242501,5,77,2.87408243929983,0.0301739817653426,0.31313493407103
"33","GO:0006275","regulation of DNA replication",0.0102415654118667,8,3.00434841079853,0.00582815343164034,0.489777384227553,65725,7,132,2.34716732542819,0.0304066290324509,0.31313493407103
"34","GO:0034260","negative regulation of GTPase activity",0.00434700301985108,5,4.42391439411239,0.00593718913920649,0.489777384227553,308504,3,30,4.42608695652174,0.0296058822467508,0.31313493407103
"38","GO:0000082","G1/S transition of mitotic cell cycle",0.0224767685529286,13,2.22451905763319,0.00654932725179957,0.489777384227553,215124,11,216,2.25402576489533,0.0102776964971771,0.242745523773572
"40","GO:0016064","immunoglobulin mediated immune response",0.00835745042814816,7,3.22144619995581,0.00673540903173464,0.489777384227553,110533,6,136,1.95268542199489,0.088328453098154,0.39579238143982
"43","GO:0006809","nitric oxide biosynthetic process",0.00642042089822951,6,3.59430066076926,0.00713886454551171,0.489777384227553,218367,6,65,4.08561872909699,0.00344441759332925,0.173442682156631
"48","GO:0019724","B cell mediated immunity",0.00853469607240586,7,3.15454430886225,0.00750936364233046,0.489777384227553,110533,6,139,1.91054113231154,0.0956051077047053,0.405949222936405
"52","GO:1904894","positive regulation of receptor signaling pathway via STAT",0.00468050314115753,5,4.10869700346217,0.00801926823300769,0.495506363450054,153061,4,47,3.76688251618871,0.021335320329722,0.299277780333223
"54","GO:0006399","tRNA metabolic process",0.0109365087694591,8,2.81344178639127,0.00846996261322119,0.497186805396084,102326,8,188,1.88344125809436,0.0640378933774212,0.36861233445788
"58","GO:0045428","regulation of nitric oxide biosynthetic process",0.00485227197696389,5,3.96325047772819,0.00926816841612377,0.518134748596633,255657,5,51,4.33930093776641,0.00575187791482068,0.192934419199985
"65","GO:0098542","defense response to other organism",0.0649076563402916,27,1.59990607736196,0.0112563913806254,0.575760175793866,78379,28,1054,1.17581057668509,0.212152936381496,0.554543515533758
"69","GO:0080164","regulation of nitric oxide metabolic process",0.00519687591381498,5,3.7004480287181,0.0121655605858925,0.575760175793866,255657,5,54,4.09822866344606,0.00733016680077681,0.226463574318736
"70","GO:0046209","nitric oxide metabolic process",0.00730235539747103,6,3.16020267719579,0.0128283410242742,0.575760175793866,218367,6,71,3.74035517452541,0.00533565141198877,0.192934419199985
"71","GO:0045087","innate immune response",0.050347372417085,22,1.68063159114677,0.0128419068993399,0.575760175793866,88666,23,809,1.25834363411619,0.153363993453643,0.487938559118094
