Region	Direction	OR	PValue	FDR
Caudate	Up	1.6577303087198745	0.2102612937439672	0.2102612937439672
Caudate	Down	2.647159832406072	0.0004362268521541921	0.0006543402782312882
Caudate	All	2.3017324403608788	0.0003711929769367066	0.0006543402782312882
Dentate Gyrus	Up	2.625	0.0016825492743486527	0.005047647823045958
Dentate Gyrus	Down	1.2846438424880864	0.5979625544382973	0.5979625544382973
Dentate Gyrus	All	2.1105155416689114	0.004856969982873521	0.007285454974310282
DLPFC	Up	1.6477625166149756	0.21198839167493563	0.21198839167493563
DLPFC	Down	1.7891156462585034	0.09733884462830675	0.14600826694246014
DLPFC	All	1.724053619039428	0.03944786179101313	0.11834358537303939
Hippocampus	Up	1.6977988529685046	0.20339393700315572	0.3050909055047336
Hippocampus	Down	1.3692562263990835	0.39230085968373263	0.39230085968373263
Hippocampus	All	1.479283597149524	0.1481595140035714	0.3050909055047336
