GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	geneRatio
GO:0007015	BP	e	actin filament organization	15/683	125/29107	2.582206739818172e-07	5	15	0.002619038218233923	1495.0, 7170.0, 7171.0, 9026.0, 9844.0, 10459.0, 11078.0, 23221.0, 23603.0, 23616.0, 55909.0, 65108.0, 79585.0, 84687.0, 94134.0	2.581858164099778	Caudate	0.043923865300146414
GO:0007411	BP	e	axon guidance	17/683	166/29107	4.214398935125791e-07	4	17	0.002619038218233923	1948.0, 2044.0, 2737.0, 5747.0, 5979.0, 8851.0, 9252.0, 9355.0, 10381.0, 10678.0, 54910.0, 55740.0, 56896.0, 57715.0, 223117.0, 285220.0, 654429.0	2.581858164099778	Caudate	0.04978038067349927
GO:0010875	BP	e	positive regulation of cholesterol efflux	7/683	26/29107	1.69430603955652e-06	9	7	0.005319208195563217	348.0, 4792.0, 5468.0, 9619.0, 10062.0, 10351.0, 80820.0	2.2741530109174835	Caudate	0.020497803806734993
GO:0006468	BP	e	protein phosphorylation	29/683	459/29107	1.711870044432607e-06	7	29	0.005319208195563217	102.0, 157.0, 816.0, 1612.0, 3611.0, 4882.0, 5255.0, 5293.0, 5571.0, 5979.0, 6041.0, 6046.0, 6790.0, 6795.0, 9064.0, 9201.0, 9252.0, 9262.0, 9448.0, 10114.0, 10769.0, 28996.0, 30849.0, 55681.0, 56164.0, 56975.0, 83694.0, 83931.0, 84687.0	2.2741530109174835	Caudate	0.0849194729136164
GO:0004672	MF	e	protein kinase activity	18/683	210/29107	2.635209688964121e-06	5	18	0.00788818742986118	157.0, 1612.0, 3611.0, 4882.0, 5571.0, 6041.0, 6790.0, 6795.0, 8851.0, 9064.0, 9201.0, 9252.0, 9262.0, 10114.0, 28996.0, 30849.0, 55681.0, 84687.0	2.103022778747958	Caudate	0.0527086383601757
GO:0005886	CC	e	plasma membrane	156/683	4487/29107	3.633562096181207e-06	3	156	0.002419800869180133	102.0, 147.0, 157.0, 246.0, 274.0, 306.0, 321.0, 348.0, 367.0, 747.0, 928.0, 953.0, 966.0, 967.0, 1135.0, 1137.0, 1495.0, 1612.0, 1734.0, 1903.0, 1948.0, 2039.0, 2044.0, 2099.0, 2558.0, 2774.0, 2826.0, 2845.0, 2899.0, 3361.0, 3566.0, 3595.0, 3611.0, 3688.0, 3785.0, 3824.0, 3958.0, 4099.0, 4157.0, 4504.0, 4758.0, 4792.0, 4882.0, 4935.0, 4992.0, 5027.0, 5097.0, 5175.0, 5255.0, 5293.0, 5354.0, 5530.0, 5747.0, 5819.0, 5979.0, 6262.0, 6334.0, 6515.0, 6535.0, 6538.0, 6542.0, 6584.0, 6752.0, 7070.0, 7289.0, 7320.0, 7525.0, 8073.0, 8292.0, 8492.0, 8751.0, 8808.0, 8851.0, 9019.0, 9026.0, 9262.0, 9283.0, 9404.0, 9568.0, 9619.0, 9672.0, 9844.0, 9928.0, 10114.0, 10135.0, 10242.0, 10253.0, 10351.0, 10686.0, 10888.0, 10999.0, 11031.0, 11250.0, 22808.0, 22849.0, 22950.0, 23221.0, 23416.0, 23433.0, 23504.0, 23545.0, 25939.0, 26052.0, 26503.0, 26511.0, 29126.0, 50848.0, 51201.0, 51741.0, 53834.0, 54549.0, 54566.0, 55144.0, 55740.0, 55974.0, 56034.0, 56704.0, 56990.0, 57030.0, 57419.0, 57476.0, 57678.0, 58494.0, 64750.0, 64787.0, 65108.0, 79012.0, 79658.0, 79895.0, 80731.0, 80820.0, 83874.0, 84100.0, 84628.0, 84687.0, 85320.0, 93129.0, 112476.0, 114798.0, 116841.0, 118442.0, 127829.0, 130574.0, 130576.0, 134957.0, 136227.0, 170850.0, 201255.0, 206338.0, 222662.0, 222962.0, 223082.0, 285220.0, 286204.0, 338557.0, 376497.0	2.6162203716123464	Caudate	0.4568081991215227
GO:0005634	CC	e	nucleus	182/683	5367/29107	4.041011324265835e-06	5	182	0.002419800869180133	102.0, 147.0, 210.0, 274.0, 348.0, 367.0, 573.0, 754.0, 900.0, 1388.0, 1468.0, 1612.0, 1876.0, 2099.0, 2218.0, 2246.0, 2354.0, 2643.0, 2737.0, 3012.0, 3149.0, 3182.0, 3958.0, 3965.0, 4170.0, 4172.0, 4176.0, 4361.0, 4504.0, 4683.0, 4704.0, 4779.0, 4792.0, 4807.0, 4929.0, 5136.0, 5300.0, 5331.0, 5422.0, 5468.0, 5571.0, 5702.0, 5747.0, 5992.0, 6046.0, 6192.0, 6419.0, 6721.0, 6790.0, 6795.0, 6908.0, 7289.0, 7295.0, 7320.0, 7358.0, 7391.0, 7582.0, 7762.0, 7975.0, 8073.0, 8293.0, 8334.0, 8360.0, 8507.0, 8851.0, 8915.0, 8927.0, 9204.0, 9252.0, 9262.0, 9355.0, 9404.0, 9581.0, 9636.0, 9652.0, 9683.0, 9928.0, 9949.0, 10062.0, 10114.0, 10169.0, 10172.0, 10253.0, 10381.0, 10388.0, 10459.0, 10635.0, 10681.0, 10769.0, 10780.0, 10950.0, 11078.0, 11162.0, 22849.0, 22869.0, 22884.0, 23216.0, 23300.0, 23405.0, 23412.0, 23414.0, 23521.0, 23616.0, 23658.0, 23764.0, 25939.0, 26145.0, 26149.0, 26469.0, 26986.0, 28996.0, 29841.0, 29843.0, 51102.0, 51333.0, 51412.0, 51548.0, 51741.0, 54807.0, 55208.0, 55212.0, 55249.0, 55771.0, 55893.0, 55924.0, 56034.0, 56146.0, 56164.0, 56647.0, 56852.0, 56938.0, 56949.0, 56978.0, 57332.0, 57478.0, 57519.0, 57610.0, 57658.0, 60386.0, 64332.0, 64750.0, 64782.0, 64854.0, 79447.0, 79744.0, 79780.0, 79866.0, 80142.0, 83480.0, 83714.0, 83990.0, 84148.0, 84836.0, 84897.0, 84922.0, 85416.0, 90338.0, 90589.0, 90637.0, 90990.0, 92283.0, 113510.0, 118924.0, 123036.0, 132851.0, 134187.0, 152877.0, 158931.0, 166793.0, 169270.0, 170082.0, 170685.0, 202559.0, 222698.0, 245711.0, 340385.0, 359948.0, 378884.0, 388536.0, 441951.0, 494470.0, 728492.0	2.6162203716123464	Caudate	0.5329428989751098
GO:0005737	CC	e	cytoplasm	169/683	4681/29107	4.141130979772048e-06	2	169	0.002419800869180133	102.0, 147.0, 175.0, 274.0, 306.0, 321.0, 347.0, 348.0, 367.0, 573.0, 754.0, 816.0, 900.0, 1155.0, 1612.0, 1725.0, 1806.0, 1903.0, 2029.0, 2099.0, 2246.0, 2635.0, 2643.0, 2737.0, 3149.0, 3182.0, 3422.0, 3688.0, 3958.0, 3965.0, 4099.0, 4157.0, 4170.0, 4355.0, 4361.0, 4504.0, 4758.0, 4792.0, 4929.0, 4935.0, 4953.0, 5027.0, 5223.0, 5271.0, 5293.0, 5300.0, 5375.0, 5530.0, 5533.0, 5571.0, 5747.0, 6046.0, 6538.0, 6584.0, 6624.0, 6721.0, 6795.0, 6879.0, 6908.0, 7295.0, 7320.0, 8045.0, 8073.0, 8228.0, 8499.0, 8507.0, 8851.0, 8915.0, 9252.0, 9404.0, 9448.0, 9568.0, 9636.0, 9652.0, 9748.0, 9844.0, 10062.0, 10114.0, 10226.0, 10233.0, 10360.0, 10381.0, 10572.0, 10681.0, 10769.0, 10950.0, 11043.0, 11078.0, 11162.0, 22849.0, 22884.0, 22950.0, 23405.0, 23414.0, 23521.0, 23658.0, 25897.0, 26052.0, 26469.0, 26986.0, 28996.0, 29843.0, 49856.0, 51548.0, 51741.0, 51807.0, 54566.0, 54602.0, 55036.0, 55062.0, 55144.0, 55208.0, 55249.0, 55715.0, 55771.0, 55857.0, 55893.0, 55909.0, 56164.0, 56852.0, 56938.0, 56990.0, 57519.0, 57610.0, 57698.0, 64750.0, 64901.0, 65108.0, 79663.0, 79866.0, 81706.0, 83480.0, 83538.0, 83714.0, 83990.0, 84100.0, 84296.0, 84687.0, 84705.0, 84836.0, 84922.0, 90637.0, 90990.0, 91978.0, 94134.0, 116138.0, 127829.0, 130574.0, 134429.0, 134957.0, 146705.0, 157506.0, 161931.0, 166614.0, 166793.0, 167838.0, 170685.0, 202243.0, 206338.0, 220972.0, 222236.0, 223082.0, 255488.0, 286204.0, 359948.0, 375743.0, 387119.0, 441951.0, 100131187.0	2.6162203716123464	Caudate	0.49487554904831627
GO:0005524	MF	e	ATP binding	64/683	1458/29107	4.586879388756825e-06	8	64	0.00788818742986118	31.0, 157.0, 816.0, 953.0, 1612.0, 2044.0, 3611.0, 4172.0, 4176.0, 4882.0, 5027.0, 5208.0, 5293.0, 5571.0, 5702.0, 5747.0, 5979.0, 6041.0, 6334.0, 6584.0, 6790.0, 6795.0, 7320.0, 7525.0, 9064.0, 9201.0, 9252.0, 9262.0, 9448.0, 9619.0, 9748.0, 9917.0, 9928.0, 10114.0, 10351.0, 10769.0, 23113.0, 23405.0, 28996.0, 30849.0, 50640.0, 54456.0, 54802.0, 55681.0, 55687.0, 55760.0, 56164.0, 56652.0, 56975.0, 57505.0, 57519.0, 79012.0, 79895.0, 80222.0, 83694.0, 83931.0, 83990.0, 85320.0, 90990.0, 113510.0, 166614.0, 197258.0, 285220.0, 414328.0	2.103022778747958	Caudate	0.18740849194729137
GO:0005515	MF	e	protein binding	405/683	12417/29107	5.353973368684058e-06	2	405	0.00788818742986118	31.0, 102.0, 147.0, 157.0, 175.0, 246.0, 274.0, 321.0, 347.0, 348.0, 367.0, 573.0, 747.0, 754.0, 816.0, 900.0, 928.0, 953.0, 966.0, 967.0, 1137.0, 1155.0, 1388.0, 1468.0, 1495.0, 1612.0, 1725.0, 1806.0, 1876.0, 1893.0, 1903.0, 1948.0, 2029.0, 2039.0, 2099.0, 2218.0, 2222.0, 2246.0, 2354.0, 2635.0, 2643.0, 2650.0, 2737.0, 2774.0, 2826.0, 2982.0, 3012.0, 3073.0, 3075.0, 3149.0, 3182.0, 3566.0, 3611.0, 3688.0, 3785.0, 3824.0, 3958.0, 4052.0, 4157.0, 4170.0, 4172.0, 4176.0, 4355.0, 4361.0, 4504.0, 4683.0, 4704.0, 4722.0, 4728.0, 4758.0, 4779.0, 4792.0, 4807.0, 4835.0, 4882.0, 4929.0, 4935.0, 4953.0, 5027.0, 5175.0, 5208.0, 5223.0, 5271.0, 5293.0, 5300.0, 5303.0, 5331.0, 5351.0, 5354.0, 5375.0, 5422.0, 5468.0, 5507.0, 5530.0, 5533.0, 5554.0, 5571.0, 5662.0, 5702.0, 5747.0, 5819.0, 5873.0, 5979.0, 5992.0, 6041.0, 6046.0, 6191.0, 6192.0, 6262.0, 6334.0, 6419.0, 6468.0, 6515.0, 6584.0, 6624.0, 6710.0, 6721.0, 6752.0, 6776.0, 6790.0, 6795.0, 6879.0, 6908.0, 7070.0, 7170.0, 7171.0, 7264.0, 7289.0, 7295.0, 7320.0, 7351.0, 7391.0, 7447.0, 7525.0, 7582.0, 7975.0, 8045.0, 8073.0, 8292.0, 8293.0, 8334.0, 8360.0, 8499.0, 8507.0, 8543.0, 8546.0, 8557.0, 8646.0, 8751.0, 8851.0, 8906.0, 8915.0, 9019.0, 9026.0, 9252.0, 9283.0, 9355.0, 9404.0, 9448.0, 9547.0, 9568.0, 9619.0, 9636.0, 9652.0, 9672.0, 9683.0, 9710.0, 9748.0, 9758.0, 9812.0, 9844.0, 9858.0, 9917.0, 9928.0, 9933.0, 9949.0, 10062.0, 10106.0, 10135.0, 10171.0, 10172.0, 10226.0, 10233.0, 10242.0, 10253.0, 10269.0, 10360.0, 10381.0, 10459.0, 10572.0, 10607.0, 10608.0, 10635.0, 10668.0, 10675.0, 10678.0, 10681.0, 10686.0, 10769.0, 10924.0, 10950.0, 11031.0, 11250.0, 22808.0, 22849.0, 22874.0, 22950.0, 23113.0, 23216.0, 23221.0, 23229.0, 23300.0, 23405.0, 23412.0, 23414.0, 23416.0, 23433.0, 23545.0, 23583.0, 23603.0, 23616.0, 23658.0, 23764.0, 25870.0, 25897.0, 25939.0, 26052.0, 26145.0, 26469.0, 26511.0, 26580.0, 26986.0, 27230.0, 27315.0, 28996.0, 29126.0, 29841.0, 29843.0, 29906.0, 30849.0, 49856.0, 50848.0, 51030.0, 51075.0, 51248.0, 51312.0, 51375.0, 51548.0, 51643.0, 51741.0, 51807.0, 54549.0, 54602.0, 54902.0, 54910.0, 54951.0, 55062.0, 55127.0, 55144.0, 55208.0, 55212.0, 55249.0, 55276.0, 55329.0, 55471.0, 55681.0, 55715.0, 55740.0, 55760.0, 55857.0, 55901.0, 55909.0, 55974.0, 56034.0, 56181.0, 56647.0, 56704.0, 56852.0, 56896.0, 56949.0, 56975.0, 56978.0, 56990.0, 57222.0, 57332.0, 57463.0, 57505.0, 57610.0, 57658.0, 57678.0, 57698.0, 57715.0, 58494.0, 63926.0, 64072.0, 64332.0, 64714.0, 64750.0, 64782.0, 64787.0, 64854.0, 65108.0, 78987.0, 78998.0, 79447.0, 79585.0, 79658.0, 79663.0, 79666.0, 79744.0, 79810.0, 79866.0, 79895.0, 79947.0, 80142.0, 80222.0, 80774.0, 80820.0, 81544.0, 81617.0, 83538.0, 83590.0, 83714.0, 83874.0, 83931.0, 83990.0, 84100.0, 84148.0, 84296.0, 84628.0, 84687.0, 84705.0, 84836.0, 84881.0, 84897.0, 84920.0, 85007.0, 85395.0, 90589.0, 90637.0, 91749.0, 92283.0, 93129.0, 93974.0, 94097.0, 112476.0, 113452.0, 113510.0, 114798.0, 114897.0, 116138.0, 116841.0, 118442.0, 118924.0, 127829.0, 130574.0, 131566.0, 132851.0, 134187.0, 134429.0, 146705.0, 149840.0, 157506.0, 157807.0, 166793.0, 167838.0, 169270.0, 170082.0, 170685.0, 170850.0, 197258.0, 201164.0, 201255.0, 202243.0, 202559.0, 220972.0, 222662.0, 222698.0, 245711.0, 254827.0, 255488.0, 256691.0, 283847.0, 285141.0, 286204.0, 317671.0, 340277.0, 343263.0, 353322.0, 376497.0, 378884.0, 388403.0, 388695.0, 389791.0, 401647.0, 407738.0, 408263.0, 441478.0, 494470.0, 554251.0, 613212.0, 642938.0, 653140.0, 728492.0, 728568.0	2.103022778747958	Caudate	1.1859443631039532
