Modules	Beta	Pvalue	FDR	Tissue
MEblack	0.0905011572502606	0.358739335103549	0.662161200226979	Caudate
MEblue	-0.00919528164478091	0.925840383997109	0.956166923788635	Caudate
MEbrown	0.0319299966987982	0.746483143510555	0.918748484320684	Caudate
MEcyan	-0.177087879320638	0.0710240359491725	0.56819228759338	Caudate
MEgreen	0.0119852219330748	0.903435688865489	0.956166923788635	Caudate
MEgreenyellow	0.0894531823564619	0.364351856861718	0.662161200226979	Caudate
MEgrey	-0.213207549747889	0.0292115200779535	0.467384321247257	Caudate
MEmagenta	0.00542996152711802	0.956166923788635	0.956166923788635	Caudate
MEmidnightblue	-0.0548994721944403	0.578151647602783	0.770868863470378	Caudate
MEpink	-0.108645869362546	0.270169045982604	0.662161200226979	Caudate
MEpurple	-0.0738114148315942	0.454425228553398	0.662161200226979	Caudate
MEred	0.15381885518252	0.117500850246987	0.626671201317265	Caudate
MEsalmon	-0.0736791973382553	0.455235825156048	0.662161200226979	Caudate
MEtan	0.11042971144745	0.262340247929253	0.662161200226979	Caudate
MEturquoise	0.0845618932770646	0.391257420535154	0.662161200226979	Caudate
MEyellow	0.0804225064105703	0.414931298672098	0.662161200226979	Caudate
