Modules	All.Samples	AA.only	logP
MEblack	0.284351081153481	-0.0159135677569571	7.03929837488129
MEblue	0.0459577622687147	-0.0414218860167439	0.572345985765824
MEbrown	0.113215284152835	-0.0470637834953649	1.754168707506
MEcyan	0.153354735274524	-0.0269067802890078	2.67892222510928
MEdarkgreen	0.0132627912672384	-0.0965288829187122	0.147266217076819
MEdarkgrey	-0.35581445128197	-0.0904931924017799	10.4416614849344
MEdarkmagenta	-0.107925269110776	0.0838272344027965	1.64506733736387
MEdarkolivegreen	0.332276030476082	0.0749160355545705	9.23032704985896
MEdarkorange	0.0289469461938649	-0.0552932579302495	0.339849180448706
MEdarkred	-0.094384147140022	-0.0681338727055971	1.37880514477137
MEdarkturquoise	-0.0799998064702421	-0.0539913691231103	1.11597493799694
MEgreen	-0.03669638771591	0.0656668409425837	0.442649503759425
MEgreenyellow	-0.121185127748977	-0.133676879462966	1.92403282760314
MEgrey	-0.456053980793049	-0.205610033857811	16.756502640577
MEgrey60	0.545347706433032	0.15950538099532	24.3392052287111
MElightcyan	0.276816973461561	-0.0483027397167435	6.72644879219738
MElightgreen	-0.00286511033037315	0.127174330335752	0.0306366950555883
MElightyellow	0.0545899178212835	-0.106739271291673	0.700091386605232
MEmagenta	-0.283694291902613	-0.0993904268294212	7.01169627146412
MEmidnightblue	0.00524872743178636	-0.0120047105974122	0.0566146437731368
MEorange	0.0877815448008367	0.0949772368153345	1.25564038911305
MEpaleturquoise	-0.195456574856829	-0.0757937898650282	3.84402122873391
MEpink	-0.0121269192198155	0.00474576294533239	0.134104323016557
MEplum1	-0.132237368890542	-0.0235708268719242	2.17070687960812
MEpurple	0.0696676701993081	-0.0275710371471747	0.939553566662143
MEred	-0.261401103320806	0.000819178048506361	6.1116965890152
MEroyalblue	-0.105987251129903	0.0159327460024257	1.60581818637395
MEsaddlebrown	0.135980162560724	0.0972779164154281	2.25721475436144
MEsalmon	0.0154783748122824	0.0445168489775848	0.173240309664402
MEsienna3	-0.267601470165689	-0.18157280497767	6.35490349019878
MEskyblue	0.274134409904846	0.083136646009648	6.61704112267337
MEskyblue3	-0.208184065023145	0.0126253907906332	4.23807318507353
MEsteelblue	-0.262463047627231	-0.0710365085078316	6.15296802696862
MEtan	-0.127278174864221	-0.0708404094795177	2.05841037952647
MEturquoise	-0.160285787657089	0.0529931828549767	2.85656325740063
MEviolet	-0.124102748454153	-0.067718413639468	1.98788701274138
MEwhite	0.104453620174547	0.166981579121364	1.57503096271582
MEyellow	0.118939491239704	-0.0751929431248527	1.87549741330562
MEyellowgreen	0.0583394985599373	0.0312486142611383	0.757681379984448
