Tissue	OR	P-value	FDR	Direction
Caudate	2.197261739822806	2.088525527305311e-05	8.354102109221244e-05	All
Dentate Gyrus	0.8702763520643926	0.07332442704775871	0.09776590273034495	All
DLPFC	1.47123494970472	0.04098633157092754	0.08197266314185508	All
Hippocampus	1.321209014656333	0.10177689656898248	0.10177689656898248	All
Caudate	2.541087546129563	0.00013401810104387223	0.0005360724041754889	Decreased in AA
Dentate Gyrus	0.8701358507943817	0.20051345720497304	0.20051345720497304	Decreased in AA
DLPFC	1.6682866478989407	0.04420639133903722	0.08841278267807444	Decreased in AA
Hippocampus	1.4536997655399393	0.12216174564209267	0.16288232752279022	Decreased in AA
Caudate	1.789260824781334	0.028113910467178975	0.1124556418687159	Increased in AA
Dentate Gyrus	0.8764145984087693	0.26434562617002744	0.43365970260128606	Increased in AA
DLPFC	1.2666346952962884	0.3749187725716955	0.43365970260128606	Increased in AA
Hippocampus	1.1904242536278768	0.43365970260128606	0.43365970260128606	Increased in AA
