Module_1	Module_2	Semantic_Similarity	Ont	Tissue
grey	blue	0.613	MF	Caudate
grey	cyan	0.537	MF	Caudate
grey	violet	0.489	MF	Caudate
grey	tan	0.381	MF	Caudate
grey	darkred	0.425	MF	Caudate
grey	darkgreen	0.319	MF	Caudate
grey	turquoise	0.643	MF	Caudate
grey	purple	0.432	MF	Caudate
grey	green	0.305	MF	Caudate
grey	white		MF	Caudate
grey	yellow	0.49	MF	Caudate
grey	red	0.323	MF	Caudate
grey	skyblue	0.508	MF	Caudate
grey	darkmagenta	0.326	MF	Caudate
grey	saddlebrown		MF	Caudate
grey	darkturquoise	0.386	MF	Caudate
grey	grey60	0.444	MF	Caudate
grey	brown	0.45	MF	Caudate
grey	sienna3	1	MF	Caudate
grey	lightcyan	0.567	MF	Caudate
grey	lightgreen	0.52	MF	Caudate
grey	royalblue	0.503	MF	Caudate
grey	salmon	0.485	MF	Caudate
grey	pink	0.673	MF	Caudate
grey	lightyellow	0.431	MF	Caudate
grey	magenta	0.457	MF	Caudate
grey	orange	1	MF	Caudate
grey	black	0.669	MF	Caudate
grey	paleturquoise	0.317	MF	Caudate
grey	darkolivegreen	0.485	MF	Caudate
grey	greenyellow	0.496	MF	Caudate
grey	darkorange	0.296	MF	Caudate
grey	midnightblue	0.388	MF	Caudate
grey	yellowgreen		MF	Caudate
blue	grey	0.613	MF	Caudate
blue	cyan	0.557	MF	Caudate
blue	violet	0.512	MF	Caudate
blue	tan	0.47	MF	Caudate
blue	darkred	0.495	MF	Caudate
blue	darkgreen	0.43	MF	Caudate
blue	turquoise	0.618	MF	Caudate
blue	purple	0.535	MF	Caudate
blue	green	0.422	MF	Caudate
blue	white		MF	Caudate
blue	yellow	0.503	MF	Caudate
blue	red	0.448	MF	Caudate
blue	skyblue	0.553	MF	Caudate
blue	darkmagenta	0.445	MF	Caudate
blue	saddlebrown		MF	Caudate
blue	darkturquoise	0.481	MF	Caudate
blue	grey60	0.477	MF	Caudate
blue	brown	0.507	MF	Caudate
blue	sienna3	1	MF	Caudate
blue	lightcyan	0.456	MF	Caudate
blue	lightgreen	0.546	MF	Caudate
blue	royalblue	0.537	MF	Caudate
blue	salmon	0.516	MF	Caudate
blue	pink	0.571	MF	Caudate
blue	lightyellow	0.425	MF	Caudate
blue	magenta	0.548	MF	Caudate
blue	orange	1	MF	Caudate
blue	black	0.589	MF	Caudate
blue	paleturquoise	0.436	MF	Caudate
blue	darkolivegreen	0.424	MF	Caudate
blue	greenyellow	0.498	MF	Caudate
blue	darkorange	0.349	MF	Caudate
blue	midnightblue	0.478	MF	Caudate
blue	yellowgreen		MF	Caudate
cyan	grey	0.537	MF	Caudate
cyan	blue	0.557	MF	Caudate
cyan	violet	0.601	MF	Caudate
cyan	tan	0.521	MF	Caudate
cyan	darkred	0.744	MF	Caudate
cyan	darkgreen	0.413	MF	Caudate
cyan	turquoise	0.554	MF	Caudate
cyan	purple	0.452	MF	Caudate
cyan	green	0.459	MF	Caudate
cyan	white		MF	Caudate
cyan	yellow	0.546	MF	Caudate
cyan	red	0.55	MF	Caudate
cyan	skyblue	0.686	MF	Caudate
cyan	darkmagenta	0.577	MF	Caudate
cyan	saddlebrown		MF	Caudate
cyan	darkturquoise	0.474	MF	Caudate
cyan	grey60	0.392	MF	Caudate
cyan	brown	0.361	MF	Caudate
cyan	sienna3	1	MF	Caudate
cyan	lightcyan	0.607	MF	Caudate
cyan	lightgreen	0.684	MF	Caudate
cyan	royalblue	0.721	MF	Caudate
cyan	salmon	0.657	MF	Caudate
cyan	pink	0.627	MF	Caudate
cyan	lightyellow	0.49	MF	Caudate
cyan	magenta	0.776	MF	Caudate
cyan	orange	1	MF	Caudate
cyan	black	0.595	MF	Caudate
cyan	paleturquoise	0.498	MF	Caudate
cyan	darkolivegreen	0.513	MF	Caudate
cyan	greenyellow	0.503	MF	Caudate
cyan	darkorange	0.347	MF	Caudate
cyan	midnightblue	0.516	MF	Caudate
cyan	yellowgreen		MF	Caudate
violet	grey	0.489	MF	Caudate
violet	blue	0.512	MF	Caudate
violet	cyan	0.601	MF	Caudate
violet	tan	0.402	MF	Caudate
violet	darkred	0.52	MF	Caudate
violet	darkgreen	0.4	MF	Caudate
violet	turquoise	0.543	MF	Caudate
violet	purple	0.463	MF	Caudate
violet	green	0.369	MF	Caudate
violet	white		MF	Caudate
violet	yellow	0.506	MF	Caudate
violet	red	0.422	MF	Caudate
violet	skyblue	0.52	MF	Caudate
violet	darkmagenta	0.431	MF	Caudate
violet	saddlebrown		MF	Caudate
violet	darkturquoise	0.378	MF	Caudate
violet	grey60	0.365	MF	Caudate
violet	brown	0.357	MF	Caudate
violet	sienna3	1	MF	Caudate
violet	lightcyan	0.46	MF	Caudate
violet	lightgreen	0.59	MF	Caudate
violet	royalblue	0.542	MF	Caudate
violet	salmon	0.593	MF	Caudate
violet	pink	0.582	MF	Caudate
