GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Direction_of_Effect
GO:0005840	CC	e	ribosome	16/2249	51/29107	8.085592565281048e-07	5	16	0.0007446453199692357	821.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6622.0, 23521.0, 27230.0, 51081.0, 54998.0	3.1280505356524024	Caudate	All
GO:0022626	CC	e	cytosolic ribosome	21/2249	76/29107	8.495668225547469e-07	6	21	0.0007446453199692357	347.0, 4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6134.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 9045.0, 23521.0	3.1280505356524024	Caudate	All
GO:1903231	MF	p	mRNA binding involved in posttranscriptional gene silencing	0/2249	253/29107	1.159112428754887e-06	6	0	0.002402614246663015		2.6193159520400027	Caudate	All
GO:0002181	BP	e	cytoplasmic translation	22/2249	85/29107	1.408034802604812e-06	8	22	0.01072752523659746	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6134.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 6231.0, 6234.0, 9045.0, 23521.0	1.9695004551125008	Caudate	All
GO:0005096	MF	e	GTPase activator activity	45/2249	256/29107	1.409819974439857e-06	5	45	0.002402614246663015	613.0, 1124.0, 1793.0, 2665.0, 2909.0, 5921.0, 5997.0, 5999.0, 6000.0, 6654.0, 6904.0, 7249.0, 8437.0, 8787.0, 8826.0, 9098.0, 9135.0, 9681.0, 10144.0, 10156.0, 10483.0, 23216.0, 23527.0, 54885.0, 55296.0, 55357.0, 57514.0, 58504.0, 64333.0, 79658.0, 84253.0, 94134.0, 115703.0, 116983.0, 116985.0, 116987.0, 129049.0, 134957.0, 201163.0, 201176.0, 374403.0, 727851.0, 729857.0, 729873.0, 102723859.0	2.6193159520400027	Caudate	All
GO:0005759	CC	e	mitochondrial matrix	60/2249	381/29107	1.542602790058321e-06	5	60	0.0007817187899719773	501.0, 2110.0, 2232.0, 2647.0, 4329.0, 4521.0, 4704.0, 4722.0, 4833.0, 5096.0, 5138.0, 5160.0, 5625.0, 6188.0, 6622.0, 7019.0, 7263.0, 7923.0, 8192.0, 9054.0, 9997.0, 10102.0, 10131.0, 10247.0, 10588.0, 10667.0, 23395.0, 23408.0, 26995.0, 27349.0, 29960.0, 50808.0, 51025.0, 51110.0, 51657.0, 54802.0, 54988.0, 55471.0, 55753.0, 56922.0, 57128.0, 57546.0, 57805.0, 60528.0, 79611.0, 79731.0, 80222.0, 80224.0, 84274.0, 84340.0, 84881.0, 85007.0, 90624.0, 123688.0, 124454.0, 130916.0, 137872.0, 201973.0, 373156.0, 728294.0	3.106949448893503	Caudate	All
GO:0004984	MF	p	olfactory receptor activity	3/2249	399/29107	1.630733651581232e-06	4	3	0.002402614246663015	138799.0, 343171.0, 401994.0	2.6193159520400027	Caudate	All
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	3/2249	401/29107	1.781442266707382e-06	5	3	0.01072752523659746	138799.0, 343171.0, 401994.0	1.9695004551125008	Caudate	All
GO:0005925	CC	e	focal adhesion	72/2249	418/29107	1.783727986245242e-06	5	72	0.0007817187899719773	102.0, 567.0, 824.0, 966.0, 975.0, 976.0, 1000.0, 1466.0, 1495.0, 1499.0, 2017.0, 2037.0, 2195.0, 2261.0, 2665.0, 3339.0, 3655.0, 3688.0, 3690.0, 4311.0, 4736.0, 4868.0, 4988.0, 5747.0, 5786.0, 5817.0, 5829.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 6840.0, 7052.0, 7525.0, 8462.0, 8516.0, 8675.0, 8754.0, 8826.0, 9902.0, 10015.0, 10095.0, 10109.0, 11078.0, 11170.0, 11261.0, 22888.0, 23332.0, 23521.0, 23603.0, 26136.0, 26986.0, 29843.0, 54914.0, 55740.0, 55742.0, 55901.0, 57091.0, 57514.0, 58504.0, 79026.0, 79834.0	3.106949448893503	Caudate	All
GO:0035195	BP	p	gene silencing by miRNA	1/2249	557/29107	2.660319812284257e-06	10	1	0.01072752523659746	3692.0	1.9695004551125008	Caudate	All
GO:0009986	CC	e	cell surface	79/2249	579/29107	2.883443062242143e-06	2	79	0.0008886197108004352	91.0, 92.0, 100.0, 102.0, 177.0, 307.0, 355.0, 411.0, 650.0, 949.0, 952.0, 955.0, 958.0, 966.0, 1000.0, 1003.0, 1378.0, 2261.0, 2861.0, 3107.0, 3108.0, 3133.0, 3134.0, 3146.0, 3655.0, 3688.0, 3690.0, 4040.0, 4057.0, 4072.0, 4233.0, 4311.0, 4804.0, 4907.0, 4923.0, 5045.0, 5795.0, 5817.0, 6091.0, 6507.0, 6520.0, 6693.0, 7099.0, 7103.0, 8499.0, 8516.0, 8692.0, 8751.0, 8754.0, 8995.0, 9388.0, 10347.0, 10666.0, 10791.0, 11197.0, 22829.0, 22918.0, 22925.0, 23601.0, 26585.0, 26762.0, 27133.0, 53905.0, 54084.0, 54587.0, 56262.0, 57007.0, 58494.0, 64127.0, 80274.0, 80328.0, 84189.0, 84830.0, 93974.0, 131566.0, 283420.0, 342372.0, 388512.0, 100507436.0	3.0512840577427705	Caudate	All
