Module_1	Module_2	Semantic_Similarity	Ont	Tissue
grey	pink	0.357	MF	Hippocampus
grey	darkgreen		MF	Hippocampus
grey	black	0.417	MF	Hippocampus
grey	turquoise	0.347	MF	Hippocampus
grey	blue	0.403	MF	Hippocampus
grey	green		MF	Hippocampus
grey	yellow	1	MF	Hippocampus
grey	purple	0.133	MF	Hippocampus
grey	orange		MF	Hippocampus
grey	greenyellow	0.139	MF	Hippocampus
grey	midnightblue	0.355	MF	Hippocampus
grey	brown	0.476	MF	Hippocampus
grey	red	0.356	MF	Hippocampus
grey	lightyellow	0.357	MF	Hippocampus
grey	white	0.469	MF	Hippocampus
grey	lightgreen	0.04	MF	Hippocampus
grey	lightcyan	0.444	MF	Hippocampus
grey	steelblue	0.462	MF	Hippocampus
grey	magenta		MF	Hippocampus
grey	darkturquoise		MF	Hippocampus
grey	cyan	0.376	MF	Hippocampus
grey	violet	0.091	MF	Hippocampus
grey	yellowgreen		MF	Hippocampus
grey	darkolivegreen	0.415	MF	Hippocampus
grey	salmon		MF	Hippocampus
grey	darkred	0.639	MF	Hippocampus
grey	grey60		MF	Hippocampus
grey	darkorange		MF	Hippocampus
grey	skyblue3	1	MF	Hippocampus
pink	grey	0.357	MF	Hippocampus
pink	darkgreen		MF	Hippocampus
pink	black	0.46	MF	Hippocampus
pink	turquoise	0.554	MF	Hippocampus
pink	blue	0.419	MF	Hippocampus
pink	green		MF	Hippocampus
pink	yellow	0.311	MF	Hippocampus
pink	purple	0.055	MF	Hippocampus
pink	orange		MF	Hippocampus
pink	greenyellow	0.144	MF	Hippocampus
pink	midnightblue	0.634	MF	Hippocampus
pink	brown	0.456	MF	Hippocampus
pink	red	0.51	MF	Hippocampus
pink	lightyellow	0.522	MF	Hippocampus
pink	white	0.427	MF	Hippocampus
pink	lightgreen	0.043	MF	Hippocampus
pink	lightcyan	0.473	MF	Hippocampus
pink	steelblue	0.426	MF	Hippocampus
pink	magenta		MF	Hippocampus
pink	darkturquoise		MF	Hippocampus
pink	cyan	0.726	MF	Hippocampus
pink	violet	0.2	MF	Hippocampus
pink	yellowgreen		MF	Hippocampus
pink	darkolivegreen	0.438	MF	Hippocampus
pink	salmon		MF	Hippocampus
pink	darkred	0.147	MF	Hippocampus
pink	grey60		MF	Hippocampus
pink	darkorange		MF	Hippocampus
pink	skyblue3	1	MF	Hippocampus
darkgreen	grey		MF	Hippocampus
darkgreen	pink		MF	Hippocampus
darkgreen	black		MF	Hippocampus
darkgreen	turquoise		MF	Hippocampus
darkgreen	blue		MF	Hippocampus
darkgreen	green		MF	Hippocampus
darkgreen	yellow		MF	Hippocampus
darkgreen	purple		MF	Hippocampus
darkgreen	orange		MF	Hippocampus
darkgreen	greenyellow		MF	Hippocampus
darkgreen	midnightblue		MF	Hippocampus
darkgreen	brown		MF	Hippocampus
darkgreen	red		MF	Hippocampus
darkgreen	lightyellow		MF	Hippocampus
darkgreen	white		MF	Hippocampus
darkgreen	lightgreen		MF	Hippocampus
darkgreen	lightcyan		MF	Hippocampus
darkgreen	steelblue		MF	Hippocampus
darkgreen	magenta		MF	Hippocampus
darkgreen	darkturquoise		MF	Hippocampus
darkgreen	cyan		MF	Hippocampus
darkgreen	violet		MF	Hippocampus
darkgreen	yellowgreen		MF	Hippocampus
darkgreen	darkolivegreen		MF	Hippocampus
darkgreen	salmon		MF	Hippocampus
darkgreen	darkred		MF	Hippocampus
darkgreen	grey60		MF	Hippocampus
darkgreen	darkorange		MF	Hippocampus
darkgreen	skyblue3		MF	Hippocampus
black	grey	0.417	MF	Hippocampus
black	pink	0.46	MF	Hippocampus
black	darkgreen		MF	Hippocampus
black	turquoise	0.495	MF	Hippocampus
black	blue	0.409	MF	Hippocampus
black	green		MF	Hippocampus
black	yellow	1	MF	Hippocampus
black	purple	0.077	MF	Hippocampus
black	orange		MF	Hippocampus
black	greenyellow	0.248	MF	Hippocampus
black	midnightblue	0.457	MF	Hippocampus
black	brown	0.451	MF	Hippocampus
black	red	0.641	MF	Hippocampus
black	lightyellow	0.44	MF	Hippocampus
black	white	0.455	MF	Hippocampus
black	lightgreen	0.049	MF	Hippocampus
black	lightcyan	0.446	MF	Hippocampus
black	steelblue	0.425	MF	Hippocampus
black	magenta		MF	Hippocampus
black	darkturquoise		MF	Hippocampus
black	cyan	0.447	MF	Hippocampus
black	violet	0.123	MF	Hippocampus
black	yellowgreen		MF	Hippocampus
black	darkolivegreen	0.468	MF	Hippocampus
black	salmon		MF	Hippocampus
black	darkred	0.147	MF	Hippocampus
black	grey60		MF	Hippocampus
black	darkorange		MF	Hippocampus
black	skyblue3	1	MF	Hippocampus
turquoise	grey	0.347	MF	Hippocampus
turquoise	pink	0.554	MF	Hippocampus
turquoise	darkgreen		MF	Hippocampus
turquoise	black	0.495	MF	Hippocampus
turquoise	blue	0.486	MF	Hippocampus
turquoise	green		MF	Hippocampus
turquoise	yellow	0.311	MF	Hippocampus
turquoise	purple	0.056	MF	Hippocampus
turquoise	orange		MF	Hippocampus
turquoise	greenyellow	0.238	MF	Hippocampus
turquoise	midnightblue	0.749	MF	Hippocampus
turquoise	brown	0.424	MF	Hippocampus
turquoise	red	0.529	MF	Hippocampus
turquoise	lightyellow	0.498	MF	Hippocampus
turquoise	white	0.429	MF	Hippocampus
turquoise	lightgreen	0.23	MF	Hippocampus
turquoise	lightcyan	0.475	MF	Hippocampus
turquoise	steelblue	0.427	MF	Hippocampus
turquoise	magenta		MF	Hippocampus
turquoise	darkturquoise		MF	Hippocampus
turquoise	cyan	0.532	MF	Hippocampus
turquoise	violet	0.097	MF	Hippocampus
turquoise	yellowgreen		MF	Hippocampus
turquoise	darkolivegreen	0.44	MF	Hippocampus
turquoise	salmon		MF	Hippocampus
turquoise	darkred	0.147	MF	Hippocampus
turquoise	grey60		MF	Hippocampus
turquoise	darkorange		MF	Hippocampus
turquoise	skyblue3	1	MF	Hippocampus
blue	grey	0.403	MF	Hippocampus
blue	pink	0.419	MF	Hippocampus
blue	darkgreen		MF	Hippocampus
blue	black	0.409	MF	Hippocampus
blue	turquoise	0.486	MF	Hippocampus
blue	green		MF	Hippocampus
blue	yellow	0.227	MF	Hippocampus
blue	purple	0.128	MF	Hippocampus
blue	orange		MF	Hippocampus
blue	greenyellow	0.13	MF	Hippocampus
blue	midnightblue	0.502	MF	Hippocampus
blue	brown	0.331	MF	Hippocampus
blue	red	0.428	MF	Hippocampus
blue	lightyellow	0.398	MF	Hippocampus
blue	white	0.487	MF	Hippocampus
blue	lightgreen	0.036	MF	Hippocampus
blue	lightcyan	0.463	MF	Hippocampus
blue	steelblue	0.564	MF	Hippocampus
blue	magenta		MF	Hippocampus
blue	darkturquoise		MF	Hippocampus
blue	cyan	0.415	MF	Hippocampus
blue	violet	0.082	MF	Hippocampus
blue	yellowgreen		MF	Hippocampus
blue	darkolivegreen	0.447	MF	Hippocampus
blue	salmon		MF	Hippocampus
blue	darkred	0.11	MF	Hippocampus
blue	grey60		MF	Hippocampus
blue	darkorange		MF	Hippocampus
blue	skyblue3	0.788	MF	Hippocampus
green	grey		MF	Hippocampus
green	pink		MF	Hippocampus
green	darkgreen		MF	Hippocampus
green	black		MF	Hippocampus
green	turquoise		MF	Hippocampus
green	blue		MF	Hippocampus
green	yellow		MF	Hippocampus
green	purple		MF	Hippocampus
green	orange		MF	Hippocampus
green	greenyellow		MF	Hippocampus
green	midnightblue		MF	Hippocampus
green	brown		MF	Hippocampus
green	red		MF	Hippocampus
green	lightyellow		MF	Hippocampus
green	white		MF	Hippocampus
green	lightgreen		MF	Hippocampus
green	lightcyan		MF	Hippocampus
green	steelblue		MF	Hippocampus
green	magenta		MF	Hippocampus
green	darkturquoise		MF	Hippocampus
green	cyan		MF	Hippocampus
green	violet		MF	Hippocampus
green	yellowgreen		MF	Hippocampus
green	darkolivegreen		MF	Hippocampus
green	salmon		MF	Hippocampus
green	darkred		MF	Hippocampus
green	grey60		MF	Hippocampus
green	darkorange		MF	Hippocampus
green	skyblue3		MF	Hippocampus
yellow	grey	1	MF	Hippocampus
yellow	pink	0.311	MF	Hippocampus
yellow	darkgreen		MF	Hippocampus
yellow	black	1	MF	Hippocampus
yellow	turquoise	0.311	MF	Hippocampus
yellow	blue	0.227	MF	Hippocampus
yellow	green		MF	Hippocampus
yellow	purple	0.056	MF	Hippocampus
yellow	orange		MF	Hippocampus
yellow	greenyellow	0.128	MF	Hippocampus
yellow	midnightblue	0.311	MF	Hippocampus
yellow	brown	0.311	MF	Hippocampus
yellow	red	0.55	MF	Hippocampus
yellow	lightyellow	0.311	MF	Hippocampus
yellow	white	0.311	MF	Hippocampus
yellow	lightgreen	0.027	MF	Hippocampus
yellow	lightcyan	0.311	MF	Hippocampus
yellow	steelblue	0.311	MF	Hippocampus
yellow	magenta		MF	Hippocampus
yellow	darkturquoise		MF	Hippocampus
yellow	cyan	0.311	MF	Hippocampus
yellow	violet	0.071	MF	Hippocampus
yellow	yellowgreen		MF	Hippocampus
yellow	darkolivegreen	0.311	MF	Hippocampus
yellow	salmon		MF	Hippocampus
yellow	darkred	0.071	MF	Hippocampus
yellow	grey60		MF	Hippocampus
yellow	darkorange		MF	Hippocampus
yellow	skyblue3	0.311	MF	Hippocampus
purple	grey	0.133	MF	Hippocampus
purple	pink	0.055	MF	Hippocampus
purple	darkgreen		MF	Hippocampus
purple	black	0.077	MF	Hippocampus
purple	turquoise	0.056	MF	Hippocampus
purple	blue	0.128	MF	Hippocampus
purple	green		MF	Hippocampus
purple	yellow	0.056	MF	Hippocampus
purple	orange		MF	Hippocampus
purple	greenyellow	0.055	MF	Hippocampus
purple	midnightblue	0.055	MF	Hippocampus
purple	brown	0.08	MF	Hippocampus
purple	red	0.068	MF	Hippocampus
purple	lightyellow	0.054	MF	Hippocampus
purple	white	0.105	MF	Hippocampus
purple	lightgreen	0.018	MF	Hippocampus
purple	lightcyan	0.09	MF	Hippocampus
purple	steelblue	0.145	MF	Hippocampus
purple	magenta		MF	Hippocampus
purple	darkturquoise		MF	Hippocampus
purple	cyan	0.093	MF	Hippocampus
purple	violet	0.037	MF	Hippocampus
purple	yellowgreen		MF	Hippocampus
purple	darkolivegreen	0.057	MF	Hippocampus
purple	salmon		MF	Hippocampus
purple	darkred	0.068	MF	Hippocampus
purple	grey60		MF	Hippocampus
purple	darkorange		MF	Hippocampus
purple	skyblue3	0.112	MF	Hippocampus
orange	grey		MF	Hippocampus
orange	pink		MF	Hippocampus
orange	darkgreen		MF	Hippocampus
orange	black		MF	Hippocampus
orange	turquoise		MF	Hippocampus
orange	blue		MF	Hippocampus
orange	green		MF	Hippocampus
orange	yellow		MF	Hippocampus
orange	purple		MF	Hippocampus
orange	greenyellow		MF	Hippocampus
orange	midnightblue		MF	Hippocampus
orange	brown		MF	Hippocampus
orange	red		MF	Hippocampus
orange	lightyellow		MF	Hippocampus
orange	white		MF	Hippocampus
orange	lightgreen		MF	Hippocampus
orange	lightcyan		MF	Hippocampus
orange	steelblue		MF	Hippocampus
orange	magenta		MF	Hippocampus
orange	darkturquoise		MF	Hippocampus
orange	cyan		MF	Hippocampus
orange	violet		MF	Hippocampus
orange	yellowgreen		MF	Hippocampus
orange	darkolivegreen		MF	Hippocampus
orange	salmon		MF	Hippocampus
orange	darkred		MF	Hippocampus
orange	grey60		MF	Hippocampus
orange	darkorange		MF	Hippocampus
orange	skyblue3		MF	Hippocampus
greenyellow	grey	0.139	MF	Hippocampus
greenyellow	pink	0.144	MF	Hippocampus
greenyellow	darkgreen		MF	Hippocampus
greenyellow	black	0.248	MF	Hippocampus
greenyellow	turquoise	0.238	MF	Hippocampus
greenyellow	blue	0.13	MF	Hippocampus
greenyellow	green		MF	Hippocampus
greenyellow	yellow	0.128	MF	Hippocampus
greenyellow	purple	0.055	MF	Hippocampus
greenyellow	orange		MF	Hippocampus
greenyellow	midnightblue	0.234	MF	Hippocampus
greenyellow	brown	0.161	MF	Hippocampus
greenyellow	red	0.265	MF	Hippocampus
greenyellow	lightyellow	0.143	MF	Hippocampus
greenyellow	white	0.141	MF	Hippocampus
greenyellow	lightgreen	0.334	MF	Hippocampus
greenyellow	lightcyan	0.155	MF	Hippocampus
