Region	Feature	OR	PValue	FDR	Direction
Caudate	Gene	4.725248616077989	4.995731967496596e-63	4.995731967496596e-63	Up
Caudate	Gene	5.584465922554093	4.509699887324549e-83	6.764549830986823e-83	Down
Caudate	Gene	5.139003388700628	1.0063839154948555e-143	3.0191517464845666e-143	All
Dentate Gyrus	Gene	4.851225022621565	6.601491444324769e-63	9.902237166487153e-63	Up
Dentate Gyrus	Gene	5.498490776970375	3.464386384807681e-61	3.464386384807681e-61	Down
Dentate Gyrus	Gene	5.176931017026388	2.5266806859973642e-123	7.580042057992093e-123	All
DLPFC	Gene	5.359851451545531	1.4551148831291967e-62	1.4551148831291967e-62	Up
DLPFC	Gene	5.281257124246865	4.161800684015924e-68	6.242701026023886e-68	Down
DLPFC	Gene	5.309019607843137	6.349072256034593e-129	1.904721676810378e-128	All
Hippocampus	Gene	4.904912378850428	1.9497295648962638e-54	1.9497295648962638e-54	Up
Hippocampus	Gene	6.088583018901348	1.1233701523289337e-65	1.6850552284934005e-65	Down
Hippocampus	Gene	5.48009992881061	5.259689226409058e-119	1.5779067679227174e-118	All
Caudate	Transcript	4.201082853944868	3.5934473286821197e-22	3.5934473286821197e-22	Up
Caudate	Transcript	4.204960207292245	1.29229236348241e-23	1.938438545223615e-23	Down
Caudate	Transcript	4.198803986710963	2.1690671127445864e-44	6.507201338233759e-44	All
Dentate Gyrus	Transcript	4.349483831862919	2.4013065086152135e-50	2.4013065086152135e-50	Up
Dentate Gyrus	Transcript	4.999444900690452	5.262522734409205e-54	7.893784101613807e-54	Down
Dentate Gyrus	Transcript	4.656938677808243	6.561929056521769e-103	1.9685787169565307e-102	All
DLPFC	Transcript	5.161074533142763	2.453771208191621e-35	2.453771208191621e-35	Up
DLPFC	Transcript	5.121715259564654	2.303452653262936e-40	3.455178979894404e-40	Down
DLPFC	Transcript	5.131572389394028	3.3065159558028265e-74	9.919547867408481e-74	All
Hippocampus	Transcript	4.917840999734113	4.304868052348178e-31	4.304868052348178e-31	Up
Hippocampus	Transcript	5.8316807849700245	1.8932108681970623e-42	2.8398163022955934e-42	Down
Hippocampus	Transcript	5.37524877064908	1.034014649517842e-71	3.102043948553526e-71	All
Caudate	Exon	3.4954571788558386	2.6066364371019723e-150	2.6066364371019723e-150	Up
Caudate	Exon	3.5440218068343126	1.2017259567530806e-162	1.802588935129621e-162	Down
Caudate	Exon	3.5174273867129853	8.541388575472e-311	2.56241657264167e-310	All
Dentate Gyrus	Exon	3.7164596055921115	6.479276383508888e-185	9.718914575263332e-185	Up
Dentate Gyrus	Exon	3.969272904084935	2.6012330843772257e-178	2.6012330843772257e-178	Down
Dentate Gyrus	Exon	3.836424385393834	0.0	0.0	All
DLPFC	Exon	3.5669138482059903	5.287152341715547e-138	5.287152341715547e-138	Up
DLPFC	Exon	3.792929396710348	7.071834065229067e-230	1.06077510978436e-229	Down
DLPFC	Exon	3.6961486087143784	0.0	0.0	All
Hippocampus	Exon	3.2193679185679187	5.759800202159377e-110	8.639700303239066e-110	Up
Hippocampus	Exon	2.889047486789693	1.332215684836296e-101	1.332215684836296e-101	Down
Hippocampus	Exon	3.0386801901238836	3.3344344856411004e-209	1.0003303456923301e-208	All
Caudate	Junction	3.271546090105647	1.6795710666672443e-39	1.6795710666672443e-39	Up
Caudate	Junction	3.7052147239263804	6.598732536719339e-56	9.898098805079008e-56	Down
Caudate	Junction	3.497552606348085	1.9463445894326867e-93	5.83903376829806e-93	All
Dentate Gyrus	Junction	3.68295459715007	8.322306983399512e-60	8.322306983399512e-60	Up
Dentate Gyrus	Junction	3.95260988662913	5.303718522548173e-63	7.95557778382226e-63	Down
Dentate Gyrus	Junction	3.814356447371538	3.988867734986269e-121	1.1966603204958809e-120	All
DLPFC	Junction	4.073660380552068	3.91174660183285e-57	3.91174660183285e-57	Up
DLPFC	Junction	4.252484257797719	1.0893887404210855e-66	1.6340831106316282e-66	Down
DLPFC	Junction	4.159916768025677	1.0683218579080257e-121	3.2049655737240774e-121	All
Hippocampus	Junction	3.231362074988356	8.654264786934835e-37	8.654264786934835e-37	Up
Hippocampus	Junction	2.9471846977446394	1.8268378020516113e-37	2.740256703077417e-37	Down
Hippocampus	Junction	3.0746385608569713	1.272201608363028e-72	3.816604825089084e-72	All
