Tissue	OR	P-value	FDR	Direction
Caudate	1.8171376637629466	0.00015759389833502923	0.00031518779667005846	All
Dentate Gyrus	1.5523930202862883	0.001799713311689036	0.0023996177489187145	All
DLPFC	1.9223464439655173	5.157067923408202e-05	0.00020628271693632808	All
Hippocampus	1.7202380952380953	0.002424529126712377	0.002424529126712377	All
Caudate	1.7121433553658618	0.016308227462081236	0.02174430328277498	Decreased in AA
Dentate Gyrus	1.6202671788674032	0.007678964197335278	0.015357928394670557	Decreased in AA
DLPFC	2.052892890242288	0.001231979326830706	0.004927917307322824	Decreased in AA
Hippocampus	1.4855952308994198	0.11604414569226874	0.11604414569226874	Decreased in AA
Caudate	1.833771769383698	0.0041853099670059145	0.013436369642829165	Increased in AA
Dentate Gyrus	1.428589229391379	0.07831913773715908	0.07831913773715908	Increased in AA
DLPFC	1.7158885495231566	0.014810958011563635	0.01974794401541818	Increased in AA
Hippocampus	1.9201861146052006	0.0067181848214145825	0.013436369642829165	Increased in AA
