Modules	Pvalue	FDR	Tissue
MEblack	0.507215594286633	0.860450878922304	Dentate Gyrus
MEblue	0.838297425136898	0.927489410979329	Dentate Gyrus
MEbrown	0.22600106379227	0.613431458864734	Dentate Gyrus
MEcyan	0.0486668924358575	0.388849680861962	Dentate Gyrus
MEdarkgreen	0.139530023378509	0.480984992939993	Dentate Gyrus
MEdarkgrey	0.567377075697779	0.860450878922304	Dentate Gyrus
MEdarkmagenta	0.31371492489024	0.745072946614319	Dentate Gyrus
MEdarkolivegreen	0.112418735977151	0.480984992939993	Dentate Gyrus
MEdarkorange	0.164547497584734	0.480984992939993	Dentate Gyrus
MEdarkred	0.0237016150733741	0.388849680861962	Dentate Gyrus
MEdarkturquoise	0.428816454671399	0.857632909342799	Dentate Gyrus
MEgreen	0.582931425866622	0.860450878922304	Dentate Gyrus
MEgreenyellow	0.0331615092545908	0.388849680861962	Dentate Gyrus
MEgrey	0.796309831727758	0.916962836534995	Dentate Gyrus
MEgrey60	0.931939045608763	0.931939045608763	Dentate Gyrus
MElightcyan	0.588729548736313	0.860450878922304	Dentate Gyrus
MElightgreen	0.636408920875019	0.863697821187527	Dentate Gyrus
MElightyellow	0.905807590751675	0.931939045608763	Dentate Gyrus
MEmagenta	0.697088096825198	0.882978255978584	Dentate Gyrus
MEmidnightblue	0.400218644171741	0.844906026584787	Dentate Gyrus
MEorange	0.158279915622946	0.480984992939993	Dentate Gyrus
MEpaleturquoise	0.618279206102837	0.863697821187527	Dentate Gyrus
MEpink	0.511181627485783	0.860450878922304	Dentate Gyrus
MEpurple	0.143657928426444	0.480984992939993	Dentate Gyrus
MEred	0.0852213321391247	0.480984992939993	Dentate Gyrus
MEroyalblue	0.0511644316923635	0.388849680861962	Dentate Gyrus
MEsaddlebrown	0.854266562744119	0.927489410979329	Dentate Gyrus
MEsalmon	0.120866966514984	0.480984992939993	Dentate Gyrus
MEsienna3	0.484929246493831	0.860450878922304	Dentate Gyrus
MEskyblue	0.580615859531894	0.860450878922304	Dentate Gyrus
MEskyblue3	0.765982058411307	0.909603694363427	Dentate Gyrus
MEsteelblue	0.36502577411796	0.81593996567544	Dentate Gyrus
MEtan	0.678739585300488	0.882978255978584	Dentate Gyrus
MEturquoise	0.164078206790878	0.480984992939993	Dentate Gyrus
MEviolet	0.758494738991566	0.909603694363427	Dentate Gyrus
MEwhite	0.00667184846042138	0.253530241496012	Dentate Gyrus
MEyellow	0.259240042838978	0.656741441858743	Dentate Gyrus
MEyellowgreen	0.928502008159754	0.931939045608763	Dentate Gyrus
