trait	candidate_genes	dataset
CD62L- myeloid cDC AC	FCGR2A	Orru_2013
CD62L- myeloid cDC AC	FCGR2A	Orru_2013
CD62L- myeloid cDC AC	HSPA6	Orru_2013
CD62L- myeloid cDC AC	FCGR2A	Orru_2013
CD62L- myeloid cDC AC	FCGR3A	Orru_2013
TD CD4+ %GP	GALM	Orru_2013
TD CD4+ %GP	GALM	Orru_2013
CD45RA- CD28- CD8br %P	DHX57	Orru_2013
CD4+ CD8dim AC	 VPS24	Orru_2013
CD4+ CD8dim AC	CD8A	Orru_2013
CD62L- plasmacytoid cDC %P	PLAC8	Orru_2013
CD62L- plasmacytoid cDC %P	PLAC8 	Orru_2013
CD62L- plasmacytoid cDC %P	COQ2	Orru_2013
CD62L- plasmacytoid cDC %P	HPSE	Orru_2013
CD45RA- CD8+ AC	HLA-E 	Orru_2013
CD45RA- CD8+ AC	HCG27 	Orru_2013
CD45RA- CD8+ AC	ABCF1 	Orru_2013
CD45RA- CD8+ AC	C2	Orru_2013
CD45RA- CD8+ AC	PSORS1C3	Orru_2013
CD45RA- CD8+ AC	RPP21	Orru_2013
CD45RA- CD8+ AC	TRIM39	Orru_2013
CD45RA- CD8+ AC	 ZKSCAN2	Orru_2013
CD45RA- CD8+ AC	HLA-E	Orru_2013
CD45RA- CD8+ AC	HLA-E	Orru_2013
CD45RA- CD8+ AC	GNL1	Orru_2013
CD45RA- CD28+ CD8+ %P	VARS2	Orru_2013
CD45RA- CD28+ CD8+ %P	IER3	Orru_2013
CD45RA- CD28+ CD8+ %P	ZFP57	Orru_2013
CD45RA- CD28+ CD8+ %P	HLA-B	Orru_2013
CD45RA- CD28+ CD8+ %P	HLA-B	Orru_2013
CD45RA- CD28+ CD8+ %P	HLA-B	Orru_2013
CD45RA- CD28+ CD8+ %P	HLA-B	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	RPL34	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	LST1	Orru_2013
CD4+ CD8dim %P	RPL34	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	IER3	Orru_2013
CD4+ CD8dim %P	RPL34	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	RPL34	Orru_2013
CD4+ CD8dim %P	IER3	Orru_2013
CD4+ CD8dim %P	AOAH	Orru_2013
CD4+ CD8dim %P	HLA-DQA1	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	HLA-DOB	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	GTF2H4	Orru_2013
CD4+ CD8dim %P	LOC642073	Orru_2013
CD4+ CD8dim %P	HMGA1	Orru_2013
CD4+ CD8dim %P	BTNL2	Orru_2013
CD4+ CD8dim %P	HLA-DRB1	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	RPL34	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
CD45RA- CD28- CD8+ AC	LOC642073	Orru_2013
