Tissue	Dataset	OR	P-value	FDR	Direction
Caudate	Patin_2018	3.421508379888268	0.2718582161153673	0.5437164322307346	All
Caudate	Orru_2013	4.577466105656849	0.015266453007045825	0.13520044947336723	All
Caudate	Orru_2020	1.9554455445544554	0.04506681649112241	0.13520044947336723	All
Dentate Gyrus	Patin_2018	0.0	1.0	1.0	All
Dentate Gyrus	Orru_2013	1.171844428537342	0.5805506919214743	0.7740675892286325	All
Dentate Gyrus	Orru_2020	2.2158183270403717	0.02849060456980113	0.13520044947336723	All
DLPFC	Patin_2018	4.269844020797227	0.22511085128974523	0.5402660430953885	All
DLPFC	Orru_2013	0.0	1.0	1.0	All
DLPFC	Orru_2020	2.1867087664948914	0.04128436690114521	0.13520044947336723	All
Hippocampus	Patin_2018	0.0	1.0	1.0	All
Hippocampus	Orru_2013	1.3019197207678883	0.5430282350574706	0.7740675892286325	All
Hippocampus	Orru_2020	1.4360915492957746	0.3231955908264398	0.5540495842738967	All
Caudate	Patin_2018	0.0	1.0	1.0	Increased in EA
Caudate	Orru_2013	0.0	1.0	1.0	Increased in EA
Caudate	Orru_2020	1.180327868852459	0.7444158071069071	1.0	Increased in EA
Dentate Gyrus	Patin_2018	0.0	1.0	1.0	Increased in EA
Dentate Gyrus	Orru_2013	2.208300008886519	0.37150716901497965	0.8916172056359511	Increased in EA
Dentate Gyrus	Orru_2020	2.883815559076128	0.013772978903593277	0.08263787342155966	Increased in EA
DLPFC	Patin_2018	0.0	1.0	1.0	Increased in EA
DLPFC	Orru_2013	0.0	1.0	1.0	Increased in EA
DLPFC	Orru_2020	3.150401251978964	0.008924771599938085	0.08263787342155966	Increased in EA
Hippocampus	Patin_2018	0.0	1.0	1.0	Increased in EA
Hippocampus	Orru_2013	2.440129449838188	0.34341632348310147	0.8916172056359511	Increased in EA
Hippocampus	Orru_2020	1.7764131293543057	0.2957389100822582	0.8916172056359511	Increased in EA
Caudate	Patin_2018	6.714594594594595	0.15042412565076418	0.45127237695229255	Increased in AA
Caudate	Orru_2013	9.018710263396912	0.0015066361049572714	0.01807963325948726	Increased in AA
Caudate	Orru_2020	2.650945423291792	0.02053738556448167	0.12322431338689004	Increased in AA
Dentate Gyrus	Patin_2018	0.0	1.0	1.0	Increased in AA
Dentate Gyrus	Orru_2013	0.0	1.0	1.0	Increased in AA
Dentate Gyrus	Orru_2020	1.394174976057687	0.48113754081602345	1.0	Increased in AA
DLPFC	Patin_2018	9.487072243346008	0.10930535528685834	0.43722142114743334	Increased in AA
DLPFC	Orru_2013	0.0	1.0	1.0	Increased in AA
DLPFC	Orru_2020	1.0279206770660472	0.7219857685088364	1.0	Increased in AA
Hippocampus	Patin_2018	0.0	1.0	1.0	Increased in AA
Hippocampus	Orru_2013	0.0	1.0	1.0	Increased in AA
Hippocampus	Orru_2020	1.0279206770660472	0.7219857685088364	1.0	Increased in AA
